episode,runtime_sec,steps,reward,failure_reason,task1_success,task2_success,task3_success,task4_success,task5_success,task6_success,task1_steps,task2_steps,task3_steps,task4_steps,task5_steps,task6_steps,llm_time_task1,llm_time_task2,llm_time_task3,llm_time_task4,llm_time_task5,llm_time_task6,cur_skill_calls,third_reward10_count,third_reward10_three,collision_flag
1,53.873271,496,98.000,,1,1,1,1,1,1,96,84,128,40,112,36,1.017579,0.952529,1.031495,1.058534,0.917097,1.057017,"0,1,2,3,4,5",2,0,0
1,53.897681,496,98.000,,1,1,1,1,1,1,96,84,128,40,112,36,1.016239,0.959179,1.029747,1.060695,0.919825,1.064003,"0,1,2,3,4,5",2,0,0
1,54.192795,496,98.000,,1,1,1,1,1,1,96,84,128,40,112,36,1.018908,0.965263,1.025623,1.067654,0.924290,1.071310,"0,1,2,3,4,5",2,0,0
1,53.930725,496,98.000,,1,1,1,1,1,1,96,84,128,40,112,36,1.023393,0.965243,1.026628,1.068277,0.926625,1.061642,"0,1,2,3,4,5",2,0,0
1,53.887219,496,98.000,,1,1,1,1,1,1,96,84,128,40,112,36,1.014528,0.960693,1.019975,1.069602,0.926332,1.069807,"0,1,2,3,4,5",2,0,0
1,53.833547,496,98.000,,1,1,1,1,1,1,96,84,128,40,112,36,1.009706,0.955194,1.024506,1.067443,0.926611,1.062619,"0,1,2,3,4,5",2,0,0
1,53.691534,488,97.946,,1,1,1,1,1,1,100,88,108,44,104,44,1.027113,0.923714,0.971916,0.959689,1.050018,1.041169,"0,1,2,3,4,5",2,0,0
1,53.358572,488,97.946,,1,1,1,1,1,1,100,88,108,44,104,44,1.030035,0.919557,0.961979,0.955592,1.050781,1.044354,"0,1,2,3,4,5",2,0,0
1,53.384537,488,97.946,,1,1,1,1,1,1,100,88,108,44,104,44,1.037735,0.915937,0.966557,0.962953,1.052945,1.036110,"0,1,2,3,4,5",2,0,0
1,12.319012,112,6.948,collision,0,0,0,0,0,0,112,0,0,0,0,0,1.035034,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1
1,14.674447,136,7.910,collision,0,0,0,0,0,0,136,0,0,0,0,0,1.033931,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1
1,54.567521,496,97.821,,1,1,1,1,1,1,116,88,108,36,92,56,1.042365,0.916772,0.969131,0.951398,1.055606,1.040448,"0,1,2,3,4,5",2,0,0
1,54.132926,496,97.821,,1,1,1,1,1,1,116,88,108,36,92,56,1.037342,0.917830,0.971394,0.962349,1.046540,1.038619,"0,1,2,3,4,5",2,0,0
1,54.639504,496,97.821,,1,1,1,1,1,1,116,88,108,36,92,56,1.034926,0.920126,0.969305,0.966408,1.053648,1.034484,"0,1,2,3,4,5",2,0,0
1,15.401478,144,6.823,collision,0,0,0,0,0,0,144,0,0,0,0,0,1.026480,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1
1,54.493091,496,97.821,,1,1,1,1,1,1,116,88,108,36,92,56,1.032336,0.915700,0.963800,0.953458,1.048963,1.039629,"0,1,2,3,4,5",2,0,0
1,15.471565,144,6.823,collision,0,0,0,0,0,0,144,0,0,0,0,0,1.040007,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1
1,14.767335,136,7.910,collision,0,0,0,0,0,0,136,0,0,0,0,0,1.038545,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1
2,13.761982,132,6.900,collision,0,0,0,0,0,0,132,0,0,0,0,0,0.929488,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1
1,54.530457,496,97.821,,1,1,1,1,1,1,116,88,108,36,92,56,1.031810,0.925793,0.971890,0.957837,1.046758,1.032661,"0,1,2,3,4,5",2,0,0
1,54.337311,496,97.821,,1,1,1,1,1,1,116,88,108,36,92,56,1.027442,0.927701,0.969623,0.958998,1.058745,1.035710,"0,1,2,3,4,5",2,0,0
