episode,runtime_sec,steps,reward,failure_reason,task1_success,task2_success,task3_success,task4_success,task5_success,task6_success,task1_steps,task2_steps,task3_steps,task4_steps,task5_steps,task6_steps,llm_time_task1,llm_time_task2,llm_time_task3,llm_time_task4,llm_time_task5,llm_time_task6,cur_skill_calls,third_reward10_count,third_reward10_three,collision_flag
1,10.468993,104,6.977,collision,1,0,0,0,0,0,100,4,0,0,0,0,1.038113,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1
2,43.811986,440,97.978,,1,1,1,1,1,1,104,72,104,28,88,44,0.963859,0.959619,1.046459,1.040412,1.072599,0.932606,"0,1,2,3,4,5",2,0,0
1,46.717163,424,107.977,,1,1,1,1,1,1,96,84,104,28,76,36,1.037861,0.919350,0.968719,0.956658,1.057246,1.039261,"0,1,2,3,4,5",3,1,0
2,47.329787,432,107.978,,1,1,1,1,1,1,100,72,124,28,76,32,1.074329,0.934899,0.988690,0.916680,0.951778,1.014396,"0,1,2,3,4,5",3,1,0
3,48.160680,440,107.932,,1,1,1,1,1,1,100,68,128,28,80,36,0.930449,0.949344,1.039263,1.015009,0.955043,1.028931,"0,1,2,3,4,5",3,1,0
4,49.761310,456,107.915,,1,1,1,1,1,1,104,96,104,28,84,40,1.059368,0.924210,1.071072,1.037641,0.973519,0.939512,"0,1,2,3,4,5",3,1,0
5,49.680205,456,108.000,,1,1,1,1,1,1,92,100,108,28,88,40,1.095027,0.981295,0.933257,0.942969,1.071061,1.028834,"0,1,2,3,4,5",3,1,0
1,10.466224,104,6.977,collision,1,0,0,0,0,0,96,8,0,0,0,0,1.035212,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1
2,45.534394,456,97.978,,1,1,1,1,1,1,100,88,116,24,8,36,0.962456,0.962723,1.045045,1.038271,1.071840,0.936064,"0,1,2,3,4,5",2,0,0
3,47.719573,480,97.924,,1,1,1,1,1,1,120,96,108,24,88,44,0.997363,0.920764,0.965778,1.009637,0.924480,0.953869,"0,1,2,3,4,5",2,0,0
4,49.319810,496,97.915,,1,1,1,1,1,1,100,96,152,24,80,44,1.035639,1.016257,0.952304,1.028253,1.059254,0.919765,"0,1,2,3,4,5",2,0,0
5,43.120043,432,98.000,,1,1,1,1,1,1,92,72,100,28,100,40,1.062289,1.044857,0.985490,0.938646,1.093291,0.972915,"0,1,2,3,4,5",2,0,0
1,10.484425,104,6.977,collision,1,0,0,0,0,0,100,4,0,0,0,0,1.030473,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1
2,43.818373,440,97.978,,1,1,1,1,1,1,104,72,104,28,88,44,0.971426,0.951841,1.046492,1.042188,1.083240,0.941218,"0,1,2,3,4,5",2,0,0
3,43.922089,440,97.923,,1,1,1,1,1,1,104,72,104,28,88,44,0.993640,0.924658,0.961057,1.004268,0.916646,0.951470,"0,1,2,3,4,5",2,0,0
4,11.017229,112,6.916,collision,1,0,0,0,0,0,108,4,0,0,0,0,1.033286,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1
