episode,runtime_sec,steps,reward,task1_success,task2_success,task3_success,task4_success,task5_success,task6_success,task1_steps,task2_steps,task3_steps,task4_steps,task5_steps,task6_steps,llm_time_task1,llm_time_task2,llm_time_task3,llm_time_task4,llm_time_task5,llm_time_task6,cur_skill_calls
1,51.981603,472,97.974,1,1,1,1,1,1,92,84,120,52,88,36,1.443458,0.923544,0.921771,0.922445,0.941433,0.926441,"0,1,2,3,4,5"
2,47.805313,440,107.977,1,1,1,1,1,1,92,68,120,24,92,44,0.938219,0.921633,0.938025,0.919951,0.923067,0.925802,"0,1,2,3,4,5"
3,50.911919,472,107.933,1,1,1,1,1,1,96,92,136,28,80,40,0.929987,0.935123,0.924181,0.928695,0.923565,0.9205,"0,1,2,3,4,5"
4,50.128612,464,107.913,1,1,1,1,1,1,96,112,120,32,68,36,0.933657,0.925482,0.924507,0.930213,0.929789,0.923828,"0,1,2,3,4,5"
5,46.103973,424,98.0,1,1,1,1,1,1,88,72,112,28,84,40,0.926638,0.916592,0.932254,0.93876,0.92251,0.927412,"0,1,2,3,4,5"
6,44.208554,404,97.996,1,1,1,1,1,1,84,68,112,28,80,32,0.929575,0.92882,0.936539,0.920583,0.926766,0.932896,"0,1,2,3,4,5"
7,48.017559,444,108.0,1,1,1,1,1,1,84,88,124,24,84,40,0.928468,0.930106,0.918581,0.925241,0.930279,0.926196,"0,1,2,3,4,5"
8,49.285999,456,97.943,1,1,1,1,1,1,96,84,124,24,92,36,0.933875,0.925366,0.919354,0.917121,0.932348,0.928519,"0,1,2,3,4,5"
9,43.826679,400,98.0,1,1,1,1,1,1,84,72,108,32,68,36,0.936121,0.925762,0.933841,0.926407,0.928264,0.920763,"0,1,2,3,4,5"
10,47.326697,436,98.0,1,1,1,1,1,1,88,88,108,32,84,36,0.940685,0.919566,0.918356,0.914972,0.933011,0.938405,"0,1,2,3,4,5"
11,48.122373,444,98.0,1,1,1,1,1,1,88,72,132,28,84,40,0.938089,0.924247,0.924005,0.952601,0.923559,0.922014,"0,1,2,3,4,5"
12,45.842583,420,97.994,1,1,1,1,1,1,84,72,112,32,84,36,0.933396,0.938259,0.932755,0.945932,0.91801,0.926404,"0,1,2,3,4,5"
13,51.716377,480,107.973,1,1,1,1,1,1,96,92,140,28,84,40,0.922986,0.928626,0.934812,0.931659,0.937643,0.923731,"0,1,2,3,4,5"
14,48.478267,448,108.0,1,1,1,1,1,1,92,92,116,28,84,36,0.928205,0.917742,0.924166,0.918611,0.926046,0.927393,"0,1,2,3,4,5"
15,46.997828,432,108.0,1,1,1,1,1,1,92,72,120,28,84,36,0.941236,0.926901,0.916924,0.916071,0.921507,0.923673,"0,1,2,3,4,5"
16,48.596814,448,108.951,1,1,1,1,1,1,100,84,112,28,88,36,0.922972,0.915192,0.919635,0.931558,0.926315,0.926581,"0,1,2,3,4,5"
17,45.414832,416,97.997,1,1,1,1,1,1,92,84,112,28,68,32,0.940614,0.923664,0.917082,0.934511,0.928003,0.931704,"0,1,2,3,4,5"
18,46.710819,432,108.0,1,1,1,1,1,1,84,68,120,28,84,48,0.92708,0.917966,0.925773,0.921082,0.921745,0.933474,"0,1,2,3,4,5"
20,48.696577,452,108.0,1,1,1,1,1,1,84,92,124,28,84,40,0.910444,0.935366,0.931508,0.927473,0.921754,0.92118,"0,1,2,3,4,5"
21,44.871189,416,98.0,1,1,1,1,1,1,96,72,108,32,68,40,0.934617,0.945463,0.922216,0.916265,0.910711,0.924383,"0,1,2,3,4,5"
22,48.928979,452,87.899,1,1,1,1,1,1,100,92,112,28,84,36,0.939377,0.926539,0.929429,0.918564,0.933774,0.926324,"0,1,2,3,4,5"
23,47.78178,440,107.974,1,1,1,1,1,1,92,96,116,28,76,32,0.927367,0.921512,0.922249,0.920153,0.921574,0.929677,"0,1,2,3,4,5"
24,48.408565,448,107.983,1,1,1,1,1,1,84,84,128,28,84,40,0.921285,0.920669,0.944887,0.921195,0.924848,0.937077,"0,1,2,3,4,5"
25,51.615621,480,108.0,1,1,1,1,1,1,84,124,116,32,72,52,0.936527,0.929106,0.928813,0.921713,0.921306,0.928158,"0,1,2,3,4,5"
26,46.219924,424,97.962,1,1,1,1,1,1,96,68,120,32,76,32,0.925897,0.921545,0.925183,0.925649,0.94095,0.919512,"0,1,2,3,4,5"
27,49.712463,460,108.0,1,1,1,1,1,1,84,100,124,32,84,36,0.930368,0.93116,0.919742,0.930371,0.92314,0.936507,"0,1,2,3,4,5"
28,46.987163,432,107.949,1,1,1,1,1,1,92,84,112,28,80,36,0.926242,0.923913,0.918782,0.919073,0.926484,0.924235,"0,1,2,3,4,5"
29,47.784916,440,107.956,1,1,1,1,1,1,92,68,124,28,84,44,0.940751,0.919733,0.934436,0.941092,0.939814,0.925093,"0,1,2,3,4,5"
30,46.232453,424,108.0,1,1,1,1,1,1,96,68,112,28,84,36,0.936451,0.9169,0.921842,0.932888,0.946049,0.935387,"0,1,2,3,4,5"
31,45.990849,424,107.997,1,1,1,1,1,1,88,68,116,28,84,40,0.928474,0.926866,0.916223,0.92644,0.932804,0.923109,"0,1,2,3,4,5"
32,48.119808,444,107.936,1,1,1,1,1,1,92,84,120,28,80,40,0.925727,0.926801,0.919612,0.936085,0.932678,0.931051,"0,1,2,3,4,5"
33,47.777847,440,77.96,1,1,1,1,1,1,96,92,112,28,104,8,0.935855,0.928357,0.922144,0.965675,0.945374,0.925529,"0,1,2,3,4,5"
35,47.1878,436,97.97,1,1,1,1,1,1,92,84,108,28,88,36,0.778116,0.933794,0.934952,0.932109,0.924491,0.925634,"0,1,2,3,4,5"
36,46.42205,428,108.0,1,1,1,1,1,1,84,68,120,28,88,40,0.931258,0.925861,0.919329,0.928075,0.927057,0.93406,"0,1,2,3,4,5"
37,44.987321,412,98.0,1,1,1,1,1,1,92,72,112,28,72,36,0.933313,0.924526,0.922747,0.926128,0.917325,0.927108,"0,1,2,3,4,5"
38,45.087617,416,107.989,1,1,1,1,1,1,88,68,120,32,72,36,0.926538,0.923327,0.923092,0.928604,0.917614,0.917175,"0,1,2,3,4,5"
39,49.013152,452,108.0,1,1,1,1,1,1,84,100,116,28,88,36,0.941937,0.934775,0.925852,0.924336,0.919359,0.916803,"0,1,2,3,4,5"
40,45.675413,420,97.958,1,1,1,1,1,1,92,72,108,28,72,48,0.928325,0.921665,0.924142,0.923948,0.913513,0.922393,"0,1,2,3,4,5"
42,46.483323,432,108.0,1,1,1,1,1,1,88,72,120,24,84,44,0.77537,0.917717,0.918778,0.932017,0.934595,0.932899,"0,1,2,3,4,5"
43,48.090782,444,98.0,1,1,1,1,1,1,84,100,112,28,84,36,0.923019,0.925723,0.92385,0.922108,0.916303,0.929519,"0,1,2,3,4,5"
44,51.303021,476,108.0,1,1,1,1,1,1,88,112,116,36,84,40,0.933496,0.921819,0.922902,0.922079,0.918998,0.930207,"0,1,2,3,4,5"
45,46.601453,428,107.934,1,1,1,1,1,1,96,68,120,24,72,48,0.933799,0.91916,0.919203,0.933228,0.92483,0.928107,"0,1,2,3,4,5"
46,47.504466,440,97.992,1,1,1,1,1,1,88,84,116,28,84,40,0.92836,0.919942,0.921346,0.935154,0.931412,0.92467,"0,1,2,3,4,5"
47,46.135686,424,107.999,1,1,1,1,1,1,84,68,124,24,88,36,0.935889,0.926026,0.922808,0.927143,0.930916,0.927925,"0,1,2,3,4,5"
48,46.536761,428,97.907,1,1,1,1,1,1,108,72,112,24,76,36,0.92355,0.933639,0.937044,0.932803,0.929029,0.926014,"0,1,2,3,4,5"
49,48.252366,448,97.961,1,1,1,1,1,1,96,76,120,28,80,48,0.924702,0.914927,0.920455,0.918925,0.923216,0.922561,"0,1,2,3,4,5"
50,47.809124,440,107.998,1,1,1,1,1,1,88,84,120,28,84,36,0.93661,0.92262,0.925692,0.927922,0.93466,0.914359,"0,1,2,3,4,5"
52,47.218429,436,98.0,1,1,1,1,1,1,92,92,116,28,76,32,0.773336,0.923416,0.916092,0.920404,0.930217,0.919206,"0,1,2,3,4,5"
53,47.432663,436,98.0,1,1,1,1,1,1,84,72,104,56,84,36,0.925385,0.944638,0.927166,0.927914,0.92208,0.933436,"0,1,2,3,4,5"
54,46.16342,424,107.937,1,1,1,1,1,1,88,68,132,32,68,36,0.930996,0.912712,0.932122,0.92503,0.914851,0.918107,"0,1,2,3,4,5"
55,46.593402,428,107.999,1,1,1,1,1,1,92,72,120,28,80,36,0.93731,0.921088,0.918552,0.917073,0.923517,0.920598,"0,1,2,3,4,5"
56,46.200587,424,107.935,1,1,1,1,1,1,92,80,116,28,76,32,0.932766,0.927373,0.927863,0.933182,0.921059,0.916784,"0,1,2,3,4,5"
57,50.610287,468,97.99,1,1,1,1,1,1,92,100,116,32,84,44,0.928484,0.932345,0.939581,0.922691,0.916606,0.918862,"0,1,2,3,4,5"
