episode,runtime_sec,steps,reward,task1_success,task2_success,task3_success,task4_success,task5_success,task6_success,task1_steps,task2_steps,task3_steps,task4_steps,task5_steps,task6_steps
1,47.498633,472,97.974,1,1,1,1,1,1,92,84,120,52,88,36
2,44.021731,440,107.977,1,1,1,1,1,1,92,68,120,24,92,44
3,47.116351,472,107.933,1,1,1,1,1,1,96,92,136,28,80,40
4,46.324020,464,107.913,1,1,1,1,1,1,96,112,120,32,68,36
5,42.319179,424,98.000,1,1,1,1,1,1,88,72,112,28,84,40
6,40.425242,404,97.996,1,1,1,1,1,1,84,68,112,28,80,32
7,44.218536,444,108.000,1,1,1,1,1,1,84,88,124,24,84,40
8,45.520282,456,97.943,1,1,1,1,1,1,96,84,124,24,92,36
9,40.012753,400,98.000,1,1,1,1,1,1,84,72,108,32,68,36
10,43.527577,436,98.000,1,1,1,1,1,1,88,88,108,32,84,36
11,44.325653,444,98.000,1,1,1,1,1,1,88,72,132,28,84,40
12,42.014108,420,97.994,1,1,1,1,1,1,84,72,112,32,84,36
13,47.923509,480,107.973,1,1,1,1,1,1,96,92,140,28,84,40
14,44.718857,448,108.000,1,1,1,1,1,1,92,92,116,28,84,36
15,43.217626,432,108.000,1,1,1,1,1,1,92,72,120,28,84,36
16,44.818831,448,108.951,1,1,1,1,1,1,100,84,112,28,88,36
17,41.623833,416,97.997,1,1,1,1,1,1,92,84,112,28,68,32
18,42.916849,432,108.000,1,1,1,1,1,1,84,68,120,28,84,48
19,35.413761,356,62.906,1,1,1,1,0,0,100,84,124,28,20,0
20,44.921623,452,108.000,1,1,1,1,1,1,84,92,124,28,84,40
21,41.021182,416,98.000,1,1,1,1,1,1,96,72,108,32,68,40
22,45.129129,452,87.899,1,1,1,1,1,1,100,92,112,28,84,36
23,44.008190,440,107.974,1,1,1,1,1,1,92,96,116,28,76,32
24,44.616275,448,107.983,1,1,1,1,1,1,84,84,128,28,84,40
25,47.821607,480,108.000,1,1,1,1,1,1,84,124,116,32,72,52
26,42.413796,424,97.962,1,1,1,1,1,1,96,68,120,32,76,32
27,45.932538,460,108.000,1,1,1,1,1,1,84,100,124,32,84,36
28,43.213591,432,107.949,1,1,1,1,1,1,92,84,112,28,80,36
29,43.934624,440,107.956,1,1,1,1,1,1,92,68,124,28,84,44
30,42.399431,424,108.000,1,1,1,1,1,1,96,68,112,28,84,36
31,42.231327,424,107.997,1,1,1,1,1,1,88,68,116,28,84,40
32,44.319654,444,107.936,1,1,1,1,1,1,92,84,120,28,80,40
33,43.914153,440,77.960,1,1,1,1,1,1,96,92,112,28,104,8
34,1.417411,16,-5.065,0,0,0,0,0,0,16,0,0,0,0,0
35,43.520661,436,97.970,1,1,1,1,1,1,92,84,108,28,88,36
36,42.633383,428,108.000,1,1,1,1,1,1,84,68,120,28,88,40
37,41.210561,412,98.000,1,1,1,1,1,1,92,72,112,28,72,36
38,41.317319,416,107.989,1,1,1,1,1,1,88,68,120,32,72,36
39,45.216283,452,108.000,1,1,1,1,1,1,84,100,116,28,88,36
40,41.918385,420,97.958,1,1,1,1,1,1,92,72,108,28,72,48
41,0.362188,8,-5.025,0,0,0,0,0,0,8,0,0,0,0,0
42,42.918694,432,108.000,1,1,1,1,1,1,88,72,120,24,84,44
43,44.316952,444,98.000,1,1,1,1,1,1,84,100,112,28,84,36
