metric,value
method,DK-ABS
scenario,UGV Street Patrol Parking
episodes,5000
summary_window,5000
avg_score_all,49.8741
avg_reward_all,28.1513
avg_success_all,0.3488
avg_stage_ratio_all,0.6396
avg_steps_all,32.1376
avg_equivalent_env_steps_all,15426.048
avg_completion_time_steps_all,59.761
avg_normalized_completion_time_all,0.8537
avg_route_efficiency_all,1.2186
avg_progress_per_step_all,0.1045
avg_collisions_all,0.651
avg_violations_all,0.0
avg_unsafe_rate_all,0.651
avg_collision_rate_all,0.048
avg_violation_rate_all,0.0
avg_unsafe_event_rate_all,0.048
avg_planner_accuracy_all,0.4209
avg_planner_miss_ratio_all,0.5791
avg_planner_legal_ratio_all,0.4723
avg_target_hits_all,0.0
avg_wait_time_all,0.0
avg_stage_latency_seconds_all,0.0
avg_latency_penalty_all,0.0
avg_idle_ratio_all,0.0
avg_wait_ratio_all,0.0
avg_follow_ratio_all,0.0
avg_select_ratio_all,0.0
avg_compensation_utilization_all,0.0
avg_safety_saved_all,0.0
avg_safety_interventions_all,0.0
avg_safety_success_rate_all,0.5654
avg_critical_events_all,9.6626
avg_critical_safe_all,5.5282
avg_risk_exposure_all,0.554
avg_observed_risk_all,0.1
avg_high_risk_step_ratio_all,0.1073
avg_hazard_step_ratio_all,0.7618
avg_red_light_exposure_ratio_all,0.0433
avg_critical_event_rate_all,0.2867
avg_intervention_rate_all,0.0
avg_safety_precision_all,0.0
avg_safety_recall_all,0.5654
avg_stop_ratio_all,0.0
avg_steer_left_ratio_all,0.0
avg_steer_right_ratio_all,0.0
avg_behavior_entropy_all,1.0735
avg_safety_entropy_all,0.0
total_equivalent_env_steps,77130240
