metric,value
method,DK-ABS w/o DK
scenario,UGV Street Patrol Parking
episodes,5000
summary_window,5000
avg_score_all,38.0248
avg_reward_all,21.3612
avg_success_all,0.2818
avg_stage_ratio_all,0.513
avg_steps_all,26.4526
avg_equivalent_env_steps_all,12697.248
avg_completion_time_steps_all,61.4976
avg_normalized_completion_time_all,0.8785
avg_route_efficiency_all,1.048
avg_progress_per_step_all,0.0898
avg_collisions_all,0.7182
avg_violations_all,0.0
avg_unsafe_rate_all,0.7182
avg_collision_rate_all,0.0773
avg_violation_rate_all,0.0
avg_unsafe_event_rate_all,0.0773
avg_planner_accuracy_all,0.2869
avg_planner_miss_ratio_all,0.7131
avg_planner_legal_ratio_all,0.3307
avg_target_hits_all,0.0
avg_wait_time_all,0.0
avg_stage_latency_seconds_all,0.0
avg_latency_penalty_all,0.0
avg_idle_ratio_all,0.0
avg_wait_ratio_all,0.0
avg_follow_ratio_all,0.0
avg_select_ratio_all,0.0
avg_compensation_utilization_all,0.0
avg_safety_saved_all,0.0
avg_safety_interventions_all,0.0
avg_safety_success_rate_all,0.5705
avg_critical_events_all,7.7058
avg_critical_safe_all,4.7022
avg_risk_exposure_all,0.5447
avg_observed_risk_all,0.1
avg_high_risk_step_ratio_all,0.0874
avg_hazard_step_ratio_all,0.7471
avg_red_light_exposure_ratio_all,0.0362
avg_critical_event_rate_all,0.2729
avg_intervention_rate_all,0.0
avg_safety_precision_all,0.0
avg_safety_recall_all,0.5705
avg_stop_ratio_all,0.0
avg_steer_left_ratio_all,0.0
avg_steer_right_ratio_all,0.0
avg_behavior_entropy_all,1.033
avg_safety_entropy_all,0.0
total_equivalent_env_steps,63486240
