metric,value
method,DK-ABS w/o OS
scenario,UGV Street Patrol Parking
episodes,5000
summary_window,5000
avg_score_all,42.7901
avg_reward_all,24.0408
avg_success_all,0.2782
avg_stage_ratio_all,0.5587
avg_steps_all,27.5304
avg_equivalent_env_steps_all,13214.592
avg_completion_time_steps_all,61.386
avg_normalized_completion_time_all,0.8769
avg_route_efficiency_all,1.2042
avg_progress_per_step_all,0.1032
avg_collisions_all,0.6586
avg_violations_all,0.0632
avg_unsafe_rate_all,0.7218
avg_collision_rate_all,0.052
avg_violation_rate_all,0.0034
avg_unsafe_event_rate_all,0.0553
avg_planner_accuracy_all,0.3574
avg_planner_miss_ratio_all,0.6426
avg_planner_legal_ratio_all,0.3943
avg_target_hits_all,0.0
avg_wait_time_all,0.0
avg_stage_latency_seconds_all,0.0
avg_latency_penalty_all,0.0
avg_idle_ratio_all,0.0
avg_wait_ratio_all,0.0
avg_follow_ratio_all,0.0
avg_select_ratio_all,0.0
avg_compensation_utilization_all,0.0
avg_safety_saved_all,0.0
avg_safety_interventions_all,0.0
avg_safety_success_rate_all,0.6452
avg_critical_events_all,8.464
avg_critical_safe_all,5.5806
avg_risk_exposure_all,0.5548
avg_observed_risk_all,0.1
avg_high_risk_step_ratio_all,0.1146
avg_hazard_step_ratio_all,0.7583
avg_red_light_exposure_ratio_all,0.0472
avg_critical_event_rate_all,0.2938
avg_intervention_rate_all,0.0
avg_safety_precision_all,0.0
avg_safety_recall_all,0.6452
avg_stop_ratio_all,0.0
avg_steer_left_ratio_all,0.0
avg_steer_right_ratio_all,0.0
avg_behavior_entropy_all,0.9743
avg_safety_entropy_all,0.0
total_equivalent_env_steps,66072960
