metric,value
method,DK-ABS
scenario,UGV Complex Road Passage
episodes,4000
summary_window,4000
avg_score_all,69.5184
avg_reward_all,122.1624
avg_success_all,0.645
avg_stage_ratio_all,0.7613
avg_steps_all,12.8712
avg_equivalent_env_steps_all,4118.8
avg_completion_time_steps_all,38.354
avg_normalized_completion_time_all,0.4794
avg_route_efficiency_all,4.4403
avg_progress_per_step_all,0.333
avg_collisions_all,0.355
avg_violations_all,0.0
avg_unsafe_rate_all,0.355
avg_collision_rate_all,0.0658
avg_violation_rate_all,0.0
avg_unsafe_event_rate_all,0.0658
avg_planner_accuracy_all,0.5191
avg_planner_miss_ratio_all,0.4809
avg_planner_legal_ratio_all,0.6653
avg_target_hits_all,1.8005
avg_wait_time_all,0.0
avg_stage_latency_seconds_all,0.0
avg_latency_penalty_all,0.0
avg_idle_ratio_all,0.0
avg_wait_ratio_all,0.0
avg_follow_ratio_all,0.0
avg_select_ratio_all,0.0
avg_compensation_utilization_all,0.0
avg_safety_saved_all,0.0
avg_safety_interventions_all,0.0
avg_safety_success_rate_all,0.5277
avg_critical_events_all,4.4078
avg_critical_safe_all,2.3142
avg_risk_exposure_all,0.4764
avg_observed_risk_all,0.1
avg_high_risk_step_ratio_all,0.2674
avg_hazard_step_ratio_all,0.4442
avg_red_light_exposure_ratio_all,0.054
avg_critical_event_rate_all,0.3207
avg_intervention_rate_all,0.0
avg_safety_precision_all,0.0
avg_safety_recall_all,0.5277
avg_stop_ratio_all,0.0
avg_steer_left_ratio_all,0.0
avg_steer_right_ratio_all,0.0
avg_behavior_entropy_all,1.5599
avg_safety_entropy_all,0.0
total_equivalent_env_steps,16475200
