metric,value
method,DK-ABS w/o DK
scenario,UGV Complex Road Passage
episodes,4000
summary_window,4000
avg_score_all,65.2401
avg_reward_all,112.2021
avg_success_all,0.5737
avg_stage_ratio_all,0.7138
avg_steps_all,12.747
avg_equivalent_env_steps_all,4079.04
avg_completion_time_steps_all,43.2665
avg_normalized_completion_time_all,0.5408
avg_route_efficiency_all,4.1749
avg_progress_per_step_all,0.3131
avg_collisions_all,0.4263
avg_violations_all,0.0
avg_unsafe_rate_all,0.4263
avg_collision_rate_all,0.0742
avg_violation_rate_all,0.0
avg_unsafe_event_rate_all,0.0742
avg_planner_accuracy_all,0.4216
avg_planner_miss_ratio_all,0.5784
avg_planner_legal_ratio_all,0.5954
avg_target_hits_all,1.592
avg_wait_time_all,0.0
avg_stage_latency_seconds_all,0.0
avg_latency_penalty_all,0.0
avg_idle_ratio_all,0.0
avg_wait_ratio_all,0.0
avg_follow_ratio_all,0.0
avg_select_ratio_all,0.0
avg_compensation_utilization_all,0.0
avg_safety_saved_all,0.0
avg_safety_interventions_all,0.0
avg_safety_success_rate_all,0.5009
avg_critical_events_all,4.3167
avg_critical_safe_all,2.2252
avg_risk_exposure_all,0.474
avg_observed_risk_all,0.1
avg_high_risk_step_ratio_all,0.2712
avg_hazard_step_ratio_all,0.4328
avg_red_light_exposure_ratio_all,0.0492
avg_critical_event_rate_all,0.3195
avg_intervention_rate_all,0.0
avg_safety_precision_all,0.0
avg_safety_recall_all,0.5009
avg_stop_ratio_all,0.0
avg_steer_left_ratio_all,0.0
avg_steer_right_ratio_all,0.0
avg_behavior_entropy_all,1.4982
avg_safety_entropy_all,0.0
total_equivalent_env_steps,16316160
