metric,value
method,DK-ABS w/o OS
scenario,UGV Complex Road Passage
episodes,4000
summary_window,4000
avg_score_all,58.7782
avg_reward_all,99.5087
avg_success_all,0.4995
avg_stage_ratio_all,0.644
avg_steps_all,10.5947
avg_equivalent_env_steps_all,3390.32
avg_completion_time_steps_all,47.2953
avg_normalized_completion_time_all,0.5912
avg_route_efficiency_all,4.4051
avg_progress_per_step_all,0.3304
avg_collisions_all,0.4835
avg_violations_all,0.017
avg_unsafe_rate_all,0.5005
avg_collision_rate_all,0.1028
avg_violation_rate_all,0.0016
avg_unsafe_event_rate_all,0.1043
avg_planner_accuracy_all,0.525
avg_planner_miss_ratio_all,0.475
avg_planner_legal_ratio_all,0.5672
avg_target_hits_all,1.6798
avg_wait_time_all,0.0
avg_stage_latency_seconds_all,0.0
avg_latency_penalty_all,0.0
avg_idle_ratio_all,0.0
avg_wait_ratio_all,0.0
avg_follow_ratio_all,0.0
avg_select_ratio_all,0.0
avg_compensation_utilization_all,0.0
avg_safety_saved_all,0.0
avg_safety_interventions_all,0.0
avg_safety_success_rate_all,0.4958
avg_critical_events_all,3.6085
avg_critical_safe_all,1.9347
avg_risk_exposure_all,0.4603
avg_observed_risk_all,0.1
avg_high_risk_step_ratio_all,0.2667
avg_hazard_step_ratio_all,0.4126
avg_red_light_exposure_ratio_all,0.0535
avg_critical_event_rate_all,0.3122
avg_intervention_rate_all,0.0
avg_safety_precision_all,0.0
avg_safety_recall_all,0.4958
avg_stop_ratio_all,0.0
avg_steer_left_ratio_all,0.0
avg_steer_right_ratio_all,0.0
avg_behavior_entropy_all,1.3901
avg_safety_entropy_all,0.0
total_equivalent_env_steps,13561280
