method,scenario,episodes,summary_window,avg_score_all,avg_reward_all,avg_success_all,avg_stage_ratio_all,avg_steps_all,avg_equivalent_env_steps_all,avg_completion_time_steps_all,avg_normalized_completion_time_all,avg_route_efficiency_all,avg_progress_per_step_all,avg_collisions_all,avg_violations_all,avg_unsafe_rate_all,avg_collision_rate_all,avg_violation_rate_all,avg_unsafe_event_rate_all,avg_planner_accuracy_all,avg_planner_miss_ratio_all,avg_planner_legal_ratio_all,avg_target_hits_all,avg_wait_time_all,avg_stage_latency_seconds_all,avg_latency_penalty_all,avg_idle_ratio_all,avg_wait_ratio_all,avg_follow_ratio_all,avg_select_ratio_all,avg_compensation_utilization_all,avg_safety_saved_all,avg_safety_interventions_all,avg_safety_success_rate_all,avg_critical_events_all,avg_critical_safe_all,avg_risk_exposure_all,avg_observed_risk_all,avg_high_risk_step_ratio_all,avg_hazard_step_ratio_all,avg_red_light_exposure_ratio_all,avg_critical_event_rate_all,avg_intervention_rate_all,avg_safety_precision_all,avg_safety_recall_all,avg_stop_ratio_all,avg_steer_left_ratio_all,avg_steer_right_ratio_all,avg_behavior_entropy_all,avg_safety_entropy_all,total_equivalent_env_steps,suite,method_key,scenario_key,seed
HSD-3,UGV Street Patrol Parking,5000,5000,29.7144,17.0069,0.2636,0.4173,22.0328,10575.744,61.806,0.8829,0.9247,0.0793,0.696,0.0396,0.7356,0.1042,0.0022,0.1064,0.2505,0.7495,0.2894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5834,6.747,4.274,0.5444,0.1,0.0921,0.7423,0.039,0.2793,0.0,0.0,0.5834,0.0,0.0,0.0,0.8953,0.0,52878720,Chapter 2 Patrol Comparison,hsd3,patrol,42
SayCan,UGV Street Patrol Parking,5000,5000,32.3483,18.6247,0.2888,0.4472,22.6534,10873.632,60.9208,0.8703,0.9876,0.0847,0.6532,0.058,0.7112,0.0983,0.0032,0.1015,0.2651,0.7349,0.3071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5912,6.7958,4.5168,0.5443,0.1,0.0906,0.74,0.0384,0.2747,0.0,0.0,0.5912,0.0,0.0,0.0,0.9332,0.0,54368160,Chapter 2 Patrol Comparison,saycan,patrol,42
DILU,UGV Street Patrol Parking,5000,5000,37.9386,21.9686,0.3342,0.5047,24.8472,11926.656,59.786,0.8541,1.0918,0.0936,0.6158,0.05,0.6658,0.0792,0.0028,0.082,0.3258,0.6742,0.3678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6147,7.6568,4.951,0.5504,0.1,0.1057,0.7523,0.0445,0.2846,0.0,0.0,0.6147,0.0,0.0,0.0,0.9339,0.0,59633280,Chapter 2 Patrol Comparison,dilu,patrol,42
DK-ABS,UGV Street Patrol Parking,5000,5000,50.8817,28.6846,0.3538,0.6503,32.6584,15676.032,59.7042,0.8529,1.2313,0.1055,0.646,0.0,0.646,0.0453,0.0,0.0453,0.4265,0.5735,0.4796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5601,9.825,5.5724,0.5547,0.1,0.1097,0.763,0.0433,0.2876,0.0,0.0,0.5601,0.0,0.0,0.0,1.086,0.0,78380160,Chapter 2 Patrol Comparison,dkabs,patrol,42
HSD-3,UGV Street Patrol Parking,5000,5000,29.5819,16.9685,0.2602,0.4161,21.4198,10281.504,61.5306,0.879,0.9465,0.0811,0.6926,0.047,0.7396,0.11,0.0025,0.1125,0.2503,0.7497,0.287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5849,6.4092,4.2302,0.543,0.1,0.0881,0.737,0.038,0.2722,0.0,0.0,0.5849,0.0,0.0,0.0,0.8815,0.0,51407520,Chapter 2 Patrol Comparison,hsd3,patrol,43
SayCan,UGV Street Patrol Parking,5000,5000,32.192,18.4884,0.2848,0.4453,22.6782,10885.536,60.9944,0.8713,0.9865,0.0846,0.6656,0.0496,0.7152,0.0978,0.0027,0.1006,0.2631,0.7369,0.3054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6024,6.8246,4.5804,0.544,0.1,0.089,0.7401,0.0369,0.2765,0.0,0.0,0.6024,0.0,0.0,0.0,0.9253,0.0,54427680,Chapter 2 Patrol Comparison,saycan,patrol,43
DILU,UGV Street Patrol Parking,5000,5000,37.8645,21.9628,0.3366,0.5034,24.8226,11914.848,59.729,0.8533,1.0858,0.0931,0.616,0.0474,0.6634,0.0821,0.0025,0.0846,0.327,0.673,0.3688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6095,7.6748,4.9412,0.5502,0.1,0.1046,0.7512,0.0436,0.2848,0.0,0.0,0.6095,0.0,0.0,0.0,0.9195,0.0,59574240,Chapter 2 Patrol Comparison,dilu,patrol,43
DK-ABS,UGV Street Patrol Parking,5000,5000,51.1547,29.0004,0.368,0.6527,32.522,15610.56,59.2574,0.8465,1.2419,0.1064,0.6316,0.0,0.6316,0.043,0.0,0.043,0.4367,0.5633,0.4901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5704,9.8606,5.6386,0.5546,0.1,0.109,0.7643,0.0427,0.2906,0.0,0.0,0.5704,0.0,0.0,0.0,1.0856,0.0,78052800,Chapter 2 Patrol Comparison,dkabs,patrol,43
HSD-3,UGV Street Patrol Parking,5000,5000,27.7006,15.8015,0.2416,0.3971,20.8532,10009.536,62.0838,0.8869,0.9173,0.0786,0.7122,0.0462,0.7584,0.1139,0.0025,0.1164,0.2342,0.7658,0.2686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5853,6.2248,4.1164,0.5426,0.1,0.0877,0.7393,0.0374,0.2727,0.0,0.0,0.5853,0.0,0.0,0.0,0.8585,0.0,50047680,Chapter 2 Patrol Comparison,hsd3,patrol,44
SayCan,UGV Street Patrol Parking,5000,5000,32.2121,18.5452,0.2854,0.4457,22.5216,10810.368,60.8828,0.8698,0.9957,0.0853,0.6566,0.058,0.7146,0.0931,0.0031,0.0963,0.2636,0.7364,0.3058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6119,6.654,4.5344,0.5431,0.1,0.0864,0.7415,0.0369,0.2719,0.0,0.0,0.6119,0.0,0.0,0.0,0.9247,0.0,54051840,Chapter 2 Patrol Comparison,saycan,patrol,44
