metric,value
method,DILU
scenario,UGV Street Patrol Parking
episodes,5000
summary_window,5000
avg_score_all,37.9386
avg_reward_all,21.9686
avg_success_all,0.3342
avg_stage_ratio_all,0.5047
avg_steps_all,24.8472
avg_equivalent_env_steps_all,11926.656
avg_completion_time_steps_all,59.786
avg_normalized_completion_time_all,0.8541
avg_route_efficiency_all,1.0918
avg_progress_per_step_all,0.0936
avg_collisions_all,0.6158
avg_violations_all,0.05
avg_unsafe_rate_all,0.6658
avg_collision_rate_all,0.0792
avg_violation_rate_all,0.0028
avg_unsafe_event_rate_all,0.082
avg_planner_accuracy_all,0.3258
avg_planner_miss_ratio_all,0.6742
avg_planner_legal_ratio_all,0.3678
avg_target_hits_all,0.0
avg_wait_time_all,0.0
avg_stage_latency_seconds_all,0.0
avg_latency_penalty_all,0.0
avg_idle_ratio_all,0.0
avg_wait_ratio_all,0.0
avg_follow_ratio_all,0.0
avg_select_ratio_all,0.0
avg_compensation_utilization_all,0.0
avg_safety_saved_all,0.0
avg_safety_interventions_all,0.0
avg_safety_success_rate_all,0.6147
avg_critical_events_all,7.6568
avg_critical_safe_all,4.951
avg_risk_exposure_all,0.5504
avg_observed_risk_all,0.1
avg_high_risk_step_ratio_all,0.1057
avg_hazard_step_ratio_all,0.7523
avg_red_light_exposure_ratio_all,0.0445
avg_critical_event_rate_all,0.2846
avg_intervention_rate_all,0.0
avg_safety_precision_all,0.0
avg_safety_recall_all,0.6147
avg_stop_ratio_all,0.0
avg_steer_left_ratio_all,0.0
avg_steer_right_ratio_all,0.0
avg_behavior_entropy_all,0.9339
avg_safety_entropy_all,0.0
total_equivalent_env_steps,59633280
