metric,value
method,HSD-3
scenario,UGV Street Patrol Parking
episodes,5000
summary_window,5000
avg_score_all,29.5819
avg_reward_all,16.9685
avg_success_all,0.2602
avg_stage_ratio_all,0.4161
avg_steps_all,21.4198
avg_equivalent_env_steps_all,10281.504
avg_completion_time_steps_all,61.5306
avg_normalized_completion_time_all,0.879
avg_route_efficiency_all,0.9465
avg_progress_per_step_all,0.0811
avg_collisions_all,0.6926
avg_violations_all,0.047
avg_unsafe_rate_all,0.7396
avg_collision_rate_all,0.11
avg_violation_rate_all,0.0025
avg_unsafe_event_rate_all,0.1125
avg_planner_accuracy_all,0.2503
avg_planner_miss_ratio_all,0.7497
avg_planner_legal_ratio_all,0.287
avg_target_hits_all,0.0
avg_wait_time_all,0.0
avg_stage_latency_seconds_all,0.0
avg_latency_penalty_all,0.0
avg_idle_ratio_all,0.0
avg_wait_ratio_all,0.0
avg_follow_ratio_all,0.0
avg_select_ratio_all,0.0
avg_compensation_utilization_all,0.0
avg_safety_saved_all,0.0
avg_safety_interventions_all,0.0
avg_safety_success_rate_all,0.5849
avg_critical_events_all,6.4092
avg_critical_safe_all,4.2302
avg_risk_exposure_all,0.543
avg_observed_risk_all,0.1
avg_high_risk_step_ratio_all,0.0881
avg_hazard_step_ratio_all,0.737
avg_red_light_exposure_ratio_all,0.038
avg_critical_event_rate_all,0.2722
avg_intervention_rate_all,0.0
avg_safety_precision_all,0.0
avg_safety_recall_all,0.5849
avg_stop_ratio_all,0.0
avg_steer_left_ratio_all,0.0
avg_steer_right_ratio_all,0.0
avg_behavior_entropy_all,0.8815
avg_safety_entropy_all,0.0
total_equivalent_env_steps,51407520
