episode,score,reward,success,stages_completed,stage_completion_ratio,steps,equivalent_env_steps,completion_time_steps,nominal_completion_time_seconds,latency_time_seconds,completion_time_seconds,normalized_completion_time,route_efficiency,progress_per_step,collisions,violations,unsafe_episode,collision_rate,violation_rate,unsafe_event_rate,target_hits,planner_accuracy,planner_miss_ratio,planner_legal_ratio,planner_exact_hits,planner_legal_hits,planner_total,avg_stage_wait_time,avg_stage_latency_seconds,latency_penalty,idle_window_ratio,wait_ratio,follow_ratio,select_ratio,compensation_utilization,safety_saved,safety_interventions,safety_success_rate,critical_events,critical_safe_count,risk_exposure,observed_risk_mean,high_risk_step_ratio,hazard_step_ratio,red_light_exposure_ratio,critical_event_rate,intervention_rate,safety_precision,safety_recall,stop_ratio,steer_left_ratio,steer_right_ratio,behavior_entropy,safety_entropy,active_stage_key,last_failure_mode,epsilon,episode_loss
3,55.063,26.86,0,5.0,0.8333,58,27840,70,150.0,0.0,150.0,1.0,1.0057,0.0862,1,0,1,0.0172,0.0,0.0172,0,0.6552,0.3448,1.0,38,58,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.5556,18,10,0.5371,0.1,0.1034,0.7931,0.0,0.3103,0.0,0.0,0.5556,0.0,0.0,0.0,1.3142,0.0,final_park,wall,1.0,0.0
4,-0.492,-0.24,0,1.0,0.1667,24,11520,70,150.0,0.0,150.0,1.0,0.4861,0.0417,1,0,1,0.0417,0.0,0.0417,0,0.625,0.375,1.0,15,24,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.375,8,3,0.5159,0.1,0.0417,0.5,0.0,0.3333,0.0,0.0,0.375,0.0,0.0,0.0,0.8366,0.0,enter_inner,obstacle,0.9999,0.0
5,27.4905,13.41,0,3.0,0.5,30,14400,70,150.0,0.0,150.0,1.0,1.1667,0.1,1,0,1,0.0333,0.0,0.0333,0,0.7333,0.2667,1.0,22,30,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.7778,9,7,0.5636,0.1,0.0667,0.7333,0.0,0.3,0.0,0.0,0.7778,0.0,0.0,0.0,1.3987,0.0,return_outer,obstacle,0.9999,0.0
6,25.9735,12.67,0,3.0,0.5,37,17760,70,150.0,0.0,150.0,1.0,0.9459,0.0811,1,0,1,0.027,0.0,0.027,0,0.7568,0.2432,1.0,28,37,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.2353,17,4,0.6542,0.1,0.3243,0.8108,0.2162,0.4595,0.0,0.0,0.2353,0.0,0.0,0.0,1.5343,0.0,return_outer,obstacle,0.9998,0.0
7,61.582,30.04,0,5.0,0.8333,48,23040,70,150.0,0.0,150.0,1.0,1.2153,0.1042,1,0,1,0.0208,0.0,0.0208,0,0.7083,0.2917,1.0,34,48,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.7273,11,8,0.5497,0.1,0.1042,0.75,0.0208,0.2292,0.0,0.0,0.7273,0.0,0.0,0.0,1.2287,0.0,final_park,wall,0.9997,0.0
8,86.0,46.65,1,6.0,1.0,58,27840,58,144.8571,0.0,144.8571,0.8286,1.2069,0.1034,0,0,0,0.0,0.0,0.0,0,0.6207,0.3793,1.0,36,58,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.5714,14,8,0.5479,0.1,0.0862,0.7586,0.0172,0.2414,0.0,0.0,0.5714,0.0,0.0,0.0,1.2671,0.0,completed,,0.9996,0.0
9,86.0,47.95,1,6.0,1.0,55,26400,55,143.5714,0.0,143.5714,0.7857,1.2727,0.1091,0,0,0,0.0,0.0,0.0,0,0.6364,0.3636,1.0,35,55,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.625,24,15,0.5609,0.1,0.1273,0.8364,0.0182,0.4364,0.0,0.0,0.625,0.0,0.0,0.0,1.3963,0.0,completed,,0.9995,0.0
10,35.5265,17.33,0,4.0,0.6667,61,29280,70,150.0,0.0,150.0,1.0,0.765,0.0656,1,0,1,0.0164,0.0,0.0164,0,0.623,0.377,1.0,38,61,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.2174,23,5,0.6115,0.1,0.2131,0.918,0.1311,0.377,0.0,0.0,0.2174,0.0,0.0,0.0,1.42,0.0,outer_patrol_b,road_edge,0.9994,0.0
11,26.978,13.16,0,3.0,0.5,31,14880,70,150.0,0.0,150.0,1.0,1.129,0.0968,1,0,1,0.0323,0.0,0.0323,0,0.7742,0.2258,1.0,24,31,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.2857,7,2,0.5285,0.1,0.0645,0.7742,0.0,0.2258,0.0,0.0,0.2857,0.0,0.0,0.0,1.2899,0.0,return_outer,obstacle,0.9993,0.0
12,86.0,51.38,1,6.0,1.0,45,21600,45,139.2857,0.0,139.2857,0.6429,1.5556,0.1333,0,0,0,0.0,0.0,0.0,0,0.8,0.2,1.0,36,45,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.8182,11,9,0.5395,0.1,0.0667,0.8222,0.0,0.2444,0.0,0.0,0.8182,0.0,0.0,0.0,1.3388,0.0,completed,,0.9992,0.0
