metric,value
method,SayCan
scenario,UGV Street Patrol Parking
episodes,5000
summary_window,5000
avg_score_all,32.2121
avg_reward_all,18.5452
avg_success_all,0.2854
avg_stage_ratio_all,0.4457
avg_steps_all,22.5216
avg_equivalent_env_steps_all,10810.368
avg_completion_time_steps_all,60.8828
avg_normalized_completion_time_all,0.8698
avg_route_efficiency_all,0.9957
avg_progress_per_step_all,0.0853
avg_collisions_all,0.6566
avg_violations_all,0.058
avg_unsafe_rate_all,0.7146
avg_collision_rate_all,0.0931
avg_violation_rate_all,0.0031
avg_unsafe_event_rate_all,0.0963
avg_planner_accuracy_all,0.2636
avg_planner_miss_ratio_all,0.7364
avg_planner_legal_ratio_all,0.3058
avg_target_hits_all,0.0
avg_wait_time_all,0.0
avg_stage_latency_seconds_all,0.0
avg_latency_penalty_all,0.0
avg_idle_ratio_all,0.0
avg_wait_ratio_all,0.0
avg_follow_ratio_all,0.0
avg_select_ratio_all,0.0
avg_compensation_utilization_all,0.0
avg_safety_saved_all,0.0
avg_safety_interventions_all,0.0
avg_safety_success_rate_all,0.6119
avg_critical_events_all,6.654
avg_critical_safe_all,4.5344
avg_risk_exposure_all,0.5431
avg_observed_risk_all,0.1
avg_high_risk_step_ratio_all,0.0864
avg_hazard_step_ratio_all,0.7415
avg_red_light_exposure_ratio_all,0.0369
avg_critical_event_rate_all,0.2719
avg_intervention_rate_all,0.0
avg_safety_precision_all,0.0
avg_safety_recall_all,0.6119
avg_stop_ratio_all,0.0
avg_steer_left_ratio_all,0.0
avg_steer_right_ratio_all,0.0
avg_behavior_entropy_all,0.9247
avg_safety_entropy_all,0.0
total_equivalent_env_steps,54051840
