method,scenario,episodes,summary_window,avg_score_all,avg_reward_all,avg_success_all,avg_stage_ratio_all,avg_steps_all,avg_equivalent_env_steps_all,avg_completion_time_steps_all,avg_normalized_completion_time_all,avg_route_efficiency_all,avg_progress_per_step_all,avg_collisions_all,avg_violations_all,avg_unsafe_rate_all,avg_collision_rate_all,avg_violation_rate_all,avg_unsafe_event_rate_all,avg_planner_accuracy_all,avg_planner_miss_ratio_all,avg_planner_legal_ratio_all,avg_target_hits_all,avg_wait_time_all,avg_stage_latency_seconds_all,avg_latency_penalty_all,avg_idle_ratio_all,avg_wait_ratio_all,avg_follow_ratio_all,avg_select_ratio_all,avg_compensation_utilization_all,avg_safety_saved_all,avg_safety_interventions_all,avg_safety_success_rate_all,avg_critical_events_all,avg_critical_safe_all,avg_risk_exposure_all,avg_observed_risk_all,avg_high_risk_step_ratio_all,avg_hazard_step_ratio_all,avg_red_light_exposure_ratio_all,avg_critical_event_rate_all,avg_intervention_rate_all,avg_safety_precision_all,avg_safety_recall_all,avg_stop_ratio_all,avg_steer_left_ratio_all,avg_steer_right_ratio_all,avg_behavior_entropy_all,avg_safety_entropy_all,total_equivalent_env_steps,suite,method_key,scenario_key,seed
HSD-3,UGV Complex Road Passage,4000,4000,39.7065,67.2261,0.3412,0.4728,8.8652,2836.88,57.5808,0.7198,3.4321,0.2574,0.6478,0.011,0.6587,0.1724,0.0009,0.1733,0.2979,0.7021,0.391,1.1623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3658,2.866,1.4058,0.4067,0.1,0.2324,0.3314,0.0404,0.2641,0.0,0.0,0.3658,0.0,0.0,0.0,1.1588,0.0,11347520,Chapter 2 Road Comparison,hsd3,road,42
SayCan,UGV Complex Road Passage,4000,4000,42.6991,65.5583,0.275,0.4646,9.4065,3010.08,62.125,0.7766,3.4346,0.2576,0.694,0.031,0.725,0.1383,0.0025,0.1408,0.2319,0.7681,0.3351,1.0212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3773,3.1635,1.4598,0.437,0.1,0.2734,0.3612,0.0365,0.3022,0.0,0.0,0.3773,0.0,0.0,0.0,1.2018,0.0,12040320,Chapter 2 Road Comparison,saycan,road,42
DILU,UGV Complex Road Passage,4000,4000,49.29,78.8408,0.3465,0.5337,9.9023,3168.72,57.4423,0.718,3.8486,0.2886,0.6225,0.031,0.6535,0.1181,0.0026,0.1207,0.3,0.7,0.4115,1.2715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4379,3.2477,1.6852,0.4464,0.1,0.2696,0.3803,0.0386,0.3046,0.0,0.0,0.4379,0.0,0.0,0.0,1.2704,0.0,12674880,Chapter 2 Road Comparison,dilu,road,42
DK-ABS,UGV Complex Road Passage,4000,4000,69.5184,122.1624,0.645,0.7613,12.8712,4118.8,38.354,0.4794,4.4403,0.333,0.355,0.0,0.355,0.0658,0.0,0.0658,0.5191,0.4809,0.6653,1.8005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5277,4.4078,2.3142,0.4764,0.1,0.2674,0.4442,0.054,0.3207,0.0,0.0,0.5277,0.0,0.0,0.0,1.5599,0.0,16475200,Chapter 2 Road Comparison,dkabs,road,42
HSD-3,UGV Complex Road Passage,4000,4000,40.1088,68.0705,0.3518,0.4784,8.6822,2778.32,56.8008,0.71,3.5079,0.2631,0.638,0.0103,0.6482,0.1718,0.0009,0.1727,0.3096,0.6904,0.3989,1.1647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3845,2.711,1.4272,0.4035,0.1,0.227,0.3264,0.0339,0.2581,0.0,0.0,0.3845,0.0,0.0,0.0,1.1636,0.0,11113280,Chapter 2 Road Comparison,hsd3,road,43
SayCan,UGV Complex Road Passage,4000,4000,41.9361,63.9542,0.2645,0.4582,9.129,2921.28,62.7197,0.784,3.4866,0.2615,0.7057,0.0297,0.7355,0.1416,0.0025,0.1442,0.2284,0.7716,0.326,0.9603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3974,2.9625,1.4655,0.4308,0.1,0.2659,0.3536,0.034,0.2941,0.0,0.0,0.3974,0.0,0.0,0.0,1.1824,0.0,11685120,Chapter 2 Road Comparison,saycan,road,43
DILU,UGV Complex Road Passage,4000,4000,48.5704,76.9515,0.329,0.525,9.8863,3163.6,58.641,0.733,3.8243,0.2868,0.643,0.028,0.671,0.1199,0.0024,0.1222,0.2828,0.7172,0.3979,1.1945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4367,3.2155,1.6732,0.4427,0.1,0.2665,0.3759,0.039,0.3018,0.0,0.0,0.4367,0.0,0.0,0.0,1.2554,0.0,12654400,Chapter 2 Road Comparison,dilu,road,43
DK-ABS,UGV Complex Road Passage,4000,4000,69.8855,123.434,0.6615,0.7684,13.1105,4195.36,37.4588,0.4682,4.417,0.3313,0.3385,0.0,0.3385,0.0638,0.0,0.0638,0.5247,0.4753,0.6767,1.8525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5196,4.5423,2.333,0.4812,0.1,0.2721,0.4485,0.0524,0.3247,0.0,0.0,0.5196,0.0,0.0,0.0,1.5645,0.0,16781440,Chapter 2 Road Comparison,dkabs,road,43
HSD-3,UGV Complex Road Passage,4000,4000,39.2623,66.5617,0.3405,0.4693,8.476,2712.32,57.4727,0.7184,3.4969,0.2623,0.6515,0.008,0.6595,0.1789,0.0007,0.1796,0.302,0.698,0.3887,1.1298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3849,2.6305,1.3982,0.4018,0.1,0.2271,0.3225,0.0331,0.2556,0.0,0.0,0.3849,0.0,0.0,0.0,1.1367,0.0,10849280,Chapter 2 Road Comparison,hsd3,road,44
SayCan,UGV Complex Road Passage,4000,4000,41.8504,63.7916,0.262,0.4555,9.2592,2962.96,63.0245,0.7878,3.4242,0.2568,0.7113,0.0267,0.738,0.144,0.0023,0.1462,0.2223,0.7777,0.3241,0.9633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3811,3.0833,1.4618,0.4317,0.1,0.2673,0.3555,0.0359,0.2974,0.0,0.0,0.3811,0.0,0.0,0.0,1.1807,0.0,11851840,Chapter 2 Road Comparison,saycan,road,44
