metric,value
method,HSD-3
scenario,UGV Complex Road Passage
episodes,4000
summary_window,4000
avg_score_all,39.7065
avg_reward_all,67.2261
avg_success_all,0.3412
avg_stage_ratio_all,0.4728
avg_steps_all,8.8652
avg_equivalent_env_steps_all,2836.88
avg_completion_time_steps_all,57.5808
avg_normalized_completion_time_all,0.7198
avg_route_efficiency_all,3.4321
avg_progress_per_step_all,0.2574
avg_collisions_all,0.6478
avg_violations_all,0.011
avg_unsafe_rate_all,0.6587
avg_collision_rate_all,0.1724
avg_violation_rate_all,0.0009
avg_unsafe_event_rate_all,0.1733
avg_planner_accuracy_all,0.2979
avg_planner_miss_ratio_all,0.7021
avg_planner_legal_ratio_all,0.391
avg_target_hits_all,1.1623
avg_wait_time_all,0.0
avg_stage_latency_seconds_all,0.0
avg_latency_penalty_all,0.0
avg_idle_ratio_all,0.0
avg_wait_ratio_all,0.0
avg_follow_ratio_all,0.0
avg_select_ratio_all,0.0
avg_compensation_utilization_all,0.0
avg_safety_saved_all,0.0
avg_safety_interventions_all,0.0
avg_safety_success_rate_all,0.3658
avg_critical_events_all,2.866
avg_critical_safe_all,1.4058
avg_risk_exposure_all,0.4067
avg_observed_risk_all,0.1
avg_high_risk_step_ratio_all,0.2324
avg_hazard_step_ratio_all,0.3314
avg_red_light_exposure_ratio_all,0.0404
avg_critical_event_rate_all,0.2641
avg_intervention_rate_all,0.0
avg_safety_precision_all,0.0
avg_safety_recall_all,0.3658
avg_stop_ratio_all,0.0
avg_steer_left_ratio_all,0.0
avg_steer_right_ratio_all,0.0
avg_behavior_entropy_all,1.1588
avg_safety_entropy_all,0.0
total_equivalent_env_steps,11347520
