metric,value
method,DK-ABS
scenario,UGV Complex Road Passage
episodes,4000
summary_window,4000
avg_score_all,71.5385
avg_reward_all,126.46
avg_success_all,0.6735
avg_stage_ratio_all,0.7833
avg_steps_all,13.1598
avg_equivalent_env_steps_all,4211.12
avg_completion_time_steps_all,36.564
avg_normalized_completion_time_all,0.4571
avg_route_efficiency_all,4.508
avg_progress_per_step_all,0.3381
avg_collisions_all,0.3265
avg_violations_all,0.0
avg_unsafe_rate_all,0.3265
avg_collision_rate_all,0.0596
avg_violation_rate_all,0.0
avg_unsafe_event_rate_all,0.0596
avg_planner_accuracy_all,0.5385
avg_planner_miss_ratio_all,0.4615
avg_planner_legal_ratio_all,0.6915
avg_target_hits_all,1.874
avg_wait_time_all,0.0
avg_stage_latency_seconds_all,0.0
avg_latency_penalty_all,0.0
avg_idle_ratio_all,0.0
avg_wait_ratio_all,0.0
avg_follow_ratio_all,0.0
avg_select_ratio_all,0.0
avg_compensation_utilization_all,0.0
avg_safety_saved_all,0.0
avg_safety_interventions_all,0.0
avg_safety_success_rate_all,0.5385
avg_critical_events_all,4.5267
avg_critical_safe_all,2.3923
avg_risk_exposure_all,0.4796
avg_observed_risk_all,0.1
avg_high_risk_step_ratio_all,0.2669
avg_hazard_step_ratio_all,0.4507
avg_red_light_exposure_ratio_all,0.0566
avg_critical_event_rate_all,0.3219
avg_intervention_rate_all,0.0
avg_safety_precision_all,0.0
avg_safety_recall_all,0.5385
avg_stop_ratio_all,0.0
avg_steer_left_ratio_all,0.0
avg_steer_right_ratio_all,0.0
avg_behavior_entropy_all,1.5883
avg_safety_entropy_all,0.0
total_equivalent_env_steps,16844480
