episode,score,reward,success,stages_completed,stage_completion_ratio,steps,equivalent_env_steps,completion_time_steps,nominal_completion_time_seconds,latency_time_seconds,completion_time_seconds,normalized_completion_time,route_efficiency,progress_per_step,collisions,violations,unsafe_episode,collision_rate,violation_rate,unsafe_event_rate,target_hits,planner_accuracy,planner_miss_ratio,planner_legal_ratio,planner_exact_hits,planner_legal_hits,planner_total,avg_stage_wait_time,avg_stage_latency_seconds,latency_penalty,idle_window_ratio,wait_ratio,follow_ratio,select_ratio,compensation_utilization,safety_saved,safety_interventions,safety_success_rate,critical_events,critical_safe_count,risk_exposure,observed_risk_mean,high_risk_step_ratio,hazard_step_ratio,red_light_exposure_ratio,critical_event_rate,intervention_rate,safety_precision,safety_recall,stop_ratio,steer_left_ratio,steer_right_ratio,behavior_entropy,safety_entropy,active_stage_key,last_failure_mode,epsilon,episode_loss
3,77.8867,37.9935,1,6.0,1.0,43,20640,43,138.4286,4.0842,142.5127,0.6143,1.6279,0.1395,0,0,0,0.0,0.0,0.0,0,0.7442,0.2558,0.7907,32,34,43,0.8168,0.8168,6.3305,0.2093,0.6667,0.0,0.3333,0.3333,0,0,0.8333,12,10,0.5791,0.1,0.1163,0.7209,0.0698,0.2791,0.0,0.0,0.8333,0.0,0.0,0.0,0.6365,0.0,completed,,0.98,0.0
4,0.0943,0.046,0,1.0,0.1667,15,7200,70,150.0,0.0,150.0,1.0,0.7778,0.0667,1,0,1,0.0667,0.0,0.0667,0,0.8667,0.1333,0.8667,13,13,15,0.0,0.0,0.0,0.1333,0.0,0.0,1.0,1.0,0,0,0.0,3,0,0.5548,0.1,0.2,0.6,0.1333,0.2,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,enter_inner,obstacle,0.98,0.0
5,78.2423,38.167,1,6.0,1.0,44,21120,44,138.8571,3.9568,142.8139,0.6286,1.5909,0.1364,0,0,0,0.0,0.0,0.0,0,0.7727,0.2273,0.8182,34,36,44,0.7914,0.7914,6.133,0.2045,0.5556,0.0,0.4444,0.4444,0,0,0.7647,17,13,0.5721,0.1,0.1591,0.75,0.0455,0.3864,0.0,0.0,0.7647,0.0,0.0,0.0,0.687,0.0,completed,,0.98,0.0
6,-7.749,-3.78,0,0.0,0.0,10,4800,70,150.0,0.0,150.0,1.0,0.0,0.0,1,0,1,0.1,0.0,0.1,0,1.0,0.0,1.0,10,10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.5,2,1,0.5015,0.1,0.0,0.8,0.0,0.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,outer_patrol_a,road_edge,0.98,0.0
7,-10.0,-5.332,0,0.0,0.0,8,3840,70,150.0,0.0,150.0,1.0,0.0,0.0,1,0,1,0.125,0.0,0.125,0,0.875,0.125,1.0,7,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.6667,3,2,0.5149,0.1,0.0,0.625,0.0,0.375,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,outer_patrol_a,road_edge,0.98,0.0
8,37.3879,18.238,0,4.0,0.6667,37,17760,70,150.0,2.3213,152.3213,1.0,1.2613,0.1081,1,0,1,0.027,0.0,0.027,0,0.7297,0.2703,0.8378,27,31,37,0.5803,0.5803,3.598,0.1622,0.5,0.0,0.5,0.5,0,0,0.6,10,6,0.5511,0.1,0.0811,0.7568,0.027,0.2703,0.0,0.0,0.6,0.0,0.0,0.0,0.6931,0.0,outer_patrol_b,road_edge,0.98,0.0
9,86.0,42.1053,1,6.0,1.0,41,19680,41,137.5714,2.6895,140.2609,0.5857,1.7073,0.1463,0,0,0,0.0,0.0,0.0,0,0.6585,0.3415,0.878,27,36,41,0.5379,0.5379,4.1687,0.2195,0.4444,0.0,0.5556,0.5556,0,0,0.7273,11,8,0.5615,0.1,0.1707,0.8293,0.0488,0.2683,0.0,0.0,0.7273,0.0,0.0,0.0,0.687,0.0,completed,,0.98,0.0
10,81.7998,39.9023,1,6.0,1.0,42,20160,42,138.0,3.4101,141.4101,0.6,1.6667,0.1429,0,0,0,0.0,0.0,0.0,0,0.7381,0.2619,0.8095,31,34,42,0.682,0.682,5.2857,0.2381,0.5,0.0,0.5,0.5,0,0,0.7778,9,7,0.5647,0.1,0.119,0.6905,0.0238,0.2143,0.0,0.0,0.7778,0.0,0.0,0.0,0.6931,0.0,completed,,0.98,0.0
11,-10.0,-7.52,0,0.0,0.0,4,1920,70,150.0,0.0,150.0,1.0,0.0,0.0,1,0,1,0.25,0.0,0.25,0,1.0,0.0,1.0,4,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.503,0.1,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,outer_patrol_a,road_edge,0.98,0.0
12,39.1331,19.0893,0,4.0,0.6667,37,17760,70,150.0,3.1721,153.1721,1.0,1.2613,0.1081,1,0,1,0.027,0.0,0.027,0,0.6486,0.3514,0.8378,24,31,37,0.793,0.793,4.9167,0.2162,0.625,0.0,0.375,0.375,0,0,0.9167,12,11,0.5604,0.1,0.1351,0.9189,0.027,0.3243,0.0,0.0,0.9167,0.0,0.0,0.0,0.6616,0.0,outer_patrol_b,road_edge,0.98,0.0
