episode,score,reward,success,stages_completed,stage_completion_ratio,steps,equivalent_env_steps,completion_time_steps,nominal_completion_time_seconds,latency_time_seconds,completion_time_seconds,normalized_completion_time,route_efficiency,progress_per_step,collisions,violations,unsafe_episode,collision_rate,violation_rate,unsafe_event_rate,target_hits,planner_accuracy,planner_miss_ratio,planner_legal_ratio,planner_exact_hits,planner_legal_hits,planner_total,avg_stage_wait_time,avg_stage_latency_seconds,latency_penalty,idle_window_ratio,wait_ratio,follow_ratio,select_ratio,compensation_utilization,safety_saved,safety_interventions,safety_success_rate,critical_events,critical_safe_count,risk_exposure,observed_risk_mean,high_risk_step_ratio,hazard_step_ratio,red_light_exposure_ratio,critical_event_rate,intervention_rate,safety_precision,safety_recall,stop_ratio,steer_left_ratio,steer_right_ratio,behavior_entropy,safety_entropy,active_stage_key,last_failure_mode,epsilon,episode_loss
3,-9.6844,-4.7241,0,2.0,0.3333,22,10560,70,150.0,1.3317,151.3317,1.0,1.0606,0.0909,1,0,1,0.0455,0.0,0.0455,0,0.7273,0.2727,0.8182,16,18,22,0.6658,0.6658,2.0641,0.1818,0.5,0.5,0.0,0.5,0,0,0.625,8,5,0.5863,0.1,0.2273,0.7273,0.1364,0.3636,0.0,0.0,0.625,0.0,0.0,0.0,0.6931,0.0,inner_patrol,obstacle,0.98,0.0
4,-10.0,-8.7094,0,1.0,0.1667,18,8640,70,150.0,1.5932,151.5932,1.0,0.6481,0.0556,1,0,1,0.0556,0.0,0.0556,0,0.7778,0.2222,0.8889,14,16,18,1.5932,1.5932,2.4694,0.1111,1.0,0.0,0.0,0.0,0,0,0.5714,7,4,0.5692,0.1,0.2778,0.7778,0.0556,0.3889,0.0,0.0,0.5714,0.0,0.0,0.0,-0.0,0.0,enter_inner,obstacle,0.98,0.0
5,32.4576,15.833,1,6.0,1.0,54,25920,54,143.1429,5.1852,148.328,0.7714,1.2963,0.1111,0,0,0,0.0,0.0,0.0,0,0.6667,0.3333,0.8148,36,44,54,1.037,1.037,8.037,0.1852,0.7,0.3,0.0,0.3,0,0,0.6471,17,11,0.5906,0.1,0.1852,0.7037,0.0926,0.3148,0.0,0.0,0.6471,0.0,0.0,0.0,0.6109,0.0,completed,,0.98,0.0
6,61.2888,29.897,1,6.0,1.0,42,20160,42,138.0,0.7439,138.7439,0.6,1.6667,0.1429,0,0,0,0.0,0.0,0.0,0,0.7857,0.2143,0.881,33,37,42,0.1488,0.1488,1.153,0.119,0.2,0.8,0.0,0.8,0,0,0.625,8,5,0.535,0.1,0.0714,0.7857,0.0238,0.1905,0.0,0.0,0.625,0.0,0.0,0.0,0.5004,0.0,completed,,0.98,0.0
7,48.6937,23.753,1,6.0,1.0,45,21600,45,139.2857,4.34,143.6257,0.6429,1.5556,0.1333,0,0,0,0.0,0.0,0.0,0,0.6889,0.3111,0.8,31,36,45,0.868,0.868,6.727,0.1778,0.75,0.25,0.0,0.25,0,0,0.8125,16,13,0.5727,0.1,0.1778,0.7778,0.0667,0.3556,0.0,0.0,0.8125,0.0,0.0,0.0,0.5623,0.0,completed,,0.98,0.0
8,-4.4967,-2.1935,0,2.0,0.3333,26,12480,70,150.0,0.6216,150.6216,1.0,0.8974,0.0769,1,0,1,0.0385,0.0,0.0385,0,0.6923,0.3077,0.9231,18,24,26,0.3108,0.3108,0.9635,0.0769,0.5,0.5,0.0,0.5,0,0,0.3333,6,2,0.5525,0.1,0.1154,0.8462,0.0385,0.2308,0.0,0.0,0.3333,0.0,0.0,0.0,0.6931,0.0,inner_patrol,obstacle,0.98,0.0
9,-6.519,-3.18,0,1.0,0.1667,13,6240,70,150.0,0.0,150.0,1.0,0.8974,0.0769,1,0,1,0.0769,0.0,0.0769,0,0.8462,0.1538,0.9231,11,12,13,0.0,0.0,0.0,0.0769,0.0,1.0,0.0,1.0,0,0,0.5,2,1,0.5128,0.1,0.0769,0.3846,0.0,0.1538,0.0,0.0,0.5,0.0,0.0,0.0,-0.0,0.0,enter_inner,obstacle,0.98,0.0
10,62.7903,30.6294,1,6.0,1.0,41,19680,41,137.5714,0.6713,138.2428,0.5857,1.7073,0.1463,0,0,0,0.0,0.0,0.0,0,0.7317,0.2683,0.8537,30,35,41,0.1343,0.1343,1.0406,0.1463,0.1667,0.8333,0.0,0.8333,0,0,0.8,10,8,0.5421,0.1,0.0488,0.8293,0.0244,0.2439,0.0,0.0,0.8,0.0,0.0,0.0,0.4506,0.0,completed,,0.98,0.0
11,42.7774,20.867,1,6.0,1.0,50,24000,50,141.4286,3.0277,144.4563,0.7143,1.4,0.12,0,0,0,0.0,0.0,0.0,0,0.72,0.28,0.88,36,44,50,0.6055,0.6055,4.693,0.12,0.6667,0.3333,0.0,0.3333,0,0,0.8125,16,13,0.5543,0.1,0.1,0.76,0.02,0.32,0.0,0.0,0.8125,0.0,0.0,0.0,0.6365,0.0,completed,,0.98,0.0
12,19.5518,9.5375,0,5.0,0.8333,41,19680,70,150.0,1.6919,151.6919,1.0,1.4228,0.122,1,0,1,0.0244,0.0,0.0244,0,0.7805,0.2195,0.878,32,36,41,0.3384,0.3384,2.6225,0.122,0.4,0.6,0.0,0.6,0,0,0.7333,15,11,0.5602,0.1,0.0732,0.878,0.0488,0.3659,0.0,0.0,0.7333,0.0,0.0,0.0,0.673,0.0,final_park,wall,0.98,0.0
