episode,score,reward,success,stages_completed,stage_completion_ratio,steps,equivalent_env_steps,completion_time_steps,nominal_completion_time_seconds,latency_time_seconds,completion_time_seconds,normalized_completion_time,route_efficiency,progress_per_step,collisions,violations,unsafe_episode,collision_rate,violation_rate,unsafe_event_rate,target_hits,planner_accuracy,planner_miss_ratio,planner_legal_ratio,planner_exact_hits,planner_legal_hits,planner_total,avg_stage_wait_time,avg_stage_latency_seconds,latency_penalty,idle_window_ratio,wait_ratio,follow_ratio,select_ratio,compensation_utilization,safety_saved,safety_interventions,safety_success_rate,critical_events,critical_safe_count,risk_exposure,observed_risk_mean,high_risk_step_ratio,hazard_step_ratio,red_light_exposure_ratio,critical_event_rate,intervention_rate,safety_precision,safety_recall,stop_ratio,steer_left_ratio,steer_right_ratio,behavior_entropy,safety_entropy,active_stage_key,last_failure_mode,epsilon,episode_loss
3,-6.355,-3.1,0,1.0,0.1667,13,6240,70,150.0,0.0,150.0,1.0,0.8974,0.0769,1,0,1,0.0769,0.0,0.0769,0,0.9231,0.0769,0.9231,12,12,13,0.0,0.0,0.0,0.0769,0.0,1.0,0.0,1.0,0,0,0.6667,3,2,0.5174,0.1,0.0769,0.6154,0.0,0.2308,0.0,0.0,0.6667,0.0,0.0,0.0,-0.0,0.0,enter_inner,obstacle,0.98,0.0
4,-0.6748,-0.3292,0,3.0,0.5,27,12960,70,150.0,0.7607,150.7607,1.0,1.2963,0.1111,1,0,1,0.037,0.0,0.037,0,0.7037,0.2963,0.8519,19,23,27,0.2536,0.2536,1.1792,0.1481,0.25,0.5,0.25,0.75,0,0,0.8889,9,8,0.5844,0.1,0.1111,0.8148,0.1111,0.3333,0.0,0.0,0.8889,0.0,0.0,0.0,1.0397,0.0,return_outer,obstacle,0.98,0.0
5,52.7487,25.7311,1,6.0,1.0,44,21120,44,138.8571,3.9464,142.8035,0.6286,1.5909,0.1364,0,0,0,0.0,0.0,0.0,0,0.75,0.25,0.8182,33,36,44,0.7893,0.7893,6.1169,0.1818,0.625,0.125,0.25,0.375,0,0,0.7143,14,10,0.5635,0.1,0.1136,0.75,0.0455,0.3182,0.0,0.0,0.7143,0.0,0.0,0.0,0.9003,0.0,completed,,0.98,0.0
6,71.299,34.78,1,6.0,1.0,37,17760,37,135.8571,0.0,135.8571,0.5286,1.8919,0.1622,0,0,0,0.0,0.0,0.0,0,0.8378,0.1622,0.8649,31,32,37,0.0,0.0,0.0,0.1351,0.0,1.0,0.0,1.0,0,0,0.8571,7,6,0.5581,0.1,0.0811,0.7297,0.0541,0.1892,0.0,0.0,0.8571,0.0,0.0,0.0,-0.0,0.0,completed,,0.98,0.0
7,-10.0,-10.86,0,0.0,0.0,5,2400,70,150.0,0.0,150.0,1.0,0.0,0.0,1,0,1,0.2,0.0,0.2,0,0.6,0.4,1.0,3,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1,0,0.4954,0.1,0.0,1.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,outer_patrol_a,road_edge,0.98,0.0
8,15.6341,7.6264,0,4.0,0.6667,25,12000,70,150.0,0.6075,150.6075,1.0,1.8667,0.16,1,0,1,0.04,0.0,0.04,0,0.8,0.2,0.84,20,21,25,0.1519,0.1519,0.9416,0.16,0.25,0.0,0.75,0.75,0,0,0.8,10,8,0.5688,0.1,0.12,0.88,0.04,0.4,0.0,0.0,0.8,0.0,0.0,0.0,0.5623,0.0,outer_patrol_b,road_edge,0.98,0.0
9,-10.0,-7.08,0,1.0,0.1667,18,8640,70,150.0,0.0,150.0,1.0,0.6481,0.0556,1,0,1,0.0556,0.0,0.0556,0,0.8889,0.1111,0.9444,16,17,18,0.0,0.0,0.0,0.0556,0.0,1.0,0.0,1.0,0,0,0.5714,7,4,0.5416,0.1,0.0556,0.7222,0.0,0.3889,0.0,0.0,0.5714,0.0,0.0,0.0,-0.0,0.0,enter_inner,obstacle,0.98,0.0
10,13.1685,6.4237,0,5.0,0.8333,45,21600,70,150.0,2.408,152.408,1.0,1.2963,0.1111,1,0,1,0.0222,0.0,0.0222,0,0.7556,0.2444,0.8222,34,37,45,0.4816,0.4816,3.7323,0.1778,0.375,0.125,0.5,0.625,0,0,0.5714,14,8,0.5754,0.1,0.1778,0.8,0.0444,0.3111,0.0,0.0,0.5714,0.0,0.0,0.0,0.9743,0.0,final_park,wall,0.98,0.0
11,50.6181,24.6918,1,6.0,1.0,45,21600,45,139.2857,3.8182,143.1039,0.6429,1.5556,0.1333,0,0,0,0.0,0.0,0.0,0,0.7556,0.2444,0.8444,34,38,45,0.7636,0.7636,5.9182,0.1556,0.7143,0.1429,0.1429,0.2857,0,0,0.6667,6,4,0.546,0.1,0.0667,0.8,0.0444,0.1333,0.0,0.0,0.6667,0.0,0.0,0.0,0.7963,0.0,completed,,0.98,0.0
12,-0.4151,-0.2025,0,3.0,0.5,26,12480,70,150.0,1.5629,151.5629,1.0,1.3462,0.1154,1,0,1,0.0385,0.0,0.0385,0,0.7692,0.2308,0.8462,20,22,26,0.521,0.521,2.4225,0.1538,0.5,0.5,0.0,0.5,0,0,0.5714,7,4,0.5508,0.1,0.0769,0.8846,0.0,0.2692,0.0,0.0,0.5714,0.0,0.0,0.0,0.6931,0.0,return_outer,obstacle,0.98,0.0
