metric,value
method,LACM w/o FOLLOW
scenario,UGV Street Patrol Parking
episodes,5000
summary_window,5000
avg_score_all,37.8592
avg_reward_all,20.6579
avg_success_all,0.3394
avg_stage_ratio_all,0.5143
avg_steps_all,25.0486
avg_equivalent_env_steps_all,12023.328
avg_completion_time_steps_all,59.9598
avg_nominal_completion_time_seconds_all,145.6971
avg_latency_time_seconds_all,0.8388
avg_completion_time_seconds_all,146.5359
avg_normalized_completion_time_all,0.8566
avg_route_efficiency_all,1.0491
avg_progress_per_step_all,0.0899
avg_collisions_all,0.6606
avg_violations_all,0.0
avg_unsafe_rate_all,0.6606
avg_collision_rate_all,0.0975
avg_violation_rate_all,0.0
avg_unsafe_event_rate_all,0.0975
avg_planner_accuracy_all,0.8339
avg_planner_miss_ratio_all,0.1661
avg_planner_legal_ratio_all,0.8844
avg_target_hits_all,0.0
avg_wait_time_all,0.2149
avg_stage_latency_seconds_all,0.2149
avg_latency_penalty_all,1.3001
avg_idle_ratio_all,0.1212
avg_wait_ratio_all,0.1729
avg_follow_ratio_all,0.0
avg_select_ratio_all,0.5163
avg_compensation_utilization_all,0.5163
avg_safety_saved_all,0.0
avg_safety_interventions_all,0.0
avg_safety_success_rate_all,0.5994
avg_critical_events_all,7.5934
avg_critical_safe_all,5.052
avg_risk_exposure_all,0.5452
avg_observed_risk_all,0.1
avg_high_risk_step_ratio_all,0.0905
avg_hazard_step_ratio_all,0.7484
avg_red_light_exposure_ratio_all,0.035
avg_critical_event_rate_all,0.2736
avg_intervention_rate_all,0.0
avg_safety_precision_all,0.0
avg_safety_recall_all,0.5994
avg_stop_ratio_all,0.0
avg_steer_left_ratio_all,0.0
avg_steer_right_ratio_all,0.0
avg_behavior_entropy_all,0.2739
avg_safety_entropy_all,0.0
total_equivalent_env_steps,60116640
