metric,value
method,LACM w/o SELECT
scenario,UGV Street Patrol Parking
episodes,5000
summary_window,5000
avg_score_all,33.6032
avg_reward_all,17.4893
avg_success_all,0.3124
avg_stage_ratio_all,0.5656
avg_steps_all,29.0268
avg_equivalent_env_steps_all,13932.864
avg_completion_time_steps_all,61.752
avg_nominal_completion_time_seconds_all,146.4651
avg_latency_time_seconds_all,1.1253
avg_completion_time_seconds_all,147.5904
avg_normalized_completion_time_all,0.8822
avg_route_efficiency_all,1.2046
avg_progress_per_step_all,0.1032
avg_collisions_all,0.6716
avg_violations_all,0.016
avg_unsafe_rate_all,0.6876
avg_collision_rate_all,0.0445
avg_violation_rate_all,0.0007
avg_unsafe_event_rate_all,0.0452
avg_planner_accuracy_all,0.7773
avg_planner_miss_ratio_all,0.2227
avg_planner_legal_ratio_all,0.8828
avg_target_hits_all,0.0
avg_wait_time_all,0.3134
avg_stage_latency_seconds_all,0.3134
avg_latency_penalty_all,1.7442
avg_idle_ratio_all,0.1168
avg_wait_ratio_all,0.2922
avg_follow_ratio_all,0.6392
avg_select_ratio_all,0.0
avg_compensation_utilization_all,0.6392
avg_safety_saved_all,0.0
avg_safety_interventions_all,0.0
avg_safety_success_rate_all,0.6764
avg_critical_events_all,8.0058
avg_critical_safe_all,5.7562
avg_risk_exposure_all,0.5443
avg_observed_risk_all,0.1
avg_high_risk_step_ratio_all,0.0825
avg_hazard_step_ratio_all,0.7518
avg_red_light_exposure_ratio_all,0.0319
avg_critical_event_rate_all,0.267
avg_intervention_rate_all,0.0
avg_safety_precision_all,0.0
avg_safety_recall_all,0.6764
avg_stop_ratio_all,0.0
avg_steer_left_ratio_all,0.0
avg_steer_right_ratio_all,0.0
avg_behavior_entropy_all,0.3949
avg_safety_entropy_all,0.0
total_equivalent_env_steps,69664320
