metric,value
method,LACM w/o FOLLOW
scenario,UGV Complex Road Passage
episodes,4000
summary_window,4000
avg_score_all,69.1678
avg_reward_all,120.6654
avg_success_all,0.6468
avg_stage_ratio_all,0.7647
avg_steps_all,13.2598
avg_equivalent_env_steps_all,4243.12
avg_completion_time_steps_all,38.6572
avg_nominal_completion_time_seconds_all,104.4965
avg_latency_time_seconds_all,1.3208
avg_completion_time_seconds_all,105.8172
avg_normalized_completion_time_all,0.4832
avg_route_efficiency_all,4.3452
avg_progress_per_step_all,0.3259
avg_collisions_all,0.3533
avg_violations_all,0.0
avg_unsafe_rate_all,0.3533
avg_collision_rate_all,0.0694
avg_violation_rate_all,0.0
avg_unsafe_event_rate_all,0.0694
avg_planner_accuracy_all,0.5368
avg_planner_miss_ratio_all,0.4632
avg_planner_legal_ratio_all,0.564
avg_target_hits_all,2.0183
avg_wait_time_all,0.3672
avg_stage_latency_seconds_all,0.3672
avg_latency_penalty_all,2.1132
avg_idle_ratio_all,0.4476
avg_wait_ratio_all,0.2968
avg_follow_ratio_all,0.0
avg_select_ratio_all,0.6665
avg_compensation_utilization_all,0.6665
avg_safety_saved_all,0.0
avg_safety_interventions_all,0.0
avg_safety_success_rate_all,0.6222
avg_critical_events_all,4.9117
avg_critical_safe_all,3.1045
avg_risk_exposure_all,0.4984
avg_observed_risk_all,0.1
avg_high_risk_step_ratio_all,0.2923
avg_hazard_step_ratio_all,0.4761
avg_red_light_exposure_ratio_all,0.0578
avg_critical_event_rate_all,0.3486
avg_intervention_rate_all,0.0
avg_safety_precision_all,0.0
avg_safety_recall_all,0.6222
avg_stop_ratio_all,0.0
avg_steer_left_ratio_all,0.0
avg_steer_right_ratio_all,0.0
avg_behavior_entropy_all,0.3964
avg_safety_entropy_all,0.0
total_equivalent_env_steps,16972480
