episode,score,reward,success,stages_completed,stage_completion_ratio,steps,equivalent_env_steps,completion_time_steps,nominal_completion_time_seconds,latency_time_seconds,completion_time_seconds,normalized_completion_time,route_efficiency,progress_per_step,collisions,violations,unsafe_episode,collision_rate,violation_rate,unsafe_event_rate,target_hits,planner_accuracy,planner_miss_ratio,planner_legal_ratio,planner_exact_hits,planner_legal_hits,planner_total,avg_stage_wait_time,avg_stage_latency_seconds,latency_penalty,idle_window_ratio,comp_decision_ratio,idle_comp_ratio,wait_ratio,follow_ratio,select_ratio,compensation_utilization,safety_saved,safety_interventions,safety_success_rate,critical_events,critical_safe_count,risk_exposure,observed_risk_mean,high_risk_step_ratio,hazard_step_ratio,red_light_exposure_ratio,critical_event_rate,intervention_rate,safety_precision,safety_recall,stop_ratio,steer_left_ratio,steer_right_ratio,behavior_entropy,safety_entropy,active_stage_key,last_failure_mode,epsilon,episode_loss
3,88.5047,162.2427,1,6.0,1.0,18,5760,18,96.75,3.7081,100.4581,0.225,4.4444,0.3333,0,0,0,0.0,0.0,0.0,3,0.5556,0.4444,0.5556,10,10,18,0.7416,0.7416,5.9329,0.5,1.0,0.5,0.5556,0.4444,0.0,0.4444,0,0,0.8333,6,5,0.5016,0.1,0.2222,0.5556,0.0556,0.3333,0.0,0.0,0.8333,0.0,0.0,0.0,0.687,0.0,completed,,0.98,0.0
4,68.1824,85.8862,0,3.0,0.5,14,4480,80,120.0,2.4381,122.4381,1.0,2.8571,0.2143,1,0,1,0.0714,0.0,0.0714,1,0.2143,0.7857,0.5,3,7,14,0.8127,0.8127,3.9009,0.4286,1.0,0.4286,0.5,0.5,0.0,0.5,0,0,0.5714,7,4,0.5851,0.1,0.5,0.5,0.2143,0.5,0.0,0.0,0.5714,0.0,0.0,0.0,0.6931,0.0,traffic_light,obstacle,0.98,0.0
5,87.8113,157.8496,1,6.0,1.0,25,8000,25,99.375,5.1253,104.5003,0.3125,3.2,0.24,0,0,0,0.0,0.0,0.0,2,0.48,0.52,0.48,12,12,25,1.0251,1.0251,8.2005,0.4,1.0,0.4,0.7,0.3,0.0,0.3,0,0,0.4,10,4,0.5464,0.1,0.32,0.6,0.12,0.4,0.0,0.0,0.4,0.0,0.0,0.0,0.6109,0.0,completed,,0.98,0.0
6,88.6956,163.4981,1,6.0,1.0,18,5760,18,96.75,2.8451,99.5951,0.225,4.4444,0.3333,0,0,0,0.0,0.0,0.0,3,0.5556,0.4444,0.5556,10,10,18,0.569,0.569,4.5522,0.4444,1.0,0.4444,0.5,0.5,0.0,0.5,0,0,0.6667,6,4,0.5363,0.1,0.2778,0.5556,0.0556,0.3333,0.0,0.0,0.6667,0.0,0.0,0.0,0.6931,0.0,completed,,0.98,0.0
7,0.0,-10.1201,0,0.0,0.0,2,640,80,120.0,0.0,120.0,1.0,0.0,0.0,1,0,1,0.5,0.0,0.5,0,0.5,0.5,1.0,1,2,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.154,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,main_road,road_edge,0.98,0.0
8,88.9013,164.8754,1,6.0,1.0,15,4800,15,95.625,2.3359,97.9609,0.1875,5.3333,0.4,0,0,0,0.0,0.0,0.0,2,0.4667,0.5333,0.4667,7,7,15,0.4672,0.4672,3.7374,0.4667,1.0,0.4667,0.4286,0.5714,0.0,0.5714,0,0,1.0,3,3,0.4775,0.1,0.2,0.4667,0.0,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.6829,0.0,completed,,0.98,0.0
9,69.3142,88.6027,0,3.0,0.5,10,3200,80,120.0,1.7678,121.7678,1.0,4.0,0.3,1,0,1,0.1,0.0,0.1,3,0.5,0.5,0.5,5,5,10,0.5893,0.5893,2.8285,0.5,1.0,0.5,0.4,0.6,0.0,0.6,0,0,0.6667,3,2,0.4671,0.1,0.3,0.4,0.1,0.3,0.0,0.0,0.6667,0.0,0.0,0.0,0.673,0.0,traffic_light,obstacle,0.98,0.0
10,68.2639,86.0788,0,3.0,0.5,13,4160,80,120.0,3.1316,123.1316,1.0,3.0769,0.2308,1,0,1,0.0769,0.0,0.0769,3,0.3846,0.6154,0.3846,5,5,13,1.0439,1.0439,5.0106,0.4615,1.0,0.4615,0.6667,0.3333,0.0,0.3333,0,0,1.0,5,5,0.5292,0.1,0.3846,0.4615,0.1538,0.3846,0.0,0.0,1.0,0.0,0.0,0.0,0.6365,0.0,traffic_light,obstacle,0.98,0.0
11,84.8177,141.3779,1,6.0,1.0,28,8960,28,100.5,3.8796,104.3796,0.35,2.8571,0.2143,0,0,0,0.0,0.0,0.0,2,0.6786,0.3214,0.6786,19,19,28,0.7759,0.7759,6.2073,0.3214,1.0,0.3214,0.5556,0.4444,0.0,0.4444,0,0,0.2667,15,4,0.598,0.1,0.4286,0.6786,0.1071,0.5357,0.0,0.0,0.2667,0.0,0.0,0.0,0.687,0.0,completed,,0.98,0.0
12,88.2134,160.3657,1,6.0,1.0,21,6720,21,97.875,4.2089,102.0839,0.2625,3.8095,0.2857,0,0,0,0.0,0.0,0.0,3,0.5714,0.4286,0.5714,12,12,21,0.8418,0.8418,6.7343,0.4762,1.0,0.4762,0.6,0.4,0.0,0.4,0,0,0.625,8,5,0.5659,0.1,0.2857,0.619,0.0952,0.381,0.0,0.0,0.625,0.0,0.0,0.0,0.673,0.0,completed,,0.98,0.0
13,88.441,161.8277,1,6.0,1.0,18,5760,18,96.75,3.8743,100.6243,0.225,4.4444,0.3333,0,0,0,0.0,0.0,0.0,3,0.5,0.5,0.5,9,9,18,0.7749,0.7749,6.1989,0.5,1.0,0.5,0.5556,0.4444,0.0,0.4444,0,0,0.875,8,7,0.5654,0.1,0.2778,0.6667,0.0,0.4444,0.0,0.0,0.875,0.0,0.0,0.0,0.687,0.0,completed,,0.98,0.0
14,38.4052,36.3444,0,2.0,0.3333,10,3200,80,120.0,2.4424,122.4424,1.0,2.6667,0.2,1,0,1,0.1,0.0,0.1,1,0.5,0.5,0.5,5,5,10,1.2212,1.2212,3.9078,0.4,1.0,0.4,0.75,0.25,0.0,0.25,0,0,1.0,3,3,0.4617,0.1,0.3,0.3,0.0,0.3,0.0,0.0,1.0,0.0,0.0,0.0,0.5623,0.0,balloons,obstacle,0.98,0.0
15,5.567,4.2959,0,1.0,0.1667,6,1920,80,120.0,1.3612,121.3612,1.0,2.2222,0.1667,1,0,1,0.1667,0.0,0.1667,0,0.3333,0.6667,0.6667,2,4,6,1.3612,1.3612,2.1779,0.3333,1.0,0.3333,1.0,0.0,0.0,0.0,0,0,0.6667,3,2,0.5701,0.1,0.5,0.5,0.0,0.5,0.0,0.0,0.6667,0.0,0.0,0.0,-0.0,0.0,avoidance,obstacle,0.98,0.0
