metric,value
method,LACM w/o SELECT
scenario,UGV Complex Road Passage
episodes,4000
summary_window,4000
avg_score_all,70.3711
avg_reward_all,122.6604
avg_success_all,0.6522
avg_stage_ratio_all,0.7719
avg_steps_all,13.4195
avg_equivalent_env_steps_all,4294.24
avg_completion_time_steps_all,38.3185
avg_nominal_completion_time_seconds_all,104.3694
avg_latency_time_seconds_all,1.2591
avg_completion_time_seconds_all,105.6286
avg_normalized_completion_time_all,0.479
avg_route_efficiency_all,4.3552
avg_progress_per_step_all,0.3266
avg_collisions_all,0.3478
avg_violations_all,0.0
avg_unsafe_rate_all,0.3478
avg_collision_rate_all,0.0671
avg_violation_rate_all,0.0
avg_unsafe_event_rate_all,0.0671
avg_planner_accuracy_all,0.5249
avg_planner_miss_ratio_all,0.4751
avg_planner_legal_ratio_all,0.5566
avg_target_hits_all,2.2572
avg_wait_time_all,0.3532
avg_stage_latency_seconds_all,0.3532
avg_latency_penalty_all,2.0146
avg_idle_ratio_all,0.4483
avg_wait_ratio_all,0.2847
avg_follow_ratio_all,0.6755
avg_select_ratio_all,0.0
avg_compensation_utilization_all,0.6755
avg_safety_saved_all,0.0
avg_safety_interventions_all,0.0
avg_safety_success_rate_all,0.6183
avg_critical_events_all,4.9938
avg_critical_safe_all,3.0598
avg_risk_exposure_all,0.4987
avg_observed_risk_all,0.1
avg_high_risk_step_ratio_all,0.2906
avg_hazard_step_ratio_all,0.4788
avg_red_light_exposure_ratio_all,0.0594
avg_critical_event_rate_all,0.3477
avg_intervention_rate_all,0.0
avg_safety_precision_all,0.0
avg_safety_recall_all,0.6183
avg_stop_ratio_all,0.0
avg_steer_left_ratio_all,0.0
avg_steer_right_ratio_all,0.0
avg_behavior_entropy_all,0.3883
avg_safety_entropy_all,0.0
total_equivalent_env_steps,17176960
