method,scenario,episodes,summary_window,avg_score_all,avg_reward_all,avg_success_all,avg_stage_ratio_all,avg_steps_all,avg_equivalent_env_steps_all,avg_completion_time_steps_all,avg_nominal_completion_time_seconds_all,avg_latency_time_seconds_all,avg_completion_time_seconds_all,avg_normalized_completion_time_all,avg_route_efficiency_all,avg_progress_per_step_all,avg_collisions_all,avg_violations_all,avg_unsafe_rate_all,avg_collision_rate_all,avg_violation_rate_all,avg_unsafe_event_rate_all,avg_planner_accuracy_all,avg_planner_miss_ratio_all,avg_planner_legal_ratio_all,avg_target_hits_all,avg_wait_time_all,avg_stage_latency_seconds_all,avg_latency_penalty_all,avg_idle_ratio_all,avg_wait_ratio_all,avg_follow_ratio_all,avg_select_ratio_all,avg_compensation_utilization_all,avg_safety_saved_all,avg_safety_interventions_all,avg_safety_success_rate_all,avg_critical_events_all,avg_critical_safe_all,avg_risk_exposure_all,avg_observed_risk_all,avg_high_risk_step_ratio_all,avg_hazard_step_ratio_all,avg_red_light_exposure_ratio_all,avg_critical_event_rate_all,avg_intervention_rate_all,avg_safety_precision_all,avg_safety_recall_all,avg_stop_ratio_all,avg_steer_left_ratio_all,avg_steer_right_ratio_all,avg_behavior_entropy_all,avg_safety_entropy_all,total_equivalent_env_steps,suite,method_key,scenario_key,seed
DILU,UGV Street Patrol Parking,5000,5000,26.6683,12.2527,0.3342,0.5047,24.8472,11926.656,59.786,145.6226,5.5519,151.1745,0.8541,1.0918,0.0936,0.6158,0.05,0.6658,0.0792,0.0028,0.082,0.7932,0.2068,0.8955,0.0,1.5027,1.5027,9.7159,0.1755,1.0,0.0,0.0,0.0,0.0,0.0,0.6147,7.6568,4.951,0.5504,0.1,0.1057,0.7523,0.0445,0.2846,0.0,0.0,0.6147,0.0,0.0,0.0,0.9339,0.0,59633280,Chapter 3 Patrol Comparison,dilu_delay,patrol,42
SayCan,UGV Street Patrol Parking,5000,5000,22.1622,9.7066,0.2888,0.4472,22.6534,10873.632,60.9208,146.1089,5.096,151.205,0.8703,0.9876,0.0847,0.6532,0.058,0.7112,0.0983,0.0032,0.1015,0.7378,0.2622,0.8545,0.0,1.5005,1.5005,8.9181,0.1861,1.0,0.0,0.0,0.0,0.0,0.0,0.5912,6.7958,4.5168,0.5443,0.1,0.0906,0.74,0.0384,0.2747,0.0,0.0,0.5912,0.0,0.0,0.0,0.9332,0.0,54368160,Chapter 3 Patrol Comparison,saycan_delay,patrol,42
DK-ABS,UGV Street Patrol Parking,5000,5000,34.9697,16.7427,0.3538,0.6503,32.6584,15676.032,59.7042,145.5875,6.824,152.4115,0.8529,1.2313,0.1055,0.646,0.0,0.646,0.0453,0.0,0.0453,0.8893,0.1107,1.0,0.0,1.5012,1.5012,11.9419,0.1509,1.0,0.0,0.0,0.0,0.0,0.0,0.5601,9.825,5.5724,0.5547,0.1,0.1097,0.763,0.0433,0.2876,0.0,0.0,0.5601,0.0,0.0,0.0,1.086,0.0,78380160,Chapter 3 Patrol Comparison,dkabs_wo_comp,patrol,42
LACM,UGV Street Patrol Parking,5000,5000,47.0476,26.3238,0.466,0.6742,30.6002,14688.096,56.2736,144.1173,0.7834,144.9007,0.8039,1.3935,0.1194,0.5218,0.0122,0.534,0.037,0.0006,0.0376,0.8048,0.1952,0.8587,0.0,0.2052,0.2052,1.2143,0.141,0.183,0.2295,0.5255,0.755,0.0,0.0,0.6748,8.8672,6.2424,0.5516,0.1,0.099,0.7607,0.0388,0.2817,0.0,0.0,0.6748,0.0,0.0,0.0,0.5605,0.0,73440480,Chapter 3 Patrol Comparison,lacm,patrol,42
DILU,UGV Street Patrol Parking,5000,5000,26.7652,12.2874,0.3366,0.5034,24.8226,11914.848,59.729,145.5981,5.5288,151.1269,0.8533,1.0858,0.0931,0.616,0.0474,0.6634,0.0821,0.0025,0.0846,0.7945,0.2055,0.8958,0.0,1.5001,1.5001,9.6754,0.1777,1.0,0.0,0.0,0.0,0.0,0.0,0.6095,7.6748,4.9412,0.5502,0.1,0.1046,0.7512,0.0436,0.2848,0.0,0.0,0.6095,0.0,0.0,0.0,0.9195,0.0,59574240,Chapter 3 Patrol Comparison,dilu_delay,patrol,43
SayCan,UGV Street Patrol Parking,5000,5000,21.9419,9.6023,0.2848,0.4453,22.6782,10885.536,60.9944,146.1405,5.0778,151.2182,0.8713,0.9865,0.0846,0.6656,0.0496,0.7152,0.0978,0.0027,0.1006,0.7389,0.2611,0.8577,0.0,1.5008,1.5008,8.8861,0.1851,1.0,0.0,0.0,0.0,0.0,0.0,0.6024,6.8246,4.5804,0.544,0.1,0.089,0.7401,0.0369,0.2765,0.0,0.0,0.6024,0.0,0.0,0.0,0.9253,0.0,54427680,Chapter 3 Patrol Comparison,saycan_delay,patrol,43
DK-ABS,UGV Street Patrol Parking,5000,5000,35.5995,17.0778,0.368,0.6527,32.522,15610.56,59.2574,145.396,6.8129,152.2089,0.8465,1.2419,0.1064,0.6316,0.0,0.6316,0.043,0.0,0.043,0.8911,0.1089,1.0,0.0,1.4966,1.4966,11.9226,0.1495,1.0,0.0,0.0,0.0,0.0,0.0,0.5704,9.8606,5.6386,0.5546,0.1,0.109,0.7643,0.0427,0.2906,0.0,0.0,0.5704,0.0,0.0,0.0,1.0856,0.0,78052800,Chapter 3 Patrol Comparison,dkabs_wo_comp,patrol,43
LACM,UGV Street Patrol Parking,5000,5000,46.2961,25.9508,0.4524,0.6651,30.4556,14618.688,56.7398,144.3171,0.7014,145.0184,0.8106,1.3803,0.1183,0.535,0.0126,0.5476,0.0369,0.0006,0.0375,0.8057,0.1943,0.8603,0.0,0.1858,0.1858,1.0871,0.1394,0.168,0.2339,0.5384,0.7724,0.0,0.0,0.6619,8.8192,6.0458,0.5516,0.1,0.0994,0.7607,0.0393,0.2815,0.0,0.0,0.6619,0.0,0.0,0.0,0.548,0.0,73093440,Chapter 3 Patrol Comparison,lacm,patrol,43
DILU,UGV Street Patrol Parking,5000,5000,27.8446,12.8425,0.3472,0.5137,25.2328,12111.744,59.425,145.4679,5.6009,151.0688,0.8489,1.0921,0.0936,0.5972,0.0556,0.6528,0.0762,0.003,0.0792,0.799,0.201,0.901,0.0,1.4986,1.4986,9.8016,0.1728,1.0,0.0,0.0,0.0,0.0,0.0,0.608,7.804,4.964,0.5507,0.1,0.1064,0.751,0.0445,0.2842,0.0,0.0,0.608,0.0,0.0,0.0,0.9503,0.0,60558720,Chapter 3 Patrol Comparison,dilu_delay,patrol,44
SayCan,UGV Street Patrol Parking,5000,5000,21.9789,9.6539,0.2854,0.4457,22.5216,10810.368,60.8828,146.0926,5.0808,151.1734,0.8698,0.9957,0.0853,0.6566,0.058,0.7146,0.0931,0.0031,0.0963,0.7391,0.2609,0.8573,0.0,1.4987,1.4987,8.8913,0.1816,1.0,0.0,0.0,0.0,0.0,0.0,0.6119,6.654,4.5344,0.5431,0.1,0.0864,0.7415,0.0369,0.2719,0.0,0.0,0.6119,0.0,0.0,0.0,0.9247,0.0,54051840,Chapter 3 Patrol Comparison,saycan_delay,patrol,44
DK-ABS,UGV Street Patrol Parking,5000,5000,34.2685,16.3682,0.3488,0.6396,32.1376,15426.048,59.761,145.6119,6.7332,152.345,0.8537,1.2186,0.1045,0.651,0.0,0.651,0.048,0.0,0.048,0.8911,0.1089,1.0,0.0,1.5014,1.5014,11.7831,0.1525,1.0,0.0,0.0,0.0,0.0,0.0,0.5654,9.6626,5.5282,0.554,0.1,0.1073,0.7618,0.0433,0.2867,0.0,0.0,0.5654,0.0,0.0,0.0,1.0735,0.0,77130240,Chapter 3 Patrol Comparison,dkabs_wo_comp,patrol,44
LACM,UGV Street Patrol Parking,5000,5000,45.7511,25.6122,0.4478,0.6608,30.2902,14539.296,56.8876,144.3804,0.71,145.0904,0.8127,1.3763,0.118,0.5424,0.0098,0.5522,0.0365,0.0005,0.037,0.8048,0.1952,0.8599,0.0,0.1845,0.1845,1.1005,0.14,0.1659,0.2276,0.5425,0.7701,0.0,0.0,0.6628,8.7776,5.9898,0.5514,0.1,0.099,0.7608,0.0388,0.2826,0.0,0.0,0.6628,0.0,0.0,0.0,0.5348,0.0,72696480,Chapter 3 Patrol Comparison,lacm,patrol,44
