episode,score,reward,success,stages_completed,stage_completion_ratio,steps,equivalent_env_steps,completion_time_steps,nominal_completion_time_seconds,latency_time_seconds,completion_time_seconds,normalized_completion_time,route_efficiency,progress_per_step,collisions,violations,unsafe_episode,collision_rate,violation_rate,unsafe_event_rate,target_hits,planner_accuracy,planner_miss_ratio,planner_legal_ratio,planner_exact_hits,planner_legal_hits,planner_total,avg_stage_wait_time,avg_stage_latency_seconds,latency_penalty,idle_window_ratio,wait_ratio,follow_ratio,select_ratio,compensation_utilization,safety_saved,safety_interventions,safety_success_rate,critical_events,critical_safe_count,risk_exposure,observed_risk_mean,high_risk_step_ratio,hazard_step_ratio,red_light_exposure_ratio,critical_event_rate,intervention_rate,safety_precision,safety_recall,stop_ratio,steer_left_ratio,steer_right_ratio,behavior_entropy,safety_entropy,active_stage_key,last_failure_mode,epsilon,episode_loss
3,4.5406,2.2149,0,3,0.5,28,13440,70,150,5.8886,155.8886,1,1.25,0.1071,1,0,1,0.0357,0,0.0357,0,0.5,0.5,0.7143,14,20,28,1.4722,1.4722,10.3051,0.1429,1.0,0.0,0.0,0.0,0,0,0.5,8,4,0.5741,0.1,0.1429,0.7857,0.0714,0.2857,0,0,0.5,0,0,0,1.2709,0,return_outer,obstacle,1,0
4,-10.0,-6.3217,0,0,0,11,5280,70,150,1.201,151.201,1,0,0,1,0,1,0.0909,0,0.0909,0,0.2727,0.7273,0.5455,3,6,11,1.201,1.201,2.1017,0.0909,1.0,0.0,0.0,0.0,0,0,0.5,2,1,0.5096,0.1,0,0.5455,0,0.1818,0,0,0.5,0,0,0,1.0671,0,outer_patrol_a,road_edge,0.9997,0
5,-10.0,-8.5446,0,0,0,5,2400,70,150,1.5455,151.5455,1,0,0,1,0,1,0.2,0,0.2,0,0.6,0.4,0.6,3,3,5,1.5455,1.5455,2.7046,0.2,1.0,0.0,0.0,0.0,0,0,1,1,1,0.5148,0.1,0,0.8,0,0.2,0,0,1,0,0,0,0.673,0,outer_patrol_a,road_edge,0.9993,0
6,-10.0,-6.513,0,0,0,7,3360,70,150,1.4132,151.4132,1,0,0,1,0,1,0.1429,0,0.1429,0,0.4286,0.5714,0.4286,3,3,7,1.4132,1.4132,2.473,0.1429,1.0,0.0,0.0,0.0,0,0,0.75,4,3,0.5158,0.1,0,1,0,0.5714,0,0,0.75,0,0,0,0.6829,0,outer_patrol_a,road_edge,0.999,0
7,-10.0,-9.7657,0,0,0,11,5280,70,150,1.729,151.729,1,0,0,1,0,1,0.0909,0,0.0909,0,0.2727,0.7273,0.7273,3,8,11,1.729,1.729,3.0257,0.0909,1.0,0.0,0.0,0.0,0,0,1,1,1,0.4806,0.1,0,0.6364,0,0.0909,0,0,1,0,0,0,1.0671,0,outer_patrol_a,road_edge,0.9987,0
8,-10.0,-11.7961,0,0,0,3,1440,70,150,1.4035,151.4035,1,0,0,1,0,1,0.3333,0,0.3333,0,0.3333,0.6667,0.6667,1,2,3,1.4035,1.4035,2.4561,0.3333,1.0,0.0,0.0,0.0,0,0,0,1,0,0.5258,0.1,0,0.3333,0,0.3333,0,0,0,0,0,0,1.0986,0,outer_patrol_a,road_edge,0.9983,0
9,-8.3303,-4.0636,0,0,0,9,4320,70,150,1.4192,151.4192,1,0,0,1,0,1,0.1111,0,0.1111,0,0.6667,0.3333,0.6667,6,6,9,1.4192,1.4192,2.4836,0.1111,1.0,0.0,0.0,0.0,0,0,1,1,1,0.4869,0.1,0,0.6667,0,0.1111,0,0,1,0,0,0,0.6365,0,outer_patrol_a,road_edge,0.998,0
10,-8.9901,-4.3854,0,0,0,10,4800,70,150,1.2717,151.2717,1,0,0,1,0,1,0.1,0,0.1,0,0.5,0.5,0.6,5,6,10,1.2717,1.2717,2.2254,0.1,1.0,0.0,0.0,0.0,0,0,1,1,1,0.4888,0.1,0,0.9,0,0.1,0,0,1,0,0,0,0.9433,0,outer_patrol_a,road_edge,0.9977,0
11,-10.0,-9.6728,0,0,0,7,3360,70,150,1.7787,151.7787,1,0,0,1,0,1,0.1429,0,0.1429,0,0.4286,0.5714,0.7143,3,5,7,1.7787,1.7787,3.1128,0.1429,1.0,0.0,0.0,0.0,0,0,0,0,0,0.5276,0.1,0,0.4286,0,0,0,0,0,0,0,0,1.079,0,outer_patrol_a,road_edge,0.9973,0
12,-10.0,-9.7132,0,0,0,4,1920,70,150,1.699,151.699,1,0,0,1,0,1,0.25,0,0.25,0,0.75,0.25,0.75,3,3,4,1.699,1.699,2.9732,0.25,1.0,0.0,0.0,0.0,0,0,0,0,0,0.4929,0.1,0,0.5,0,0,0,0,0,0,0,0,0.5623,0,outer_patrol_a,road_edge,0.997,0
13,5.8394,2.8485,0,4,0.6667,37,17760,70,150,7.6466,157.6466,1,1.2613,0.1081,1,0,1,0.027,0,0.027,0,0.5946,0.4054,0.8919,22,33,37,1.5293,1.5293,13.3815,0.1351,1.0,0.0,0.0,0.0,0,0,0.2727,11,3,0.6031,0.1,0.2432,0.8378,0.1081,0.2973,0,0,0.2727,0,0,0,1.5238,0,outer_patrol_b,road_edge,0.9966,0
14,-9.5609,-4.6638,0,1,0.1667,19,9120,70,150,3.1165,153.1165,1,0.614,0.0526,0,1,1,0,0.0526,0.0526,0,0.5263,0.4737,0.8421,10,16,19,1.5582,1.5582,5.4538,0.1053,1.0,0.0,0.0,0.0,0,0,0.5714,7,4,0.5351,0.1,0.1053,0.6316,0.0526,0.3684,0,0,0.5714,0,0,0,1.3066,0,enter_inner,red_light,0.9963,0
15,-10.0,-10.6154,0,0,0,7,3360,70,150,1.4717,151.4717,1,0,0,1,0,1,0.1429,0,0.1429,0,0.2857,0.7143,0.7143,2,5,7,1.4717,1.4717,2.5754,0.1429,1.0,0.0,0.0,0.0,0,0,0,2,0,0.4964,0.1,0,0.8571,0,0.2857,0,0,0,0,0,0,1.079,0,outer_patrol_a,road_edge,0.996,0
16,-10.0,-7.0915,0,0,0,9,4320,70,150,1.458,151.458,1,0,0,1,0,1,0.1111,0,0.1111,0,0.4444,0.5556,0.6667,4,6,9,1.458,1.458,2.5515,0.1111,1.0,0.0,0.0,0.0,0,0,1,2,2,0.4986,0.1,0,0.6667,0,0.2222,0,0,1,0,0,0,1.0609,0,outer_patrol_a,road_edge,0.9956,0
17,-10.0,-10.7847,0,0,0,4,1920,70,150,1.2141,151.2141,1,0,0,1,0,1,0.25,0,0.25,0,0,1,0.25,0,1,4,1.2141,1.2141,2.1247,0.25,1.0,0.0,0.0,0.0,0,0,0,0,0,0.4667,0.1,0,0.5,0,0,0,0,0,0,0,0,0.5623,0,outer_patrol_a,road_edge,0.9953,0
18,5.8356,2.8467,0,2,0.3333,22,10560,70,150,4.3162,154.3162,1,1.0606,0.0909,1,0,1,0.0455,0,0.0455,0,0.5455,0.4545,0.7273,12,16,22,1.4387,1.4387,7.5533,0.1364,1.0,0.0,0.0,0.0,0,0,0.75,4,3,0.5263,0.1,0.0455,0.7273,0,0.1818,0,0,0.75,0,0,0,1.184,0,inner_patrol,obstacle,0.995,0
19,-1.8025,-0.8793,0,3,0.5,34,16320,70,150,6.1367,156.1367,1,1.0294,0.0882,1,0,1,0.0294,0,0.0294,0,0.3529,0.6471,0.7353,12,25,34,1.5342,1.5342,10.7393,0.1176,1.0,0.0,0.0,0.0,0,0,0.4,5,2,0.5541,0.1,0.0588,0.7647,0.0588,0.1471,0,0,0.4,0,0,0,1.1912,0,return_outer,obstacle,0.9946,0
20,-10.0,-5.4123,0,0,0,10,4800,70,150,1.3899,151.3899,1,0,0,1,0,1,0.1,0,0.1,0,0.7,0.3,0.9,7,9,10,1.3899,1.3899,2.4323,0.1,1.0,0.0,0.0,0.0,0,0,1,1,1,0.513,0.1,0,0.6,0,0.1,0,0,1,0,0,0,0.8018,0,outer_patrol_a,road_edge,0.9943,0
21,-10.0,-9.1493,0,0,0,6,2880,70,150,1.6853,151.6853,1,0,0,1,0,1,0.1667,0,0.1667,0,0.5,0.5,0.6667,3,4,6,1.6853,1.6853,2.9493,0.1667,1.0,0.0,0.0,0.0,0,0,0,1,0,0.4966,0.1,0,0.3333,0,0.1667,0,0,0,0,0,0,1.0114,0,outer_patrol_a,road_edge,0.994,0
22,-0.7475,-0.3646,0,2,0.3333,14,6720,70,150,4.9169,154.9169,1,1.6667,0.1429,1,0,1,0.0714,0,0.0714,0,0.8571,0.1429,0.8571,12,12,14,1.639,1.639,8.6046,0.2143,1.0,0.0,0.0,0.0,0,0,0.6667,3,2,0.5233,0.1,0,0.7857,0,0.2143,0,0,0.6667,0,0,0,0.7589,0,inner_patrol,obstacle,0.9936,0
23,-10.0,-11.5491,0,0,0,5,2400,70,150,1.6966,151.6966,1,0,0,1,0,1,0.2,0,0.2,0,0.4,0.6,0.8,2,4,5,1.6966,1.6966,2.9691,0.2,1.0,0.0,0.0,0.0,0,0,0,1,0,0.511,0.1,0,0.4,0,0.2,0,0,0,0,0,0,1.0549,0,outer_patrol_a,road_edge,0.9933,0
24,-10.0,-11.649,0,0,0,3,1440,70,150,1.3194,151.3194,1,0,0,1,0,1,0.3333,0,0.3333,0,0.3333,0.6667,0.6667,1,2,3,1.3194,1.3194,2.309,0.3333,1.0,0.0,0.0,0.0,0,0,0.5,2,1,0.5226,0.1,0,1,0,0.6667,0,0,0.5,0,0,0,1.0986,0,outer_patrol_a,road_edge,0.9929,0
25,-8.5583,-4.1748,0,0,0,14,6720,70,150,1.2999,151.2999,1,0,0,1,0,1,0.0714,0,0.0714,0,0.5,0.5,0.7857,7,11,14,1.2999,1.2999,2.2748,0.0714,1.0,0.0,0.0,0.0,0,0,1,1,1,0.497,0.1,0,0.7143,0,0.0714,0,0,1,0,0,0,1.0346,0,outer_patrol_a,road_edge,0.9926,0
