metric,value
method,SayCan
scenario,UGV Street Patrol Parking
episodes,5000
summary_window,5000
avg_score_all,22.1622
avg_reward_all,9.7066
avg_success_all,0.2888
avg_stage_ratio_all,0.4472
avg_steps_all,22.6534
avg_equivalent_env_steps_all,10873.632
avg_completion_time_steps_all,60.9208
avg_nominal_completion_time_seconds_all,146.1089
avg_latency_time_seconds_all,5.096
avg_completion_time_seconds_all,151.205
avg_normalized_completion_time_all,0.8703
avg_route_efficiency_all,0.9876
avg_progress_per_step_all,0.0847
avg_collisions_all,0.6532
avg_violations_all,0.058
avg_unsafe_rate_all,0.7112
avg_collision_rate_all,0.0983
avg_violation_rate_all,0.0032
avg_unsafe_event_rate_all,0.1015
avg_planner_accuracy_all,0.7378
avg_planner_miss_ratio_all,0.2622
avg_planner_legal_ratio_all,0.8545
avg_target_hits_all,0.0
avg_wait_time_all,1.5005
avg_stage_latency_seconds_all,1.5005
avg_latency_penalty_all,8.9181
avg_idle_ratio_all,0.1861
avg_wait_ratio_all,1.0
avg_follow_ratio_all,0.0
avg_select_ratio_all,0.0
avg_compensation_utilization_all,0.0
avg_safety_saved_all,0.0
avg_safety_interventions_all,0.0
avg_safety_success_rate_all,0.5912
avg_critical_events_all,6.7958
avg_critical_safe_all,4.5168
avg_risk_exposure_all,0.5443
avg_observed_risk_all,0.1
avg_high_risk_step_ratio_all,0.0906
avg_hazard_step_ratio_all,0.74
avg_red_light_exposure_ratio_all,0.0384
avg_critical_event_rate_all,0.2747
avg_intervention_rate_all,0.0
avg_safety_precision_all,0.0
avg_safety_recall_all,0.5912
avg_stop_ratio_all,0.0
avg_steer_left_ratio_all,0.0
avg_steer_right_ratio_all,0.0
avg_behavior_entropy_all,0.9332
avg_safety_entropy_all,0.0
total_equivalent_env_steps,54368160
