episode,score,reward,success,stages_completed,stage_completion_ratio,steps,equivalent_env_steps,completion_time_steps,nominal_completion_time_seconds,latency_time_seconds,completion_time_seconds,normalized_completion_time,route_efficiency,progress_per_step,collisions,violations,unsafe_episode,collision_rate,violation_rate,unsafe_event_rate,target_hits,planner_accuracy,planner_miss_ratio,planner_legal_ratio,planner_exact_hits,planner_legal_hits,planner_total,avg_stage_wait_time,avg_stage_latency_seconds,latency_penalty,idle_window_ratio,wait_ratio,follow_ratio,select_ratio,compensation_utilization,safety_saved,safety_interventions,safety_success_rate,critical_events,critical_safe_count,risk_exposure,observed_risk_mean,high_risk_step_ratio,hazard_step_ratio,red_light_exposure_ratio,critical_event_rate,intervention_rate,safety_precision,safety_recall,stop_ratio,steer_left_ratio,steer_right_ratio,behavior_entropy,safety_entropy,active_stage_key,last_failure_mode,epsilon,episode_loss
3,-10.0,-12.497,0,0,0,5,2400,70,150,1.2668,151.2668,1,0,0,1,0,1,0.2,0,0.2,0,0,1,0.6,0,3,5,1.2668,1.2668,2.217,0.2,1.0,0.0,0.0,0.0,0,0,0.5,2,1,0.4879,0.1,0,0.8,0,0.4,0,0,0.5,0,0,0,0.673,0,outer_patrol_a,road_edge,1,0
4,-10.0,-11.065,0,0,0,4,1920,70,150,1.6257,151.6257,1,0,0,1,0,1,0.25,0,0.25,0,0.5,0.5,0.75,2,3,4,1.6257,1.6257,2.845,0.25,1.0,0.0,0.0,0.0,0,0,0,0,0,0.4679,0.1,0,0.5,0,0,0,0,0,0,0,0,1.0397,0,outer_patrol_a,road_edge,0.9999,0
5,-10.0,-6.9284,0,0,0,8,3840,70,150,1.4448,151.4448,1,0,0,1,0,1,0.125,0,0.125,0,0.375,0.625,0.5,3,4,8,1.4448,1.4448,2.5284,0.125,1.0,0.0,0.0,0.0,0,0,0.3333,3,1,0.5136,0.1,0,0.625,0,0.375,0,0,0.3333,0,0,0,0.9743,0,outer_patrol_a,road_edge,0.9997,0
6,-9.0221,-4.401,0,1,0.1667,19,9120,70,150,2.5891,152.5891,1,0.614,0.0526,1,0,1,0.0526,0,0.0526,0,0.3684,0.6316,0.6842,7,13,19,1.2946,1.2946,4.531,0.1053,1.0,0.0,0.0,0.0,0,0,0.2857,7,2,0.551,0.1,0.1579,0.5789,0.0526,0.3684,0,0,0.2857,0,0,0,1.3893,0,enter_inner,obstacle,0.9996,0
7,-6.2437,-3.0457,0,0,0,13,6240,70,150,1.329,151.329,1,0,0,1,0,1,0.0769,0,0.0769,0,0.3846,0.6154,0.5385,5,7,13,1.329,1.329,2.3257,0.0769,1.0,0.0,0.0,0.0,0,0,0.6667,6,4,0.5113,0.1,0,0.9231,0,0.4615,0,0,0.6667,0,0,0,1.0123,0,outer_patrol_a,road_edge,0.9995,0
8,-1.3042,-0.6362,0,3,0.5,31,14880,70,150,6.1121,156.1121,1,1.129,0.0968,1,0,1,0.0323,0,0.0323,0,0.2581,0.7419,0.5806,8,18,31,1.528,1.528,10.6962,0.129,1.0,0.0,0.0,0.0,0,0,0.6,10,6,0.5543,0.1,0.0968,0.7419,0.0323,0.3226,0,0,0.6,0,0,0,1.079,0,return_outer,obstacle,0.9993,0
9,-10.0,-8.3101,0,0,0,7,3360,70,150,1.5943,151.5943,1,0,0,1,0,1,0.1429,0,0.1429,0,0.2857,0.7143,0.4286,2,3,7,1.5943,1.5943,2.7901,0.1429,1.0,0.0,0.0,0.0,0,0,0.5,2,1,0.5154,0.1,0,0.8571,0,0.2857,0,0,0.5,0,0,0,0.9557,0,outer_patrol_a,road_edge,0.9992,0
10,-10.0,-5.5492,0,0,0,8,3840,70,150,1.6281,151.6281,1,0,0,1,0,1,0.125,0,0.125,0,0.625,0.375,0.625,5,5,8,1.6281,1.6281,2.8492,0.125,1.0,0.0,0.0,0.0,0,0,0,0,0,0.518,0.1,0,0.25,0,0,0,0,0,0,0,0,0.6616,0,outer_patrol_a,road_edge,0.999,0
11,-8.8097,-4.2974,0,0,0,16,7680,70,150,1.6785,151.6785,1,0,0,1,0,1,0.0625,0,0.0625,0,0.4375,0.5625,0.75,7,12,16,1.6785,1.6785,2.9374,0.0625,1.0,0.0,0.0,0.0,0,0,0.3333,3,1,0.5025,0.1,0,0.625,0,0.1875,0,0,0.3333,0,0,0,1.0717,0,outer_patrol_a,road_edge,0.9988,0
12,-10.0,-11.2391,0,0,0,8,3840,70,150,1.6224,151.6224,1,0,0,1,0,1,0.125,0,0.125,0,0.25,0.75,0.75,2,6,8,1.6224,1.6224,2.8391,0.125,1.0,0.0,0.0,0.0,0,0,0,1,0,0.501,0.1,0,0.75,0,0.125,0,0,0,0,0,0,1.0397,0,outer_patrol_a,road_edge,0.9987,0
13,-7.4011,-3.6103,0,1,0.1667,15,7200,70,150,3.0573,153.0573,1,0.7778,0.0667,1,0,1,0.0667,0,0.0667,0,0.5333,0.4667,0.6667,8,10,15,1.5287,1.5287,5.3503,0.1333,1.0,0.0,0.0,0.0,0,0,0.6667,3,2,0.5116,0.1,0.0667,0.6667,0,0.2,0,0,0.6667,0,0,0,1.1711,0,enter_inner,obstacle,0.9985,0
14,-10.0,-7.8236,0,0,0,10,4800,70,150,1.7963,151.7963,1,0,0,1,0,1,0.1,0,0.1,0,0.5,0.5,0.8,5,8,10,1.7963,1.7963,3.1436,0.1,1.0,0.0,0.0,0.0,0,0,1,1,1,0.5101,0.1,0,0.6,0,0.1,0,0,1,0,0,0,1.0297,0,outer_patrol_a,road_edge,0.9984,0
15,-10.0,-6.6282,0,0,0,15,7200,70,150,1.399,151.399,1,0,0,1,0,1,0.0667,0,0.0667,0,0.2667,0.7333,0.6667,4,10,15,1.399,1.399,2.4482,0.0667,1.0,0.0,0.0,0.0,0,0,0.5,2,1,0.4957,0.1,0,0.7333,0,0.1333,0,0,0.5,0,0,0,1.0852,0,outer_patrol_a,road_edge,0.9982,0
16,-10.0,-12.4924,0,0,0,4,1920,70,150,1.5957,151.5957,1,0,0,1,0,1,0.25,0,0.25,0,0.25,0.75,0.75,1,3,4,1.5957,1.5957,2.7924,0.25,1.0,0.0,0.0,0.0,0,0,0,0,0,0.4763,0.1,0,0.5,0,0,0,0,0,0,0,0,1.0397,0,outer_patrol_a,road_edge,0.998,0
17,-10.0,-7.6813,0,1,0.1667,25,12000,70,150,3.075,153.075,1,0.4667,0.04,1,0,1,0.04,0,0.04,0,0.24,0.76,0.72,6,18,25,1.5375,1.5375,5.3813,0.08,1.0,0.0,0.0,0.0,0,0,0,2,0,0.4969,0.1,0,0.56,0,0.08,0,0,0,0,0,0,1.0512,0,enter_inner,obstacle,0.9979,0
18,-10.0,-9.9743,0,0,0,4,1920,70,150,1.7224,151.7224,1,0,0,1,0,1,0.25,0,0.25,0,0.5,0.5,0.5,2,2,4,1.7224,1.7224,3.0143,0.25,1.0,0.0,0.0,0.0,0,0,0,0,0,0.4511,0.1,0,0.5,0,0,0,0,0,0,0,0,0.6931,0,outer_patrol_a,road_edge,0.9977,0
19,-10.0,-11.8261,0,0,0,2,960,70,150,1.6263,151.6263,1,0,0,1,0,1,0.5,0,0.5,0,0.5,0.5,0.5,1,1,2,1.6263,1.6263,2.8461,0.5,1.0,0.0,0.0,0.0,0,0,1,1,1,0.4971,0.1,0,1,0,0.5,0,0,1,0,0,0,0.6931,0,outer_patrol_a,road_edge,0.9975,0
20,-10.0,-4.9276,0,0,0,13,6240,70,150,1.6844,151.6844,1,0,0,1,0,1,0.0769,0,0.0769,0,0.3846,0.6154,0.6154,5,8,13,1.6844,1.6844,2.9476,0.0769,1.0,0.0,0.0,0.0,0,0,0,2,0,0.4839,0.1,0,0.7692,0,0.1538,0,0,0,0,0,0,1.0734,0,outer_patrol_a,road_edge,0.9974,0
21,-10.0,-5.7405,0,1,0.1667,23,11040,70,150,2.6289,152.6289,1,0.5072,0.0435,1,0,1,0.0435,0,0.0435,0,0.3478,0.6522,0.7826,8,18,23,1.3144,1.3144,4.6005,0.087,1.0,0.0,0.0,0.0,0,0,0.625,8,5,0.5083,0.1,0.0435,0.5652,0,0.3478,0,0,0.625,0,0,0,1.1923,0,enter_inner,obstacle,0.9972,0
22,-10.0,-7.7967,0,0,0,12,5760,70,150,1.2438,151.2438,1,0,0,1,0,1,0.0833,0,0.0833,0,0.3333,0.6667,0.75,4,9,12,1.2438,1.2438,2.1767,0.0833,1.0,0.0,0.0,0.0,0,0,0.5,2,1,0.51,0.1,0,0.6667,0,0.1667,0,0,0.5,0,0,0,1.0776,0,outer_patrol_a,road_edge,0.997,0
23,-10.0,-12.772,0,0,0,1,480,70,150,1.5269,151.5269,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,1.5269,1.5269,2.672,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0.5056,0.1,0,1,0,0,0,0,0,0,0,0,0,0,outer_patrol_a,road_edge,0.9968,0
24,4.5406,2.2149,0,2,0.3333,24,11520,70,150,4.7343,154.7343,1,0.9722,0.0833,1,0,1,0.0417,0,0.0417,0,0.4167,0.5833,0.625,10,15,24,1.5781,1.5781,8.2851,0.125,1.0,0.0,0.0,0.0,0,0,0.5714,7,4,0.5497,0.1,0.0833,0.7917,0.0417,0.2917,0,0,0.5714,0,0,0,1.0594,0,inner_patrol,obstacle,0.9967,0
25,3.7982,1.8528,0,2,0.3333,22,10560,70,150,4.2441,154.2441,1,1.0606,0.0909,1,0,1,0.0455,0,0.0455,0,0.5455,0.4545,0.8182,12,18,22,1.4147,1.4147,7.4272,0.1364,1.0,0.0,0.0,0.0,0,0,0.875,8,7,0.5399,0.1,0.0455,0.7727,0,0.3636,0,0,0.875,0,0,0,1.1178,0,inner_patrol,obstacle,0.9965,0
26,-10.0,-13.1788,0,0,0,1,480,70,150,1.7593,151.7593,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,1.7593,1.7593,3.0788,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0.4685,0.1,0,0,0,0,0,0,0,0,0,0,0,0,outer_patrol_a,road_edge,0.9963,0
27,61.4551,29.9781,1,6,1,51,24480,51,141.8571,9.2125,151.0696,0.7286,1.3725,0.1176,0,0,0,0,0,0,0,0.4118,0.5882,0.7451,21,38,51,1.5354,1.5354,16.1219,0.1176,1.0,0.0,0.0,0.0,0,0,0.7059,17,12,0.5432,0.1,0.0784,0.8431,0.0196,0.3333,0,0,0.7059,0,0,0,1.1708,0,completed,,0.9961,0
28,-10.0,-11.4743,0,0,0,8,3840,70,150,1.631,151.631,1,0,0,1,0,1,0.125,0,0.125,0,0.125,0.875,0.625,1,5,8,1.631,1.631,2.8543,0.125,1.0,0.0,0.0,0.0,0,0,1,1,1,0.496,0.1,0,0.625,0,0.125,0,0,1,0,0,0,0.9743,0,outer_patrol_a,road_edge,0.996,0
29,-10.0,-11.7014,0,0,0,3,1440,70,150,1.2237,151.2237,1,0,0,1,0,1,0.3333,0,0.3333,0,0,1,0.3333,0,1,3,1.2237,1.2237,2.1414,0.3333,1.0,0.0,0.0,0.0,0,0,0,0,0,0.4862,0.1,0,0.6667,0,0,0,0,0,0,0,0,0.6365,0,outer_patrol_a,road_edge,0.9958,0
30,-7.6956,-3.7539,0,2,0.3333,23,11040,70,150,4.1222,154.1222,1,1.0145,0.087,1,0,1,0.0435,0,0.0435,0,0.2174,0.7826,0.6087,5,14,23,1.3741,1.3741,7.2139,0.1304,1.0,0.0,0.0,0.0,0,0,0.6667,6,4,0.5273,0.1,0.0435,0.6957,0,0.2609,0,0,0.6667,0,0,0,1.0912,0,inner_patrol,obstacle,0.9956,0
31,-10.0,-11.9729,0,0,0,3,1440,70,150,1.3788,151.3788,1,0,0,1,0,1,0.3333,0,0.3333,0,0,1,0.3333,0,1,3,1.3788,1.3788,2.4129,0.3333,1.0,0.0,0.0,0.0,0,0,0,1,0,0.5092,0.1,0,0.3333,0,0.3333,0,0,0,0,0,0,0.6365,0,outer_patrol_a,road_edge,0.9954,0
