metric,value
method,DK-ABS
scenario,UGV Street Patrol Parking
episodes,5000
summary_window,5000
avg_score_all,35.5995
avg_reward_all,17.0778
avg_success_all,0.368
avg_stage_ratio_all,0.6527
avg_steps_all,32.522
avg_equivalent_env_steps_all,15610.56
avg_completion_time_steps_all,59.2574
avg_nominal_completion_time_seconds_all,145.396
avg_latency_time_seconds_all,6.8129
avg_completion_time_seconds_all,152.2089
avg_normalized_completion_time_all,0.8465
avg_route_efficiency_all,1.2419
avg_progress_per_step_all,0.1064
avg_collisions_all,0.6316
avg_violations_all,0.0
avg_unsafe_rate_all,0.6316
avg_collision_rate_all,0.043
avg_violation_rate_all,0.0
avg_unsafe_event_rate_all,0.043
avg_planner_accuracy_all,0.8911
avg_planner_miss_ratio_all,0.1089
avg_planner_legal_ratio_all,1.0
avg_target_hits_all,0.0
avg_wait_time_all,1.4966
avg_stage_latency_seconds_all,1.4966
avg_latency_penalty_all,11.9226
avg_idle_ratio_all,0.1495
avg_wait_ratio_all,1.0
avg_follow_ratio_all,0.0
avg_select_ratio_all,0.0
avg_compensation_utilization_all,0.0
avg_safety_saved_all,0.0
avg_safety_interventions_all,0.0
avg_safety_success_rate_all,0.5704
avg_critical_events_all,9.8606
avg_critical_safe_all,5.6386
avg_risk_exposure_all,0.5546
avg_observed_risk_all,0.1
avg_high_risk_step_ratio_all,0.109
avg_hazard_step_ratio_all,0.7643
avg_red_light_exposure_ratio_all,0.0427
avg_critical_event_rate_all,0.2906
avg_intervention_rate_all,0.0
avg_safety_precision_all,0.0
avg_safety_recall_all,0.5704
avg_stop_ratio_all,0.0
avg_steer_left_ratio_all,0.0
avg_steer_right_ratio_all,0.0
avg_behavior_entropy_all,1.0856
avg_safety_entropy_all,0.0
total_equivalent_env_steps,78052800
