method,scenario,episodes,summary_window,avg_score_all,avg_reward_all,avg_success_all,avg_stage_ratio_all,avg_steps_all,avg_equivalent_env_steps_all,avg_completion_time_steps_all,avg_nominal_completion_time_seconds_all,avg_latency_time_seconds_all,avg_completion_time_seconds_all,avg_normalized_completion_time_all,avg_route_efficiency_all,avg_progress_per_step_all,avg_collisions_all,avg_violations_all,avg_unsafe_rate_all,avg_collision_rate_all,avg_violation_rate_all,avg_unsafe_event_rate_all,avg_planner_accuracy_all,avg_planner_miss_ratio_all,avg_planner_legal_ratio_all,avg_target_hits_all,avg_wait_time_all,avg_stage_latency_seconds_all,avg_latency_penalty_all,avg_idle_ratio_all,avg_wait_ratio_all,avg_follow_ratio_all,avg_select_ratio_all,avg_compensation_utilization_all,avg_safety_saved_all,avg_safety_interventions_all,avg_safety_success_rate_all,avg_critical_events_all,avg_critical_safe_all,avg_risk_exposure_all,avg_observed_risk_all,avg_high_risk_step_ratio_all,avg_hazard_step_ratio_all,avg_red_light_exposure_ratio_all,avg_critical_event_rate_all,avg_intervention_rate_all,avg_safety_precision_all,avg_safety_recall_all,avg_stop_ratio_all,avg_steer_left_ratio_all,avg_steer_right_ratio_all,avg_behavior_entropy_all,avg_safety_entropy_all,total_equivalent_env_steps,suite,method_key,scenario_key,seed
DILU,UGV Complex Road Passage,4000,4000,41.6287,60.3041,0.3465,0.5337,9.9023,3168.72,57.4423,111.5408,5.7927,117.3336,0.718,3.8486,0.2886,0.6225,0.031,0.6535,0.1181,0.0026,0.1207,0.6976,0.3024,0.9569,1.2715,1.5027,1.5027,18.5367,0.4093,1.0,0.0,0.0,0.0,0.0,0.0,0.4379,3.2477,1.6852,0.4464,0.1,0.2696,0.3803,0.0386,0.3046,0.0,0.0,0.4379,0.0,0.0,0.0,1.2704,0.0,12674880,Chapter 3 Road Comparison,dilu_delay,road,42
SayCan,UGV Complex Road Passage,4000,4000,35.0255,48.6885,0.275,0.4646,9.4065,3010.08,62.125,113.2969,5.2718,118.5687,0.7766,3.4346,0.2576,0.694,0.031,0.725,0.1383,0.0025,0.1408,0.6488,0.3512,0.9375,1.0212,1.5012,1.5012,16.8698,0.3984,1.0,0.0,0.0,0.0,0.0,0.0,0.3773,3.1635,1.4598,0.437,0.1,0.2734,0.3612,0.0365,0.3022,0.0,0.0,0.3773,0.0,0.0,0.0,1.2018,0.0,12040320,Chapter 3 Road Comparison,saycan_delay,road,42
DK-ABS,UGV Complex Road Passage,4000,4000,63.2096,98.5268,0.645,0.7613,12.8712,4118.8,38.354,104.3828,7.3861,111.7689,0.4794,4.4403,0.333,0.355,0.0,0.355,0.0658,0.0,0.0658,0.7408,0.2592,0.9495,1.8005,1.502,1.502,23.6355,0.3988,1.0,0.0,0.0,0.0,0.0,0.0,0.5277,4.4078,2.3142,0.4764,0.1,0.2674,0.4442,0.054,0.3207,0.0,0.0,0.5277,0.0,0.0,0.0,1.5599,0.0,16475200,Chapter 3 Road Comparison,dkabs_wo_comp,road,42
LACM,UGV Complex Road Passage,4000,4000,70.0596,122.6962,0.6455,0.7671,12.8308,4105.84,38.3485,104.3807,0.8458,105.2265,0.4794,4.4923,0.3369,0.3545,0.0,0.3545,0.0706,0.0,0.0706,0.5227,0.4773,0.5574,2.2128,0.2372,0.2372,1.3533,0.4501,0.1933,0.5644,0.2003,0.7647,0.0,0.0,0.6026,4.7307,2.828,0.493,0.1,0.2867,0.4687,0.0584,0.3428,0.0,0.0,0.6026,0.0,0.0,0.0,0.5912,0.0,16423360,Chapter 3 Road Comparison,lacm,road,42
DILU,UGV Complex Road Passage,4000,4000,40.743,58.5829,0.329,0.525,9.8863,3163.6,58.641,111.9904,5.7402,117.7306,0.733,3.8243,0.2868,0.643,0.028,0.671,0.1199,0.0024,0.1222,0.6805,0.3195,0.9573,1.1945,1.503,1.503,18.3687,0.409,1.0,0.0,0.0,0.0,0.0,0.0,0.4367,3.2155,1.6732,0.4427,0.1,0.2665,0.3759,0.039,0.3018,0.0,0.0,0.4367,0.0,0.0,0.0,1.2554,0.0,12654400,Chapter 3 Road Comparison,dilu_delay,road,43
SayCan,UGV Complex Road Passage,4000,4000,34.1001,47.2345,0.2645,0.4582,9.129,2921.28,62.7197,113.5199,5.2249,118.7448,0.784,3.4866,0.2615,0.7057,0.0297,0.7355,0.1416,0.0025,0.1442,0.6561,0.3439,0.9364,0.9603,1.4976,1.4976,16.7196,0.4057,1.0,0.0,0.0,0.0,0.0,0.0,0.3974,2.9625,1.4655,0.4308,0.1,0.2659,0.3536,0.034,0.2941,0.0,0.0,0.3974,0.0,0.0,0.0,1.1824,0.0,11685120,Chapter 3 Road Comparison,saycan_delay,road,43
DK-ABS,UGV Complex Road Passage,4000,4000,63.6262,99.7122,0.6615,0.7684,13.1105,4195.36,37.4588,104.047,7.4131,111.4601,0.4682,4.417,0.3313,0.3385,0.0,0.3385,0.0638,0.0,0.0638,0.7359,0.2641,0.9491,1.8525,1.4989,1.4989,23.7218,0.3951,1.0,0.0,0.0,0.0,0.0,0.0,0.5196,4.5423,2.333,0.4812,0.1,0.2721,0.4485,0.0524,0.3247,0.0,0.0,0.5196,0.0,0.0,0.0,1.5645,0.0,16781440,Chapter 3 Road Comparison,dkabs_wo_comp,road,43
LACM,UGV Complex Road Passage,4000,4000,69.7309,122.0343,0.642,0.764,12.763,4084.16,38.5528,104.4573,0.8395,105.2968,0.4819,4.4905,0.3368,0.358,0.0,0.358,0.0711,0.0,0.0711,0.5219,0.4781,0.5566,2.188,0.2364,0.2364,1.3432,0.4519,0.1938,0.5682,0.1955,0.7637,0.0,0.0,0.6064,4.7105,2.8355,0.4928,0.1,0.2871,0.4694,0.056,0.3435,0.0,0.0,0.6064,0.0,0.0,0.0,0.5835,0.0,16336640,Chapter 3 Road Comparison,lacm,road,43
DILU,UGV Complex Road Passage,4000,4000,40.0057,57.5258,0.3287,0.5178,9.886,3163.52,58.6902,112.0088,5.6612,117.67,0.7336,3.7326,0.2799,0.6412,0.03,0.6713,0.1253,0.0025,0.1278,0.6857,0.3143,0.958,1.1707,1.4981,1.4981,18.1157,0.4077,1.0,0.0,0.0,0.0,0.0,0.0,0.4232,3.2298,1.625,0.4421,0.1,0.2664,0.3768,0.0385,0.3007,0.0,0.0,0.4232,0.0,0.0,0.0,1.2384,0.0,12654080,Chapter 3 Road Comparison,dilu_delay,road,44
SayCan,UGV Complex Road Passage,4000,4000,34.0955,47.1449,0.262,0.4555,9.2592,2962.96,63.0245,113.6342,5.2021,118.8363,0.7878,3.4242,0.2568,0.7113,0.0267,0.738,0.144,0.0023,0.1462,0.6436,0.3564,0.9383,0.9633,1.4983,1.4983,16.6467,0.403,1.0,0.0,0.0,0.0,0.0,0.0,0.3811,3.0833,1.4618,0.4317,0.1,0.2673,0.3555,0.0359,0.2974,0.0,0.0,0.3811,0.0,0.0,0.0,1.1807,0.0,11851840,Chapter 3 Road Comparison,saycan_delay,road,44
