metric,value
method,DILU
scenario,UGV Complex Road Passage
episodes,4000
summary_window,4000
avg_score_all,41.6287
avg_reward_all,60.3041
avg_success_all,0.3465
avg_stage_ratio_all,0.5337
avg_steps_all,9.9023
avg_equivalent_env_steps_all,3168.72
avg_completion_time_steps_all,57.4423
avg_nominal_completion_time_seconds_all,111.5408
avg_latency_time_seconds_all,5.7927
avg_completion_time_seconds_all,117.3336
avg_normalized_completion_time_all,0.718
avg_route_efficiency_all,3.8486
avg_progress_per_step_all,0.2886
avg_collisions_all,0.6225
avg_violations_all,0.031
avg_unsafe_rate_all,0.6535
avg_collision_rate_all,0.1181
avg_violation_rate_all,0.0026
avg_unsafe_event_rate_all,0.1207
avg_planner_accuracy_all,0.6976
avg_planner_miss_ratio_all,0.3024
avg_planner_legal_ratio_all,0.9569
avg_target_hits_all,1.2715
avg_wait_time_all,1.5027
avg_stage_latency_seconds_all,1.5027
avg_latency_penalty_all,18.5367
avg_idle_ratio_all,0.4093
avg_wait_ratio_all,1.0
avg_follow_ratio_all,0.0
avg_select_ratio_all,0.0
avg_compensation_utilization_all,0.0
avg_safety_saved_all,0.0
avg_safety_interventions_all,0.0
avg_safety_success_rate_all,0.4379
avg_critical_events_all,3.2477
avg_critical_safe_all,1.6852
avg_risk_exposure_all,0.4464
avg_observed_risk_all,0.1
avg_high_risk_step_ratio_all,0.2696
avg_hazard_step_ratio_all,0.3803
avg_red_light_exposure_ratio_all,0.0386
avg_critical_event_rate_all,0.3046
avg_intervention_rate_all,0.0
avg_safety_precision_all,0.0
avg_safety_recall_all,0.4379
avg_stop_ratio_all,0.0
avg_steer_left_ratio_all,0.0
avg_steer_right_ratio_all,0.0
avg_behavior_entropy_all,1.2704
avg_safety_entropy_all,0.0
total_equivalent_env_steps,12674880
