episode,score,reward,success,stages_completed,stage_completion_ratio,steps,equivalent_env_steps,completion_time_steps,nominal_completion_time_seconds,latency_time_seconds,completion_time_seconds,normalized_completion_time,route_efficiency,progress_per_step,collisions,violations,unsafe_episode,collision_rate,violation_rate,unsafe_event_rate,target_hits,planner_accuracy,planner_miss_ratio,planner_legal_ratio,planner_exact_hits,planner_legal_hits,planner_total,avg_stage_wait_time,avg_stage_latency_seconds,latency_penalty,idle_window_ratio,comp_decision_ratio,idle_comp_ratio,wait_ratio,follow_ratio,select_ratio,compensation_utilization,safety_saved,safety_interventions,safety_success_rate,critical_events,critical_safe_count,risk_exposure,observed_risk_mean,high_risk_step_ratio,hazard_step_ratio,red_light_exposure_ratio,critical_event_rate,intervention_rate,safety_precision,safety_recall,stop_ratio,steer_left_ratio,steer_right_ratio,behavior_entropy,safety_entropy,active_stage_key,last_failure_mode,epsilon,episode_loss
3,0.0,-3.5604,0,1,0.1667,5,1600,80,120,3.2876,123.2876,1,2.6667,0.2,1,0,1,0.2,0,0.2,0,0.4,0.6,1,2,5,5,1.6438,1.6438,10.5204,0.4,0,0,1.0,0.0,0.0,0.0,0,0,0,1,0,0.3202,0.1,0.2,0.2,0,0.2,0,0,0,0,0,0,0.9503,0,avoidance,obstacle,1,0
4,73.1028,98.486,0,5,0.8333,16,5120,80,120,8.3856,128.3856,1,4.1667,0.3125,1,0,1,0.0625,0,0.0625,2,0.4375,0.5625,0.875,7,14,16,1.3976,1.3976,26.834,0.375,0,0,1.0,0.0,0.0,0.0,0,0,0.6,5,3,0.5315,0.1,0.3125,0.4375,0.0625,0.3125,0,0,0.6,0,0,0,1.5596,0,precision_park,wall,0.9997,0
5,10.0731,7.963,0,2,0.3333,7,2240,80,120,5.0303,125.0303,1,3.8095,0.2857,1,0,1,0.1429,0,0.1429,0,0.5714,0.4286,0.8571,4,6,7,1.6768,1.6768,16.097,0.4286,0,0,1.0,0.0,0.0,0.0,0,0,0.6667,3,2,0.5311,0.1,0.4286,0.4286,0,0.4286,0,0,0.6667,0,0,0,1.277,0,balloons,obstacle,0.9993,0
6,0.0,-3.7983,0,1,0.1667,5,1600,80,120,3.412,123.412,1,2.6667,0.2,1,0,1,0.2,0,0.2,0,0.8,0.2,1,4,5,5,1.706,1.706,10.9183,0.4,0,0,1.0,0.0,0.0,0.0,0,0,0,2,0,0.4877,0.1,0.4,0.4,0,0.4,0,0,0,0,0,0,0.9503,0,avoidance,obstacle,0.999,0
7,54.1643,58.508,0,3,0.5,9,2880,80,120,5.385,125.385,1,4.4444,0.3333,1,0,1,0.1111,0,0.1111,2,0.8889,0.1111,0.8889,8,8,9,1.3463,1.3463,17.232,0.4444,0,0,1.0,0.0,0.0,0.0,0,0,1,2,2,0.4207,0.1,0.2222,0.3333,0,0.2222,0,0,1,0,0,0,1.3108,0,traffic_light,obstacle,0.9987,0
8,0.0,-3.1244,0,1,0.1667,4,1280,80,120,3.2451,123.2451,1,3.3333,0.25,1,0,1,0.25,0,0.25,0,0.75,0.25,0.75,3,3,4,1.6226,1.6226,10.3844,0.5,0,0,1.0,0.0,0.0,0.0,0,0,0,1,0,0.3655,0.1,0.25,0.25,0,0.25,0,0,0,0,0,0,0,0,avoidance,obstacle,0.9983,0
9,0.0,-4.584,0,1,0.1667,6,1920,80,120,3.4762,123.4762,1,2.2222,0.1667,1,0,1,0.1667,0,0.1667,0,0.5,0.5,0.8333,3,5,6,1.7381,1.7381,11.124,0.3333,0,0,1.0,0.0,0.0,0.0,0,0,0,1,0,0.291,0.1,0.1667,0.1667,0,0.1667,0,0,0,0,0,0,0.6365,0,avoidance,obstacle,0.998,0
10,0.0,-3.0986,0,1,0.1667,5,1600,80,120,3.0496,123.0496,1,2.6667,0.2,1,0,1,0.2,0,0.2,0,0,1,0.8,0,4,5,1.5248,1.5248,9.7586,0.4,0,0,1.0,0.0,0.0,0.0,0,0,0,2,0,0.4875,0.1,0.4,0.4,0,0.4,0,0,0,0,0,0,0.9503,0,avoidance,obstacle,0.9977,0
11,59.3667,67.5437,0,4,0.6667,15,4800,80,120,7.2301,127.2301,1,3.5556,0.2667,1,0,1,0.0667,0,0.0667,2,0.4,0.6,0.8667,6,13,15,1.446,1.446,23.1363,0.3333,0,0,1.0,0.0,0.0,0.0,0,0,0.6667,3,2,0.4016,0.1,0.2,0.3333,0,0.2,0,0,0.6667,0,0,0,1.6397,0,slot_search,grass,0.9973,0
12,62.7856,74.1356,0,3,0.5,11,3520,80,120,5.592,125.592,1,3.6364,0.2727,1,0,1,0.0909,0,0.0909,2,0.5455,0.4545,0.9091,6,10,11,1.398,1.398,17.8944,0.3636,0,0,1.0,0.0,0.0,0.0,0,0,0.6667,3,2,0.4362,0.1,0.1818,0.3636,0,0.2727,0,0,0.6667,0,0,0,1.6417,0,traffic_light,obstacle,0.997,0
13,0.0,-3.3473,0,1,0.1667,7,2240,80,120,2.9023,122.9023,1,1.9048,0.1429,1,0,1,0.1429,0,0.1429,0,0,1,0.8571,0,6,7,1.4511,1.4511,9.2873,0.2857,0,0,1.0,0.0,0.0,0.0,0,0,0,2,0,0.391,0.1,0.2857,0.2857,0,0.2857,0,0,0,0,0,0,1.0042,0,avoidance,obstacle,0.9966,0
14,62.0299,72.6278,0,3,0.5,13,4160,80,120,5.8851,125.8851,1,3.0769,0.2308,1,0,1,0.0769,0,0.0769,1,0.4615,0.5385,0.9231,6,12,13,1.4713,1.4713,18.8322,0.3077,0,0,1.0,0.0,0.0,0.0,0,0,0.4,5,2,0.4649,0.1,0.3077,0.3846,0.1538,0.3846,0,0,0.4,0,0,0,1.6313,0,traffic_light,obstacle,0.9963,0
15,11.6788,9.3143,0,2,0.3333,7,2240,80,120,4.608,124.608,1,3.8095,0.2857,1,0,1,0.1429,0,0.1429,0,0.5714,0.4286,0.8571,4,6,7,1.536,1.536,14.7457,0.4286,0,0,1.0,0.0,0.0,0.0,0,0,1,2,2,0.4086,0.1,0.2857,0.2857,0,0.2857,0,0,1,0,0,0,1.277,0,balloons,obstacle,0.996,0
16,0.0,-15.3423,0,0,0,3,960,80,120,1.782,121.782,1,0,0,1,0,1,0.3333,0,0.3333,0,1,0,1,3,3,3,1.782,1.782,5.7023,0.3333,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0.1603,0.1,0,0,0,0,0,0,0,0,0,0,0,0,main_road,road_edge,0.9956,0
17,0.0,-4.2594,0,1,0.1667,6,1920,80,120,3.3498,123.3498,1,2.2222,0.1667,1,0,1,0.1667,0,0.1667,0,0.3333,0.6667,0.8333,2,5,6,1.6749,1.6749,10.7194,0.3333,0,0,1.0,0.0,0.0,0.0,0,0,0,1,0,0.2939,0.1,0.1667,0.1667,0,0.1667,0,0,0,0,0,0,1.0114,0,avoidance,obstacle,0.9953,0
18,0.0,-16.0994,0,0,0,5,1600,80,120,1.7936,121.7936,1,0,0,1,0,1,0.2,0,0.2,0,0.6,0.4,1,3,5,5,1.7936,1.7936,5.7394,0.2,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0.1599,0.1,0,0,0,0,0,0,0,0,0,0,0.673,0,main_road,road_edge,0.995,0
19,84.4184,139.431,1,6,1,22,7040,22,98.25,8.6403,106.8903,0.275,3.6364,0.2727,0,0,0,0,0,0,2,0.2727,0.7273,0.9091,6,20,22,1.4401,1.4401,27.649,0.2727,0,0,1.0,0.0,0.0,0.0,0,0,0.5714,7,4,0.4734,0.1,0.2273,0.4091,0,0.3182,0,0,0.5714,0,0,0,1.6188,0,completed,,0.9946,0
20,0.0,-2.3953,0,1,0.1667,6,1920,80,120,2.861,122.861,1,2.2222,0.1667,1,0,1,0.1667,0,0.1667,0,0.6667,0.3333,1,4,6,6,1.4305,1.4305,9.1553,0.3333,0,0,1.0,0.0,0.0,0.0,0,0,0,1,0,0.295,0.1,0.1667,0.1667,0,0.1667,0,0,0,0,0,0,1.0114,0,avoidance,obstacle,0.9943,0
21,52.2698,55.4705,0,3,0.5,12,3840,80,120,6.078,126.078,1,3.3333,0.25,1,0,1,0.0833,0,0.0833,1,0.5833,0.4167,1,7,12,12,1.5195,1.5195,19.4495,0.3333,0,0,1.0,0.0,0.0,0.0,0,0,0.6667,3,2,0.43,0.1,0.25,0.3333,0.0833,0.25,0,0,0.6667,0,0,0,1.6762,0,traffic_light,obstacle,0.994,0
22,0.0,-3.9937,0,1,0.1667,5,1600,80,120,3.3793,123.3793,1,2.6667,0.2,1,0,1,0.2,0,0.2,0,0.4,0.6,0.8,2,4,5,1.6896,1.6896,10.8137,0.4,0,0,1.0,0.0,0.0,0.0,0,0,0,1,0,0.3198,0.1,0.2,0.2,0,0.2,0,0,0,0,0,0,0.9503,0,avoidance,obstacle,0.9936,0
23,61.6804,71.9406,0,3,0.5,17,5440,80,120,5.4498,125.4498,1,2.3529,0.1765,1,0,1,0.0588,0,0.0588,2,0.2353,0.7647,0.8235,4,14,17,1.3625,1.3625,17.4394,0.2353,0,0,1.0,0.0,0.0,0.0,0,0,0.4,5,2,0.4361,0.1,0.2941,0.2941,0.0588,0.2941,0,0,0.4,0,0,0,1.2997,0,traffic_light,obstacle,0.9933,0
24,0.0,-4.3792,0,1,0.1667,8,2560,80,120,3.1622,123.1622,1,1.6667,0.125,1,0,1,0.125,0,0.125,0,0.25,0.75,0.875,2,7,8,1.5811,1.5811,10.1192,0.25,0,0,1.0,0.0,0.0,0.0,0,0,0,1,0,0.2579,0.1,0.125,0.125,0,0.125,0,0,0,0,0,0,0.9743,0,avoidance,obstacle,0.9929,0
25,61.9079,72.3872,0,3,0.5,11,3520,80,120,6.0728,126.0728,1,3.6364,0.2727,1,0,1,0.0909,0,0.0909,1,0.3636,0.6364,0.9091,4,10,11,1.5182,1.5182,19.4328,0.3636,0,0,1.0,0.0,0.0,0.0,0,0,1,2,2,0.3811,0.1,0.1818,0.2727,0,0.1818,0,0,1,0,0,0,1.4681,0,traffic_light,obstacle,0.9926,0
26,0.0,-1.9316,0,1,0.1667,5,1600,80,120,2.7349,122.7349,1,2.6667,0.2,1,0,1,0.2,0,0.2,0,0.4,0.6,0.8,2,4,5,1.3674,1.3674,8.7516,0.4,0,0,1.0,0.0,0.0,0.0,0,0,0,2,0,0.4845,0.1,0.4,0.4,0,0.4,0,0,0,0,0,0,0.9503,0,avoidance,obstacle,0.9923,0
27,12.4497,9.9717,0,2,0.3333,7,2240,80,120,4.4463,124.4463,1,3.8095,0.2857,1,0,1,0.1429,0,0.1429,0,0.5714,0.4286,1,4,7,7,1.4821,1.4821,14.2283,0.4286,0,0,1.0,0.0,0.0,0.0,0,0,0.6667,3,2,0.5354,0.1,0.4286,0.4286,0,0.4286,0,0,0.6667,0,0,0,1.0042,0,balloons,obstacle,0.9919,0
28,0.0,-2.5132,0,1,0.1667,6,1920,80,120,2.8291,122.8291,1,2.2222,0.1667,1,0,1,0.1667,0,0.1667,0,0.5,0.5,0.8333,3,5,6,1.4146,1.4146,9.0532,0.3333,0,0,1.0,0.0,0.0,0.0,0,0,0,3,0,0.5682,0.1,0.5,0.5,0,0.5,0,0,0,0,0,0,0.6365,0,avoidance,obstacle,0.9916,0
29,0.0,-3.6477,0,1,0.1667,7,2240,80,120,3.0899,123.0899,1,1.9048,0.1429,1,0,1,0.1429,0,0.1429,0,0.2857,0.7143,1,2,7,7,1.5449,1.5449,9.8877,0.2857,0,0,1.0,0.0,0.0,0.0,0,0,0,3,0,0.5112,0.1,0.4286,0.4286,0,0.4286,0,0,0,0,0,0,1.0042,0,avoidance,obstacle,0.9913,0
30,62.61,73.7825,0,3,0.5,12,3840,80,120,5.5492,125.5492,1,3.3333,0.25,1,0,1,0.0833,0,0.0833,2,0.4167,0.5833,0.9167,5,11,12,1.3873,1.3873,17.7575,0.3333,0,0,1.0,0.0,0.0,0.0,0,0,0.5,4,2,0.4647,0.1,0.25,0.3333,0,0.3333,0,0,0.5,0,0,0,1.5171,0,traffic_light,obstacle,0.9909,0
31,0.0,-4.3446,0,1,0.1667,7,2240,80,120,3.3077,123.3077,1,1.9048,0.1429,1,0,1,0.1429,0,0.1429,0,0.2857,0.7143,1,2,7,7,1.6539,1.6539,10.5846,0.2857,0,0,1.0,0.0,0.0,0.0,0,0,0,3,0,0.5078,0.1,0.4286,0.4286,0,0.4286,0,0,0,0,0,0,1.0042,0,avoidance,obstacle,0.9906,0
32,0.0,-2.4779,0,1,0.1667,6,1920,80,120,2.8618,122.8618,1,2.2222,0.1667,1,0,1,0.1667,0,0.1667,0,0.5,0.5,1,3,6,6,1.4309,1.4309,9.1579,0.3333,0,0,1.0,0.0,0.0,0.0,0,0,0,2,0,0.4286,0.1,0.3333,0.3333,0,0.3333,0,0,0,0,0,0,1.0986,0,avoidance,obstacle,0.9903,0
33,0.0,-3.6854,0,1,0.1667,8,2560,80,120,3.0392,123.0392,1,1.6667,0.125,1,0,1,0.125,0,0.125,0,0.5,0.5,1,4,8,8,1.5196,1.5196,9.7254,0.25,0,0,1.0,0.0,0.0,0.0,0,0,0,1,0,0.2611,0.1,0.125,0.125,0,0.125,0,0,0,0,0,0,0.9743,0,avoidance,obstacle,0.9899,0
34,10.654,8.449,0,2,0.3333,9,2880,80,120,4.6284,124.6284,1,2.963,0.2222,1,0,1,0.1111,0,0.1111,0,0.3333,0.6667,0.8889,3,8,9,1.5428,1.5428,14.811,0.3333,0,0,1.0,0.0,0.0,0.0,0,0,1,2,2,0.3713,0.1,0.2222,0.2222,0,0.2222,0,0,1,0,0,0,1.3108,0,balloons,obstacle,0.9896,0
