metric,value
method,SayCan
scenario,UGV Complex Road Passage
episodes,4000
summary_window,4000
avg_score_all,34.1001
avg_reward_all,47.2345
avg_success_all,0.2645
avg_stage_ratio_all,0.4582
avg_steps_all,9.129
avg_equivalent_env_steps_all,2921.28
avg_completion_time_steps_all,62.7197
avg_nominal_completion_time_seconds_all,113.5199
avg_latency_time_seconds_all,5.2249
avg_completion_time_seconds_all,118.7448
avg_normalized_completion_time_all,0.784
avg_route_efficiency_all,3.4866
avg_progress_per_step_all,0.2615
avg_collisions_all,0.7057
avg_violations_all,0.0297
avg_unsafe_rate_all,0.7355
avg_collision_rate_all,0.1416
avg_violation_rate_all,0.0025
avg_unsafe_event_rate_all,0.1442
avg_planner_accuracy_all,0.6561
avg_planner_miss_ratio_all,0.3439
avg_planner_legal_ratio_all,0.9364
avg_target_hits_all,0.9603
avg_wait_time_all,1.4976
avg_stage_latency_seconds_all,1.4976
avg_latency_penalty_all,16.7196
avg_idle_ratio_all,0.4057
avg_wait_ratio_all,1.0
avg_follow_ratio_all,0.0
avg_select_ratio_all,0.0
avg_compensation_utilization_all,0.0
avg_safety_saved_all,0.0
avg_safety_interventions_all,0.0
avg_safety_success_rate_all,0.3974
avg_critical_events_all,2.9625
avg_critical_safe_all,1.4655
avg_risk_exposure_all,0.4308
avg_observed_risk_all,0.1
avg_high_risk_step_ratio_all,0.2659
avg_hazard_step_ratio_all,0.3536
avg_red_light_exposure_ratio_all,0.034
avg_critical_event_rate_all,0.2941
avg_intervention_rate_all,0.0
avg_safety_precision_all,0.0
avg_safety_recall_all,0.3974
avg_stop_ratio_all,0.0
avg_steer_left_ratio_all,0.0
avg_steer_right_ratio_all,0.0
avg_behavior_entropy_all,1.1824
avg_safety_entropy_all,0.0
total_equivalent_env_steps,11685120
