episode,score,reward,success,stages_completed,stage_completion_ratio,steps,equivalent_env_steps,completion_time_steps,nominal_completion_time_seconds,latency_time_seconds,completion_time_seconds,normalized_completion_time,route_efficiency,progress_per_step,collisions,violations,unsafe_episode,collision_rate,violation_rate,unsafe_event_rate,target_hits,planner_accuracy,planner_miss_ratio,planner_legal_ratio,planner_exact_hits,planner_legal_hits,planner_total,avg_stage_wait_time,avg_stage_latency_seconds,latency_penalty,idle_window_ratio,comp_decision_ratio,idle_comp_ratio,wait_ratio,follow_ratio,select_ratio,compensation_utilization,safety_saved,safety_interventions,safety_success_rate,critical_events,critical_safe_count,risk_exposure,observed_risk_mean,high_risk_step_ratio,hazard_step_ratio,red_light_exposure_ratio,critical_event_rate,intervention_rate,safety_precision,safety_recall,stop_ratio,steer_left_ratio,steer_right_ratio,behavior_entropy,safety_entropy,active_stage_key,last_failure_mode,epsilon,episode_loss
3,0.0,-2.1279,0,1,0.1667,4,1280,80,120,2.9087,122.9087,1,3.3333,0.25,1,0,1,0.25,0,0.25,0,0.5,0.5,0.75,2,3,4,1.4544,1.4544,9.3079,0.5,0,0,1.0,0.0,0.0,0.0,0,0,0,1,0,0.3633,0.1,0.25,0.25,0,0.25,0,0,0,0,0,0,0.5623,0,avoidance,obstacle,1,0
4,13.0283,10.469,0,2,0.3333,9,2880,80,120,4.0159,124.0159,1,2.963,0.2222,1,0,1,0.1111,0,0.1111,0,0.2222,0.7778,0.7778,2,7,9,1.3386,1.3386,12.851,0.3333,0,0,1.0,0.0,0.0,0.0,0,0,1,2,2,0.3712,0.1,0.2222,0.2222,0,0.2222,0,0,1,0,0,0,1.1491,0,balloons,obstacle,0.9999,0
5,27.9118,24.546,0,2,0.3333,14,4480,80,120,4.5419,124.5419,1,1.9048,0.1429,1,0,1,0.0714,0,0.0714,1,0.2857,0.7143,0.8571,4,12,14,1.514,1.514,14.534,0.2143,0,0,1.0,0.0,0.0,0.0,0,0,0.5,4,2,0.4338,0.1,0.2857,0.2857,0,0.2857,0,0,0.5,0,0,0,1.1033,0,balloons,obstacle,0.9997,0
6,0.0,-3.1185,0,1,0.1667,8,2560,80,120,2.8933,122.8933,1,1.6667,0.125,1,0,1,0.125,0,0.125,0,0.25,0.75,0.875,2,7,8,1.4466,1.4466,9.2585,0.25,0,0,1.0,0.0,0.0,0.0,0,0,0.5,2,1,0.3609,0.1,0.25,0.25,0,0.25,0,0,0.5,0,0,0,1.0822,0,avoidance,obstacle,0.9996,0
7,0.0,-15.578,0,0,0,3,960,80,120,1.6806,121.6806,1,0,0,1,0,1,0.3333,0,0.3333,0,0.3333,0.6667,1,1,3,3,1.6806,1.6806,5.378,0.3333,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0.153,0.1,0,0,0,0,0,0,0,0,0,0,1.0986,0,main_road,road_edge,0.9995,0
8,0.0,-3.1245,0,1,0.1667,7,2240,80,120,2.9264,122.9264,1,1.9048,0.1429,1,0,1,0.1429,0,0.1429,0,0.2857,0.7143,1,2,7,7,1.4632,1.4632,9.3645,0.2857,0,0,1.0,0.0,0.0,0.0,0,0,0,2,0,0.3927,0.1,0.2857,0.2857,0,0.2857,0,0,0,0,0,0,1.0042,0,avoidance,obstacle,0.9993,0
9,0.0,-5.6132,0,1,0.1667,12,3840,80,120,3.2916,123.2916,1,1.1111,0.0833,1,0,1,0.0833,0,0.0833,0,0.25,0.75,1,3,12,12,1.6458,1.6458,10.5332,0.1667,0,0,1.0,0.0,0.0,0.0,0,0,0.25,4,1,0.4307,0.1,0.3333,0.3333,0,0.3333,0,0,0.25,0,0,0,0.8877,0,avoidance,obstacle,0.9992,0
10,42.9989,42.1574,0,2,0.3333,12,3840,80,120,4.5633,124.5633,1,2.2222,0.1667,1,0,1,0.0833,0,0.0833,0,0.1667,0.8333,0.8333,2,10,12,1.5211,1.5211,14.6026,0.25,0,0,1.0,0.0,0.0,0.0,0,0,0.5,4,2,0.5099,0.1,0.3333,0.3333,0,0.3333,0,0,0.5,0,0,0,1.0986,0,balloons,obstacle,0.999,0
11,10.6096,8.4118,0,2,0.3333,7,2240,80,120,4.9526,124.9526,1,3.8095,0.2857,1,0,1,0.1429,0,0.1429,0,0.4286,0.5714,0.8571,3,6,7,1.6509,1.6509,15.8482,0.4286,0,0,1.0,0.0,0.0,0.0,0,0,1,2,2,0.4359,0.1,0.2857,0.2857,0,0.2857,0,0,1,0,0,0,0.4101,0,balloons,obstacle,0.9988,0
12,0.0,-3.7605,0,1,0.1667,5,1600,80,120,3.2814,123.2814,1,2.6667,0.2,1,0,1,0.2,0,0.2,0,0.2,0.8,0.8,1,4,5,1.6407,1.6407,10.5005,0.4,0,0,1.0,0.0,0.0,0.0,0,0,0,1,0,0.3222,0.1,0.2,0.2,0,0.2,0,0,0,0,0,0,1.0549,0,avoidance,obstacle,0.9987,0
