episode,score,reward,success,stages_completed,stage_completion_ratio,steps,equivalent_env_steps,completion_time_steps,nominal_completion_time_seconds,latency_time_seconds,completion_time_seconds,normalized_completion_time,route_efficiency,progress_per_step,collisions,violations,unsafe_episode,collision_rate,violation_rate,unsafe_event_rate,target_hits,planner_accuracy,planner_miss_ratio,planner_legal_ratio,planner_exact_hits,planner_legal_hits,planner_total,avg_stage_wait_time,avg_stage_latency_seconds,latency_penalty,idle_window_ratio,wait_ratio,follow_ratio,select_ratio,compensation_utilization,safety_saved,safety_interventions,safety_success_rate,critical_events,critical_safe_count,risk_exposure,observed_risk_mean,high_risk_step_ratio,hazard_step_ratio,red_light_exposure_ratio,critical_event_rate,intervention_rate,safety_precision,safety_recall,stop_ratio,steer_left_ratio,steer_right_ratio,behavior_entropy,safety_entropy,active_stage_key,last_failure_mode,epsilon,episode_loss,risk_loss
1,34.9541,17.0508,0,3.49,0.5818,37,17760,70,150.0,6.2452,156.2452,1.0,1.5766,0.1351,0,0,0,0.0,0.0,0.0,0,0.7297,0.2703,0.8108,27,30,37,0.4,1.249,4.0542,0.1622,0.0541,0.6757,0.2703,0.9459,1,8,0.125,12,1,0.5576,0.1,0.027,0.7838,0.027,0.3243,0.2162,0.125,0.0833,0.2727,0.0462,0.0397,0.7762,0.3516,final_park,wall,1.0,0.0,0.0
2,11.4461,5.5835,0,2.11,0.3522,27,12960,70,150.0,4.7475,154.7475,1.0,1.2963,0.1111,1,0,1,0.037,0.0,0.037,0,0.6296,0.3704,0.7778,17,21,27,1.0,1.5825,3.214,0.2222,0.1852,0.4815,0.3333,0.8148,0,9,0.0,9,0,0.6125,0.1,0.2222,0.8148,0.1481,0.2222,0.3333,0.0,0.0,0.2176,0.0199,0.0245,1.0304,0.3911,return_outer,obstacle,0.9994,0.0,0.0
3,21.8827,10.6745,0,2.5,0.4169,5,2400,70,150.0,0.0,150.0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.8,0.2,1.0,4,5,5,0.0,0.0,0.0,0.0,0.0,0.6,0.4,1.0,0,4,0.0,6,0,0.5055,0.1,0.0,0.8,0.0,0.6,0.8,0.0,0.0,0.2221,0.0202,0.0232,0.673,0.4193,outer_patrol_a,road_edge,0.9988,0.0,0.0
4,21.1127,10.2989,1,5.93,0.9885,15,7200,70,150.0,2.4253,152.4253,1.0,1.5556,0.1333,1,0,1,0.0667,0.0,0.0667,0,0.4,0.6,0.8667,6,13,15,0.5,1.2126,1.5399,0.1333,0.0667,0.3333,0.6,0.9333,3,9,0.3333,11,3,0.512,0.1,0.0667,0.7333,0.0,0.2,0.6,0.3333,0.2727,0.2558,0.023,0.0296,0.8532,0.3499,inner_patrol,obstacle,0.9982,0.0,0.0
5,2.4626,1.2013,1,5.52,0.9193,20,9600,70,150.0,2.3663,152.3663,1.0,1.1667,0.1,1,0,1,0.05,0.0,0.05,0,0.55,0.45,0.85,11,17,20,0.5,1.1831,1.4326,0.1,0.05,0.55,0.4,0.95,1,2,0.5,2,1,0.5457,0.1,0.1,0.8,0.0,0.3,0.1,0.5,0.5,0.3009,0.0341,0.0254,0.8451,0.3439,inner_patrol,obstacle,0.9977,0.0,0.0
6,37.8719,18.4741,0,2.41,0.4009,15,7200,70,150.0,2.3407,152.3407,1.0,1.5556,0.1333,0,0,0,0.0,0.0,0.0,0,0.6667,0.3333,0.9333,10,14,15,0.0,1.1704,1.4811,0.1333,0.0,0.6667,0.3333,1.0,1,5,0.2,7,1,0.5139,0.1,0.0667,0.8,0.0,0.2667,0.3333,0.2,0.1429,0.2811,0.0138,0.0175,0.6365,0.3616,inner_patrol,obstacle,0.9971,0.0,0.0
7,26.9957,13.1686,1,5.94,0.9899,24,11520,70,150.0,4.7064,154.7064,1.0,1.4583,0.125,0,1,1,0.0,0.0417,0.0417,0,0.7917,0.2083,0.8333,19,20,24,1.0,1.5688,3.3536,0.2083,0.125,0.625,0.25,0.875,0,4,0.0,4,0,0.5743,0.1,0.125,0.75,0.0833,0.2083,0.1667,0.0,0.0,0.2332,0.0216,0.0283,0.9003,0.408,return_outer,obstacle,0.9965,0.0,0.0
8,24.1078,11.7599,0,3.12,0.52,1,480,70,150.0,0.0,150.0,1.0,0.0,0.0,1,0,1,1.0,0.0,1.0,0,1.0,0.0,1.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,8,0.0,10,0,0.5142,0.1,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.2324,0.0173,0.0141,-0.0,0.3102,outer_patrol_a,road_edge,0.9959,0.0,0.0
9,49.9699,24.3756,1,5.56,0.9259,38,18240,38,136.2857,7.1856,143.4713,0.5429,1.8421,0.1579,0,0,0,0.0,0.0,0.0,0,0.6053,0.3947,0.8158,23,31,38,0.2,1.4371,4.7052,0.1579,0.0263,0.6053,0.3684,0.9737,1,13,0.0769,13,1,0.556,0.1,0.0789,0.7895,0.0263,0.3684,0.3421,0.0769,0.0769,0.2251,0.0485,0.0428,0.7675,0.3652,completed,,0.9953,0.0,0.0
10,24.6472,12.023,0,3.08,0.5127,33,15840,70,150.0,5.6879,155.6879,1.0,1.4141,0.1212,0,0,0,0.0,0.0,0.0,0,0.6667,0.3333,0.7879,22,26,33,0.25,1.422,3.6517,0.1515,0.0303,0.5152,0.4545,0.9697,0,7,0.0,9,0,0.5531,0.1,0.0303,0.7879,0.0303,0.2121,0.2121,0.0,0.0,0.2397,0.0147,0.0129,0.806,0.3545,outer_patrol_b,road_edge,0.9947,0.0,0.0
11,33.8095,16.4924,1,6.0,1.0,24,11520,70,150.0,4.2845,154.2845,1.0,1.4583,0.125,1,0,1,0.0417,0.0,0.0417,0,0.625,0.375,0.7917,15,19,24,1.0,1.4282,2.8337,0.1667,0.125,0.5417,0.3333,0.875,1,7,0.1429,11,1,0.5872,0.1,0.125,0.9167,0.0833,0.4583,0.2917,0.1429,0.0909,0.2308,0.0319,0.0397,0.9582,0.4138,return_outer,obstacle,0.9941,0.0,0.0
12,24.8,12.0976,0,3.26,0.5427,3,1440,70,150.0,0.0,150.0,1.0,0.0,0.0,1,0,1,0.3333,0.0,0.3333,0,1.0,0.0,1.0,3,3,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3,6,0.5,9,3,0.535,0.1,0.0,0.6667,0.0,0.3333,2.0,0.5,0.3333,0.2464,0.02,0.0258,-0.0,0.4304,outer_patrol_a,road_edge,0.9935,0.0,0.0
