episode,score,reward,success,stages_completed,stage_completion_ratio,steps,equivalent_env_steps,completion_time_steps,nominal_completion_time_seconds,latency_time_seconds,completion_time_seconds,normalized_completion_time,route_efficiency,progress_per_step,collisions,violations,unsafe_episode,collision_rate,violation_rate,unsafe_event_rate,target_hits,planner_accuracy,planner_miss_ratio,planner_legal_ratio,planner_exact_hits,planner_legal_hits,planner_total,avg_stage_wait_time,avg_stage_latency_seconds,latency_penalty,idle_window_ratio,wait_ratio,follow_ratio,select_ratio,compensation_utilization,safety_saved,safety_interventions,safety_success_rate,critical_events,critical_safe_count,risk_exposure,observed_risk_mean,high_risk_step_ratio,hazard_step_ratio,red_light_exposure_ratio,critical_event_rate,intervention_rate,safety_precision,safety_recall,stop_ratio,steer_left_ratio,steer_right_ratio,behavior_entropy,safety_entropy,active_stage_key,last_failure_mode,epsilon,episode_loss,risk_loss
1,31.9054,15.5636,0,2.63,0.4377,37,17760,70,150.0,6.2452,156.2452,1.0,1.5766,0.1351,0,0,0,0.0,0.0,0.0,0,0.7297,0.2703,0.8108,27,30,37,0.4,1.249,4.0542,0.1622,0.0541,0.6757,0.2703,0.9459,2,8,0.25,10,2,0.5576,0.1,0.027,0.7838,0.027,0.3243,0.2162,0.25,0.2,0.2568,0.0307,0.0281,0.7762,0.3402,final_park,wall,1.0,0.0,0.0
2,42.7791,20.8678,1,6.0,1.0,31,14880,70,150.0,6.1261,156.1261,1.0,1.5054,0.129,0,0,0,0.0,0.0,0.0,0,0.5806,0.4194,0.7419,18,23,31,0.75,1.5315,3.9062,0.2258,0.1613,0.3871,0.4516,0.8387,0,4,0.0,6,0,0.6045,0.1,0.1935,0.8387,0.129,0.2581,0.129,0.0,0.0,0.2055,0.0058,0.0049,1.0207,0.3069,outer_patrol_b,road_edge,0.9994,0.0,0.0
3,17.0388,8.3116,1,5.84,0.9739,13,6240,70,150.0,1.7133,151.7133,1.0,0.8974,0.0769,1,0,1,0.0769,0.0,0.0769,0,0.8462,0.1538,0.9231,11,12,13,0.0,1.7133,1.3768,0.0769,0.0,0.7692,0.2308,1.0,1,6,0.1667,8,1,0.5136,0.1,0.0,0.4615,0.0,0.0769,0.4615,0.1667,0.125,0.2728,0.0357,0.0426,0.5402,0.3361,enter_inner,obstacle,0.9988,0.0,0.0
4,24.2748,11.8414,0,2.45,0.4082,16,7680,70,150.0,1.0486,151.0486,1.0,0.7292,0.0625,0,0,0,0.0,0.0,0.0,0,0.5625,0.4375,0.875,9,14,16,1.0,1.0486,0.8426,0.125,0.0625,0.4375,0.5,0.9375,1,9,0.1111,11,1,0.5416,0.1,0.125,0.8125,0.0625,0.1875,0.5625,0.1111,0.0909,0.2273,0.0268,0.0298,0.8815,0.2941,enter_inner,obstacle,0.9982,0.0,0.0
5,18.0457,8.8028,0,2.74,0.456,3,1440,70,150.0,0.0,150.0,1.0,0.0,0.0,1,0,1,0.3333,0.0,0.3333,0,1.0,0.0,1.0,3,3,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,3,0.3333,4,1,0.473,0.1,0.0,0.6667,0.0,0.0,1.0,0.3333,0.25,0.2259,0.0308,0.0288,-0.0,0.355,outer_patrol_a,road_edge,0.9977,0.0,0.0
6,41.2518,20.1228,0,1.53,0.2552,25,12000,70,150.0,4.4627,154.4627,1.0,1.4,0.12,0,0,0,0.0,0.0,0.0,0,0.6,0.4,0.72,15,18,25,1.0,1.4876,3.0171,0.2,0.12,0.52,0.36,0.88,0,7,0.0,9,0,0.6052,0.1,0.24,0.8,0.12,0.32,0.28,0.0,0.0,0.2371,0.0291,0.0341,0.9623,0.4164,return_outer,obstacle,0.9971,0.0,0.0
7,23.4801,11.4537,0,2.94,0.4903,3,1440,70,150.0,0.0,150.0,1.0,0.0,0.0,1,0,1,0.3333,0.0,0.3333,0,0.3333,0.6667,1.0,1,3,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.6667,1.0,1,5,0.2,6,1,0.5061,0.1,0.0,0.6667,0.0,0.3333,1.6667,0.2,0.1667,0.2117,0.0457,0.0334,0.6365,0.3622,outer_patrol_a,road_edge,0.9965,0.0,0.0
8,28.6886,13.9945,0,2.68,0.4458,27,12960,70,150.0,4.4623,154.4623,1.0,1.2963,0.1111,0,0,0,0.0,0.0,0.0,0,0.6667,0.3333,0.8519,18,23,27,1.3333,1.4874,3.2084,0.2222,0.1481,0.5926,0.2593,0.8519,1,4,0.25,8,1,0.6186,0.1,0.2593,0.8148,0.1481,0.5185,0.1481,0.25,0.125,0.2688,0.0219,0.0271,0.9429,0.3357,return_outer,obstacle,0.9959,0.0,0.0
9,14.3672,7.0084,0,3.01,0.5009,21,10080,70,150.0,3.8013,153.8013,1.0,1.1111,0.0952,1,0,1,0.0476,0.0,0.0476,0,0.6667,0.3333,0.8571,14,18,21,1.0,1.9006,2.4218,0.1429,0.0952,0.5238,0.381,0.9048,0,3,0.0,3,0,0.5723,0.1,0.0952,0.8571,0.0476,0.3333,0.1429,0.0,0.0,0.2149,0.0162,0.0205,0.9303,0.3711,inner_patrol,obstacle,0.9953,0.0,0.0
10,-0.9377,-0.4574,0,2.74,0.4572,23,11040,70,150.0,6.2992,156.2992,1.0,2.029,0.1739,1,0,1,0.0435,0.0,0.0435,0,0.6087,0.3913,0.7826,14,18,23,0.0,1.5748,3.9976,0.1739,0.0,0.3913,0.6087,1.0,0,7,0.0,7,0,0.5544,0.1,0.0,0.6957,0.0,0.3043,0.3043,0.0,0.0,0.2447,0.0299,0.0252,0.6693,0.4092,outer_patrol_b,road_edge,0.9947,0.0,0.0
