metric,value
method,EFSR w/o RV
scenario,UGV Street Patrol Parking
episodes,5000
summary_window,5000
avg_score_all,42.1811
avg_reward_all,20.5761
avg_success_all,0.4238
avg_stage_ratio_all,0.7225
avg_steps_all,21.246
avg_equivalent_env_steps_all,10198.08
avg_completion_time_steps_all,62.1948
avg_normalized_completion_time_all,0.8885
avg_route_efficiency_all,1.0154
avg_progress_per_step_all,0.087
avg_collisions_all,0.521
avg_violations_all,0.0436
avg_unsafe_rate_all,0.5646
avg_collision_rate_all,0.0616
avg_violation_rate_all,0.0045
avg_unsafe_event_rate_all,0.0661
avg_planner_accuracy_all,0.7315
avg_planner_miss_ratio_all,0.2685
avg_planner_legal_ratio_all,0.8805
avg_target_hits_all,0.0
avg_wait_time_all,0.2102
avg_stage_latency_seconds_all,0.9979
avg_latency_penalty_all,2.3321
avg_idle_ratio_all,0.1069
avg_wait_ratio_all,0.0292
avg_follow_ratio_all,0.7267
avg_select_ratio_all,0.2441
avg_compensation_utilization_all,0.9708
avg_safety_saved_all,2.2718
avg_safety_interventions_all,7.5236
avg_safety_success_rate_all,0.2869
avg_critical_events_all,8.9438
avg_critical_safe_all,2.5228
avg_risk_exposure_all,0.5386
avg_observed_risk_all,0.1
avg_high_risk_step_ratio_all,0.0749
avg_hazard_step_ratio_all,0.7364
avg_red_light_exposure_ratio_all,0.0301
avg_critical_event_rate_all,0.2627
avg_intervention_rate_all,0.834
avg_safety_precision_all,0.2869
avg_safety_recall_all,0.2734
avg_stop_ratio_all,0.3202
avg_steer_left_ratio_all,0.0526
avg_steer_right_ratio_all,0.0527
avg_behavior_entropy_all,0.5736
avg_safety_entropy_all,0.5456
total_equivalent_env_steps,50990400
