metric,value
method,EFSR
scenario,UGV Complex Road Passage
episodes,4000
summary_window,4000
avg_score_all,70.6456
avg_reward_all,123.0315
avg_success_all,0.6552
avg_stage_ratio_all,0.7715
avg_steps_all,12.017
avg_equivalent_env_steps_all,3845.44
avg_completion_time_steps_all,37.0165
avg_normalized_completion_time_all,0.4627
avg_route_efficiency_all,4.7885
avg_progress_per_step_all,0.3591
avg_collisions_all,0.3448
avg_violations_all,0.0
avg_unsafe_rate_all,0.3448
avg_collision_rate_all,0.0744
avg_violation_rate_all,0.0
avg_unsafe_event_rate_all,0.0744
avg_planner_accuracy_all,0.5193
avg_planner_miss_ratio_all,0.4807
avg_planner_legal_ratio_all,0.5466
avg_target_hits_all,2.257
avg_wait_time_all,0.2495
avg_stage_latency_seconds_all,1.4293
avg_latency_penalty_all,3.8462
avg_idle_ratio_all,0.4576
avg_wait_ratio_all,0.0936
avg_follow_ratio_all,0.3674
avg_select_ratio_all,0.539
avg_compensation_utilization_all,0.9064
avg_safety_saved_all,2.365
avg_safety_interventions_all,5.0358
avg_safety_success_rate_all,0.5149
avg_critical_events_all,4.3018
avg_critical_safe_all,2.1905
avg_risk_exposure_all,0.4816
avg_observed_risk_all,0.1
avg_high_risk_step_ratio_all,0.2753
avg_hazard_step_ratio_all,0.4545
avg_red_light_exposure_ratio_all,0.0572
avg_critical_event_rate_all,0.3303
avg_intervention_rate_all,0.3747
avg_safety_precision_all,0.4069
avg_safety_recall_all,0.5149
avg_stop_ratio_all,0.1767
avg_steer_left_ratio_all,0.0997
avg_steer_right_ratio_all,0.0983
avg_behavior_entropy_all,0.774
avg_safety_entropy_all,0.8657
total_equivalent_env_steps,15381760
