episode,score,reward,success,stages_completed,stage_completion_ratio,steps,equivalent_env_steps,completion_time_steps,nominal_completion_time_seconds,latency_time_seconds,completion_time_seconds,normalized_completion_time,route_efficiency,progress_per_step,collisions,violations,unsafe_episode,collision_rate,violation_rate,unsafe_event_rate,target_hits,planner_accuracy,planner_miss_ratio,planner_legal_ratio,planner_exact_hits,planner_legal_hits,planner_total,avg_stage_wait_time,avg_stage_latency_seconds,latency_penalty,idle_window_ratio,comp_decision_ratio,idle_comp_ratio,wait_ratio,follow_ratio,select_ratio,compensation_utilization,safety_saved,safety_interventions,safety_success_rate,critical_events,critical_safe_count,risk_exposure,observed_risk_mean,high_risk_step_ratio,hazard_step_ratio,red_light_exposure_ratio,critical_event_rate,intervention_rate,safety_precision,safety_recall,stop_ratio,steer_left_ratio,steer_right_ratio,behavior_entropy,safety_entropy,active_stage_key,last_failure_mode,epsilon,episode_loss,risk_loss,efsr_high_record_count,efsr_high_record_maturity,efsr_high_record_unsafe_rate,efsr_low_replay_size,efsr_low_risk_loss
1,40.2771,38.6591,0,2.0,0.3333,8,2560,80,120.0,3.364,123.364,1.0,3.3333,0.25,1,0,1,0.125,0.0,0.125,1,0.5,0.5,0.5,4,4,8,0.5,1.682,1.8474,0.5,0.0,0.0,0.125,0.5,0.375,0.875,0,2,0.0,3,0,0.5002,0.1,0.375,0.375,0.0,0.375,0.25,0.0,0.0,0.125,0.0,0.125,0.9743,0.7356,balloons,obstacle,0.64,0.0,0.0,8.0,0.0207,0.125,8,0.0
2,7.3638,5.7368,0,1.0,0.1667,5,1600,80,120.0,1.4558,121.4558,1.0,2.6667,0.2,1,0,1,0.2,0.0,0.2,0,0.6,0.4,0.6,3,3,5,0.0,1.4558,1.0982,0.4,0.0,0.0,0.0,0.6,0.4,1.0,0,0,0.0,2,0,0.4868,0.1,0.4,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.673,-0.0,avoidance,obstacle,0.6396,0.0,0.0,13.0,0.0337,0.1538,13,0.0
3,88.8377,164.4471,1,6.0,1.0,17,5440,17,96.375,6.9138,103.2888,0.2125,4.7059,0.3529,0,0,0,0.0,0.0,0.0,3,0.4706,0.5294,0.5882,8,10,17,0.8,1.3828,4.5254,0.4706,0.0,0.0,0.2941,0.3529,0.3529,0.7059,1,4,0.1429,7,1,0.5635,0.1,0.3529,0.4706,0.0588,0.4118,0.2353,0.25,0.1429,0.1176,0.0,0.1176,1.0951,0.7087,completed,,0.6392,0.0,0.0,30.0,0.0781,0.0667,30,0.0
4,69.3025,88.5743,0,3.0,0.5,12,3840,80,120.0,4.0249,124.0249,1.0,3.3333,0.25,1,0,1,0.0833,0.0,0.0833,3,0.4167,0.5833,0.4167,5,5,12,0.6667,1.3416,2.2782,0.5,0.0,0.0,0.1667,0.4167,0.4167,0.8333,0,0,0.0,5,0,0.4693,0.1,0.25,0.4167,0.0,0.4167,0.0,0.0,0.0,0.0,0.0,0.0,1.0282,-0.0,traffic_light,obstacle,0.6389,0.0,0.0,42.0,0.1094,0.0714,42,0.0
5,25.4156,21.9929,0,2.0,0.3333,9,2880,80,120.0,3.1936,123.1936,1.0,2.963,0.2222,1,0,1,0.1111,0.0,0.1111,0,0.5556,0.4444,0.5556,5,5,9,1.0,1.5968,1.5772,0.3333,0.0,0.0,0.3333,0.5556,0.1111,0.6667,0,3,0.0,5,0,0.6214,0.1,0.5556,0.5556,0.0,0.5556,0.3333,0.0,0.0,0.0,0.0,0.3333,0.9369,0.6365,balloons,obstacle,0.6385,0.0,0.0,51.0,0.1323,0.0784,51,0.0
6,6.9871,5.4324,0,1.0,0.1667,5,1600,80,120.0,1.2708,121.2708,1.0,2.6667,0.2,1,0,1,0.2,0.0,0.2,0,0.2,0.8,0.6,1,3,5,0.0,1.2708,0.9587,0.4,0.0,0.0,0.0,0.2,0.8,1.0,0,1,0.0,2,0,0.4867,0.1,0.4,0.4,0.0,0.4,0.2,0.0,0.0,0.2,0.0,0.0,0.5004,0.5004,avoidance,obstacle,0.6381,0.0,0.0,56.0,0.1453,0.0893,56,0.0
7,88.8247,164.3595,1,6.0,1.0,18,5760,18,96.75,7.243,103.993,0.225,4.4444,0.3333,0,0,0,0.0,0.0,0.0,3,0.5,0.5,0.5,9,9,18,0.4,1.4486,4.5771,0.4444,0.0,0.0,0.2778,0.1667,0.5556,0.7222,0,6,0.0,10,0,0.589,0.1,0.5,0.6111,0.3333,0.5556,0.3333,0.0,0.0,0.3333,0.0,0.0,0.981,0.6365,completed,,0.6377,0.0,0.0,74.0,0.1908,0.0676,74,0.0
8,0.0,-10.1234,0,0.0,0.0,1,320,80,120.0,0.0,120.0,1.0,0.0,0.0,1,0,1,1.0,0.0,1.0,0,1.0,0.0,1.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0.0,0,0,0.1605,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,main_road,road_edge,0.6374,0.0,0.0,75.0,0.1927,0.08,75,0.0
9,75.0784,104.2076,0,4.0,0.6667,12,3840,80,120.0,6.1373,126.1373,1.0,4.4444,0.3333,1,0,1,0.0833,0.0,0.0833,2,0.4167,0.5833,0.5,5,6,12,0.25,1.5343,3.8458,0.5,0.0,0.0,0.0833,0.3333,0.5833,0.9167,0,3,0.0,4,0,0.4911,0.1,0.25,0.5,0.0833,0.3333,0.25,0.0,0.0,0.1667,0.0,0.0833,0.8877,0.7215,slot_search,grass,0.637,0.0,0.0,87.0,0.2234,0.0805,87,0.0
10,6.9136,5.3732,0,1.0,0.1667,5,1600,80,120.0,1.8412,121.8412,1.0,2.6667,0.2,1,0,1,0.2,0.0,0.2,0,0.6,0.4,0.6,3,3,5,1.0,1.8412,1.389,0.4,0.0,0.0,0.2,0.6,0.2,0.8,0,0,0.0,2,0,0.4825,0.1,0.4,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.9503,-0.0,avoidance,obstacle,0.6366,0.0,0.0,92.0,0.2363,0.087,92,0.0
