episode,score,reward,success,stages_completed,stage_completion_ratio,steps,equivalent_env_steps,completion_time_steps,nominal_completion_time_seconds,latency_time_seconds,completion_time_seconds,normalized_completion_time,route_efficiency,progress_per_step,collisions,violations,unsafe_episode,collision_rate,violation_rate,unsafe_event_rate,target_hits,planner_accuracy,planner_miss_ratio,planner_legal_ratio,planner_exact_hits,planner_legal_hits,planner_total,avg_stage_wait_time,avg_stage_latency_seconds,latency_penalty,idle_window_ratio,comp_decision_ratio,idle_comp_ratio,wait_ratio,follow_ratio,select_ratio,compensation_utilization,safety_saved,safety_interventions,safety_success_rate,critical_events,critical_safe_count,risk_exposure,observed_risk_mean,high_risk_step_ratio,hazard_step_ratio,red_light_exposure_ratio,critical_event_rate,intervention_rate,safety_precision,safety_recall,stop_ratio,steer_left_ratio,steer_right_ratio,behavior_entropy,safety_entropy,active_stage_key,last_failure_mode,epsilon,episode_loss,risk_loss,efsr_high_record_count,efsr_high_record_maturity,efsr_high_record_unsafe_rate,efsr_low_replay_size,efsr_low_risk_loss
1,88.8011,164.2014,1,6.0,1.0,16,5120,16,96.0,6.6517,102.6517,0.2,5.0,0.375,0,0,0,0.0,0.0,0.0,3,0.4375,0.5625,0.4375,7,7,16,0.6,1.3303,4.3974,0.5625,0.0,0.0,0.1875,0.125,0.6875,0.8125,0,3,0.0,6,0,0.5677,0.1,0.375,0.5625,0.1875,0.375,0.1875,0.0,0.0,0.1875,0.0,0.0,0.8314,0.4826,completed,,0.78,0.0,0.0,0.0,0.0,0.0,16,0.0
2,88.8271,164.3757,1,6.0,1.0,14,4480,14,95.25,6.6094,101.8594,0.175,5.7143,0.4286,0,0,0,0.0,0.0,0.0,3,0.5714,0.4286,0.5714,8,8,14,0.4,1.3219,4.3228,0.5,0.0,0.0,0.1429,0.2857,0.5714,0.8571,0,0,0.0,3,0,0.4593,0.1,0.1429,0.4286,0.0,0.2143,0.0,0.0,0.0,0.0,0.0,0.0,0.9557,-0.0,completed,,0.7795,0.0,0.0,0.0,0.0,0.0,30,0.0
3,7.3637,5.7367,0,1.0,0.1667,4,1280,80,120.0,1.4163,121.4163,1.0,3.3333,0.25,1,0,1,0.25,0.0,0.25,0,0.75,0.25,0.75,3,3,4,1.0,1.4163,1.0684,0.25,0.0,0.0,0.25,0.75,0.0,0.75,0,0,0.0,1,0,0.3688,0.1,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5623,-0.0,avoidance,obstacle,0.7791,0.0,0.0,0.0,0.0,0.0,34,0.0
4,75.1595,104.4521,0,4.0,0.6667,12,3840,80,120.0,5.7141,125.7141,1.0,4.4444,0.3333,1,0,1,0.0833,0.0,0.0833,3,0.5833,0.4167,0.5833,7,7,12,0.25,1.4285,3.8214,0.4167,0.0,0.0,0.0833,0.5,0.4167,0.9167,0,0,0.0,4,0,0.4728,0.1,0.1667,0.4167,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.9184,-0.0,slot_search,grass,0.7786,0.0,0.0,0.0,0.0,0.0,46,0.0
5,85.848,146.6488,1,6.0,1.0,15,4800,15,95.625,7.5132,103.1382,0.1875,5.3333,0.4,0,0,0,0.0,0.0,0.0,2,0.4667,0.5333,0.6,7,9,15,0.6,1.5026,4.7917,0.5333,0.0,0.0,0.2,0.2,0.6,0.8,0,1,0.0,5,0,0.5131,0.1,0.2667,0.4667,0.0667,0.3333,0.0667,0.0,0.0,0.0667,0.0,0.0,0.9503,0.2449,completed,,0.7782,0.0,0.0,0.0,0.0,0.0,61,0.0
6,0.0,-10.1113,0,0.0,0.0,1,320,80,120.0,0.0,120.0,1.0,0.0,0.0,1,0,1,1.0,0.0,1.0,0,0.0,1.0,1.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0.0,0,0,0.1625,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,main_road,road_edge,0.7777,0.0,0.0,0.0,0.0,0.0,62,0.0
7,79.738,119.7317,0,5.0,0.8333,15,4800,80,120.0,7.488,127.488,1.0,4.4444,0.3333,1,0,1,0.0667,0.0,0.0667,3,0.5333,0.4667,0.5333,8,8,15,0.2,1.4976,4.71,0.4667,0.0,0.0,0.1333,0.3333,0.5333,0.8667,0,0,0.0,6,0,0.5515,0.1,0.3333,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.9701,-0.0,precision_park,wall,0.7773,0.0,0.0,0.0,0.0,0.0,77,0.0
8,7.2861,5.6739,0,1.0,0.1667,5,1600,80,120.0,1.1368,121.1368,1.0,2.6667,0.2,1,0,1,0.2,0.0,0.2,0,0.6,0.4,0.6,3,3,5,2.0,1.1368,0.8576,0.4,0.0,0.0,0.4,0.4,0.2,0.6,0,0,0.0,2,0,0.4865,0.1,0.4,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0549,-0.0,avoidance,obstacle,0.7768,0.0,0.0,0.0,0.0,0.0,82,0.0
9,6.3695,4.936,0,1.0,0.1667,7,2240,80,120.0,1.1019,121.1019,1.0,1.9048,0.1429,1,0,1,0.1429,0.0,0.1429,0,0.7143,0.2857,1.0,5,7,7,2.0,1.1019,0.8313,0.2857,0.0,0.0,0.2857,0.1429,0.5714,0.7143,0,0,0.0,4,0,0.6259,0.1,0.5714,0.5714,0.0,0.5714,0.0,0.0,0.0,0.0,0.0,0.0,0.9557,-0.0,avoidance,obstacle,0.7763,0.0,0.0,0.0,0.0,0.0,89,0.0
10,7.3773,5.7477,0,1.0,0.1667,4,1280,80,120.0,1.6201,121.6201,1.0,3.3333,0.25,1,0,1,0.25,0.0,0.25,0,0.75,0.25,0.75,3,3,4,0.0,1.6201,1.2222,0.25,0.0,0.0,0.0,0.75,0.25,1.0,0,0,0.0,1,0,0.3606,0.1,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5623,-0.0,avoidance,obstacle,0.7759,0.0,0.0,0.0,0.0,0.0,93,0.0
