metric,value
method,EFSR w/o RV
scenario,UGV Complex Road Passage
episodes,4000
summary_window,4000
avg_score_all,48.7795
avg_reward_all,75.353
avg_success_all,0.3015
avg_stage_ratio_all,0.5271
avg_steps_all,9.1657
avg_equivalent_env_steps_all,2933.04
avg_completion_time_steps_all,60.1962
avg_normalized_completion_time_all,0.7525
avg_route_efficiency_all,4.0097
avg_progress_per_step_all,0.3007
avg_collisions_all,0.666
avg_violations_all,0.0
avg_unsafe_rate_all,0.666
avg_collision_rate_all,0.147
avg_violation_rate_all,0.0
avg_unsafe_event_rate_all,0.147
avg_planner_accuracy_all,0.5787
avg_planner_miss_ratio_all,0.4213
avg_planner_legal_ratio_all,0.613
avg_target_hits_all,1.539
avg_wait_time_all,0.2299
avg_stage_latency_seconds_all,1.3939
avg_latency_penalty_all,2.7838
avg_idle_ratio_all,0.3948
avg_wait_ratio_all,0.0695
avg_follow_ratio_all,0.5406
avg_select_ratio_all,0.3899
avg_compensation_utilization_all,0.9305
avg_safety_saved_all,0.0803
avg_safety_interventions_all,0.6713
avg_safety_success_rate_all,0.0255
avg_critical_events_all,3.2525
avg_critical_safe_all,0.0803
avg_risk_exposure_all,0.4509
avg_observed_risk_all,0.1
avg_high_risk_step_ratio_all,0.2838
avg_hazard_step_ratio_all,0.3882
avg_red_light_exposure_ratio_all,0.0372
avg_critical_event_rate_all,0.3184
avg_intervention_rate_all,0.0607
avg_safety_precision_all,0.0592
avg_safety_recall_all,0.0255
avg_stop_ratio_all,0.0403
avg_steer_left_ratio_all,0.0138
avg_steer_right_ratio_all,0.0067
avg_behavior_entropy_all,0.7291
avg_safety_entropy_all,0.1713
total_equivalent_env_steps,11732160
