metric,value
method,EFSR w/o EF
scenario,UGV Complex Road Passage
episodes,4000
summary_window,4000
avg_score_all,59.3536
avg_reward_all,97.7253
avg_success_all,0.4647
avg_stage_ratio_all,0.6507
avg_steps_all,10.644
avg_equivalent_env_steps_all,3406.08
avg_completion_time_steps_all,49.442
avg_normalized_completion_time_all,0.618
avg_route_efficiency_all,4.4404
avg_progress_per_step_all,0.333
avg_collisions_all,0.5353
avg_violations_all,0.0
avg_unsafe_rate_all,0.5353
avg_collision_rate_all,0.1009
avg_violation_rate_all,0.0
avg_unsafe_event_rate_all,0.1009
avg_planner_accuracy_all,0.54
avg_planner_miss_ratio_all,0.46
avg_planner_legal_ratio_all,0.5716
avg_target_hits_all,1.8237
avg_wait_time_all,0.2414
avg_stage_latency_seconds_all,1.4468
avg_latency_penalty_all,3.3467
avg_idle_ratio_all,0.4369
avg_wait_ratio_all,0.0771
avg_follow_ratio_all,0.5082
avg_select_ratio_all,0.4147
avg_compensation_utilization_all,0.9229
avg_safety_saved_all,1.6338
avg_safety_interventions_all,3.4937
avg_safety_success_rate_all,0.3819
avg_critical_events_all,3.7243
avg_critical_safe_all,1.5232
avg_risk_exposure_all,0.4725
avg_observed_risk_all,0.1
avg_high_risk_step_ratio_all,0.2846
avg_hazard_step_ratio_all,0.4261
avg_red_light_exposure_ratio_all,0.045
avg_critical_event_rate_all,0.3279
avg_intervention_rate_all,0.2886
avg_safety_precision_all,0.3471
avg_safety_recall_all,0.3819
avg_stop_ratio_all,0.1352
avg_steer_left_ratio_all,0.0774
avg_steer_right_ratio_all,0.076
avg_behavior_entropy_all,0.7871
avg_safety_entropy_all,0.6967
total_equivalent_env_steps,13624320
