episode,score,reward,success,stages_completed,stage_completion_ratio,steps,equivalent_env_steps,completion_time_steps,nominal_completion_time_seconds,latency_time_seconds,completion_time_seconds,normalized_completion_time,route_efficiency,progress_per_step,collisions,violations,unsafe_episode,collision_rate,violation_rate,unsafe_event_rate,target_hits,planner_accuracy,planner_miss_ratio,planner_legal_ratio,planner_exact_hits,planner_legal_hits,planner_total,avg_stage_wait_time,avg_stage_latency_seconds,latency_penalty,idle_window_ratio,wait_ratio,follow_ratio,select_ratio,compensation_utilization,safety_saved,safety_interventions,safety_success_rate,critical_events,critical_safe_count,risk_exposure,observed_risk_mean,high_risk_step_ratio,hazard_step_ratio,red_light_exposure_ratio,critical_event_rate,intervention_rate,safety_precision,safety_recall,stop_ratio,steer_left_ratio,steer_right_ratio,behavior_entropy,safety_entropy,active_stage_key,last_failure_mode,epsilon,episode_loss,risk_loss
1,25.6885,12.531,1,5.55,0.9243,37,17760,70,150.0,6.9718,156.9718,1.0,1.5766,0.1351,1,0,1,0.027,0.0,0.027,0,0.6486,0.3514,0.7838,24,29,37,0.4,1.3944,4.4719,0.1892,0.0541,0.6486,0.2973,0.9459,1,4,0.2500,6,1,0.5683,0.1,0.0811,0.7838,0.0541,0.3243,0.1081,0.2500,0.1667,0.2296,0.0169,0.0155,0.7991,0.3612,final_park,wall,1.0,0.0,0.0
2,25.9949,12.6804,0,2.23,0.3709,41,19680,41,137.5714,7.3875,144.9589,0.5857,1.7073,0.1463,1,0,1,0.0244,0.0,0.0244,0,0.561,0.439,0.8293,23,34,41,0.4,1.4775,4.6966,0.1707,0.0732,0.5122,0.4146,0.9268,0,9,0.0000,11,0,0.5739,0.1,0.1951,0.7561,0.0732,0.3171,0.2195,0.0000,0.0000,0.1577,0.0224,0.0273,0.899,0.398,completed,,0.9994,0.0,0.0
3,24.4876,11.9452,0,2.83,0.4714,3,1440,70,150.0,0.0,150.0,1.0,0.0,0.0,1,0,1,0.3333,0.0,0.3333,0,0.6667,0.3333,1.0,2,3,3,0.0,0.0,0.0,0.0,0.0,0.6667,0.3333,1.0,0,4,0.0000,6,0,0.5214,0.1,0.0,0.3333,0.0,0.0,1.3333,0.0000,0.0000,0.2352,0.0407,0.0338,0.6365,0.3661,outer_patrol_a,road_edge,0.9988,0.0,0.0
4,35.4003,17.2684,1,5.92,0.9864,20,9600,70,150.0,3.3617,153.3617,1.0,1.1667,0.1,1,0,1,0.05,0.0,0.05,0,0.8,0.2,0.85,16,17,20,0.0,1.6809,2.0366,0.1,0.0,0.8,0.2,1.0,0,4,0.0000,5,0,0.5631,0.1,0.05,0.8,0.0,0.45,0.2000,0.0000,0.0000,0.2512,0.0236,0.0312,0.5004,0.3483,inner_patrol,obstacle,0.9982,0.0,0.0
5,18.2241,8.8898,0,2.96,0.4929,4,1920,70,150.0,0.0,150.0,1.0,0.0,0.0,1,0,1,0.25,0.0,0.25,0,1.0,0.0,1.0,4,4,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,5,0.0000,6,0,0.467,0.1,0.0,0.75,0.0,0.0,1.2500,0.0000,0.0000,0.2445,0.0294,0.0248,-0.0,0.4026,outer_patrol_a,road_edge,0.9977,0.0,0.0
6,35.6575,17.3939,1,5.8,0.9673,40,19200,40,137.1429,8.6282,145.7711,0.5714,1.75,0.15,0,1,1,0.0,0.025,0.025,0,0.7,0.3,0.85,28,34,40,0.6,1.7256,5.6566,0.175,0.1,0.65,0.25,0.9,0,6,0.0000,6,0,0.5717,0.1,0.125,0.675,0.075,0.325,0.1500,0.0000,0.0000,0.2046,0.0425,0.0343,0.8568,0.4107,completed,,0.9971,0.0,0.0
7,18.602,9.0741,1,5.92,0.9862,1,480,70,150.0,0.0,150.0,1.0,0.0,0.0,1,0,1,1.0,0.0,1.0,0,1.0,0.0,1.0,1,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,4,0.0000,4,0,0.5494,0.1,0.0,1.0,0.0,1.0,4.0000,0.0000,0.0000,0.2295,0.0271,0.0345,-0.0,0.4214,outer_patrol_a,road_edge,0.9965,0.0,0.0
8,4.8372,2.3596,0,3.14,0.5241,38,18240,38,136.2857,8.8565,145.1422,0.5429,1.8421,0.1579,0,0,0,0.0,0.0,0.0,0,0.6316,0.3684,0.8421,24,32,38,0.2,1.7713,5.8947,0.1579,0.0263,0.6316,0.3421,0.9737,0,8,0.0000,10,0,0.5585,0.1,0.0789,0.8158,0.0263,0.2895,0.2105,0.0000,0.0000,0.2441,0.0399,0.0337,0.7529,0.3893,completed,,0.9959,0.0,0.0
9,37.7287,18.4042,0,3.27,0.5451,21,10080,70,150.0,3.7439,153.7439,1.0,1.6667,0.1429,1,0,1,0.0476,0.0,0.0476,0,0.7619,0.2381,0.8095,16,17,21,0.0,1.248,2.5599,0.1429,0.0,0.7619,0.2381,1.0,0,4,0.0000,6,0,0.5359,0.1,0.0952,0.6667,0.0,0.1429,0.1905,0.0000,0.0000,0.2508,0.0472,0.0457,0.5489,0.4355,return_outer,obstacle,0.9953,0.0,0.0
10,26.9217,13.1325,1,5.72,0.9538,28,13440,70,150.0,6.7545,156.7545,1.0,1.6667,0.1429,0,0,0,0.0,0.0,0.0,0,0.6071,0.3929,0.7857,17,22,28,0.5,1.6886,4.39,0.2143,0.1071,0.5357,0.3571,0.8929,0,4,0.0000,5,0,0.5825,0.1,0.1429,0.7857,0.1071,0.2857,0.1429,0.0000,0.0000,0.2675,0.0326,0.0283,0.9414,0.3706,outer_patrol_b,road_edge,0.9947,0.0,0.0
