episode,score,reward,success,stages_completed,stage_completion_ratio,steps,equivalent_env_steps,completion_time_steps,nominal_completion_time_seconds,latency_time_seconds,completion_time_seconds,normalized_completion_time,route_efficiency,progress_per_step,collisions,violations,unsafe_episode,collision_rate,violation_rate,unsafe_event_rate,target_hits,planner_accuracy,planner_miss_ratio,planner_legal_ratio,planner_exact_hits,planner_legal_hits,planner_total,avg_stage_wait_time,avg_stage_latency_seconds,latency_penalty,idle_window_ratio,wait_ratio,follow_ratio,select_ratio,compensation_utilization,safety_saved,safety_interventions,safety_success_rate,critical_events,critical_safe_count,risk_exposure,observed_risk_mean,high_risk_step_ratio,hazard_step_ratio,red_light_exposure_ratio,critical_event_rate,intervention_rate,safety_precision,safety_recall,stop_ratio,steer_left_ratio,steer_right_ratio,behavior_entropy,safety_entropy,active_stage_key,last_failure_mode,epsilon,episode_loss
3,72.0327,35.1379,1,6.0,1.0,36,17280,36,135.4286,0.7562,136.1848,0.5143,1.9444,0.1667,1,0,1,0.0278,0.0,0.0278,0,0.8333,0.1667,0.8611,30,31,36,0.1512,0.1512,1.1721,0.1389,0.2,0.2,0.6,0.8,0,0,0.9,10,9,0.5471,0.1,0.0833,0.7778,0.0278,0.2778,0.0,0.0,0.9,0.0,0.0,0.0,0.9503,0.0,completed,,0.98,0.0
4,59.128,28.843,1,6.0,1.0,43,20640,43,138.4286,1.4265,139.8551,0.6143,1.6279,0.1395,0,0,0,0.0000,0.0,0.0000,0,0.7209,0.2791,0.8372,31,36,43,0.2853,0.2853,2.211,0.1628,0.2857,0.2857,0.4286,0.7143,0,0,0.8,10,8,0.5436,0.1,0.0698,0.7442,0.0233,0.2326,0.0,0.0,0.8,0.0,0.0,0.0,1.079,0.0,completed,,0.98,0.0
5,46.1448,22.5097,1,6.0,1.0,46,22080,46,139.7143,4.7551,144.4693,0.6571,1.5217,0.1304,1,0,1,0.0217,0.0,0.0217,0,0.7391,0.2609,0.8043,34,37,46,0.951,0.951,7.3703,0.1957,0.6667,0.2222,0.1111,0.3333,0,0,0.7857,14,11,0.552,0.1,0.1522,0.7609,0.0217,0.3043,0.0,0.0,0.7857,0.0,0.0,0.0,0.8487,0.0,completed,,0.98,0.0
6,56.977,27.7937,1,6.0,1.0,43,20640,43,138.4286,2.5976,141.0262,0.6143,1.6279,0.1395,0,0,0,0.0000,0.0,0.0000,0,0.7209,0.2791,0.814,31,35,43,0.5195,0.5195,4.0263,0.186,0.5,0.25,0.25,0.5,0,0,0.8333,12,10,0.555,0.1,0.093,0.7442,0.0465,0.2791,0.0,0.0,0.8333,0.0,0.0,0.0,1.0397,0.0,completed,,0.98,0.0
7,6.1773,3.0133,0,4.0,0.6667,31,14880,70,150.0,2.3179,152.3179,1.0,1.5054,0.129,1,0,1,0.0323,0.0,0.0323,0,0.7097,0.2903,0.7419,22,23,31,0.5795,0.5795,3.5927,0.2581,0.375,0.125,0.5,0.625,0,0,0.5556,9,5,0.6186,0.1,0.2258,0.7419,0.1613,0.2903,0.0,0.0,0.5556,0.0,0.0,0.0,0.9743,0.0,outer_patrol_b,road_edge,0.98,0.0
8,55.1856,26.9198,1,6.0,1.0,45,21600,45,139.2857,2.1704,141.4562,0.6429,1.5556,0.1333,1,0,1,0.0222,0.0,0.0222,0,0.7778,0.2222,0.8444,35,38,45,0.4341,0.4341,3.3642,0.1556,0.4286,0.2857,0.2857,0.5714,0,0,0.7857,14,11,0.563,0.1,0.1333,0.8,0.0444,0.3111,0.0,0.0,0.7857,0.0,0.0,0.0,1.079,0.0,completed,,0.98,0.0
9,56.4462,27.5347,1,6.0,1.0,44,21120,44,138.8571,1.2808,140.138,0.6286,1.5909,0.1364,1,0,1,0.0227,0.0,0.0227,0,0.7273,0.2727,0.8409,32,37,44,0.2562,0.2562,1.9853,0.1591,0.2857,0.2857,0.4286,0.7143,0,0,0.5833,12,7,0.5552,0.1,0.0682,0.7727,0.0227,0.2727,0.0,0.0,0.5833,0.0,0.0,0.0,1.079,0.0,completed,,0.98,0.0
10,44.3265,21.6227,1,6.0,1.0,48,23040,48,140.5714,5.3763,145.9478,0.6857,1.4583,0.125,1,0,1,0.0208,0.0,0.0208,0,0.7708,0.2292,0.7917,37,38,48,1.0753,1.0753,8.3333,0.2083,0.7,0.1,0.2,0.3,0,0,0.7,20,14,0.6001,0.1,0.2708,0.8125,0.0833,0.4167,0.0,0.0,0.7,0.0,0.0,0.0,0.8018,0.0,completed,,0.98,0.0
11,55.1217,26.8886,1,6.0,1.0,44,21120,44,138.8571,2.8564,141.7135,0.6286,1.5909,0.1364,0,0,0,0.0000,0.0,0.0000,0,0.7273,0.2727,0.8182,32,36,44,0.5713,0.5713,4.4274,0.1818,0.5,0.0,0.5,0.5,0,0,0.9167,12,11,0.5783,0.1,0.1364,0.7273,0.0909,0.2727,0.0,0.0,0.9167,0.0,0.0,0.0,0.6931,0.0,completed,,0.98,0.0
12,-5.248,-2.56,0,2.0,0.3333,19,9120,70,150.0,0.0,150.0,1.0,1.2281,0.1053,0,0,0,0.0000,0.0,0.0000,0,0.8421,0.1579,0.8947,16,17,19,0.0,0.0,0.0,0.1053,0.0,0.5,0.5,1.0,0,0,0.5,10,5,0.5459,0.1,0.0526,0.7368,0.0,0.5263,0.0,0.0,0.5,0.0,0.0,0.0,0.6931,0.0,inner_patrol,obstacle,0.98,0.0
