metric,value
method,Oracle
scenario,UGV Street Patrol Parking
episodes,5000
summary_window,5000
avg_score_all,80.9457
avg_reward_all,39.4857
avg_success_all,0.8194
avg_stage_ratio_all,0.9505
avg_steps_all,37.8928
avg_equivalent_env_steps_all,18188.544
avg_completion_time_steps_all,39.5866
avg_normalized_completion_time_all,0.5655
avg_route_efficiency_all,1.7981
avg_progress_per_step_all,0.1541
avg_collisions_all,0.1404
avg_violations_all,0.0094
avg_unsafe_rate_all,0.1498
avg_collision_rate_all,0.0043
avg_violation_rate_all,0.0002
avg_unsafe_event_rate_all,0.0045
avg_planner_accuracy_all,1.0
avg_planner_miss_ratio_all,0.0
avg_planner_legal_ratio_all,1.0
avg_target_hits_all,0.0
avg_wait_time_all,0.0
avg_stage_latency_seconds_all,0.0
avg_latency_penalty_all,0.0
avg_idle_ratio_all,0.0
avg_wait_ratio_all,0.0
avg_follow_ratio_all,0.0
avg_select_ratio_all,0.0
avg_compensation_utilization_all,0.0
avg_safety_saved_all,0.0
avg_safety_interventions_all,0.0
avg_safety_success_rate_all,0.6725
avg_critical_events_all,11.2566
avg_critical_safe_all,7.3842
avg_risk_exposure_all,0.5606
avg_observed_risk_all,0.1
avg_high_risk_step_ratio_all,0.1138
avg_hazard_step_ratio_all,0.7765
avg_red_light_exposure_ratio_all,0.0418
avg_critical_event_rate_all,0.2936
avg_intervention_rate_all,0.0
avg_safety_precision_all,0.0
avg_safety_recall_all,0.6725
avg_stop_ratio_all,0.0
avg_steer_left_ratio_all,0.0
avg_steer_right_ratio_all,0.0
avg_behavior_entropy_all,1.1588
avg_safety_entropy_all,0.0
total_equivalent_env_steps,90942720
