metric,value
method,EFSR
scenario,UGV Street Patrol Parking
episodes,5000
summary_window,5000
avg_score_all,55.0083
avg_reward_all,26.8333
avg_success_all,0.5016
avg_stage_ratio_all,0.788
avg_steps_all,28.2456
avg_equivalent_env_steps_all,13557.888
avg_completion_time_steps_all,53.8228
avg_normalized_completion_time_all,0.7689
avg_route_efficiency_all,1.3706
avg_progress_per_step_all,0.1175
avg_collisions_all,0.424
avg_violations_all,0.0346
avg_unsafe_rate_all,0.4586
avg_collision_rate_all,0.0332
avg_violation_rate_all,0.0026
avg_unsafe_event_rate_all,0.0358
avg_planner_accuracy_all,0.7007
avg_planner_miss_ratio_all,0.2993
avg_planner_legal_ratio_all,0.8421
avg_target_hits_all,0.0
avg_wait_time_all,0.2304
avg_stage_latency_seconds_all,1.2317
avg_latency_penalty_all,3.4233
avg_idle_ratio_all,0.138
avg_wait_ratio_all,0.0358
avg_follow_ratio_all,0.681
avg_select_ratio_all,0.2832
avg_compensation_utilization_all,0.9642
avg_safety_saved_all,2.298
avg_safety_interventions_all,6.6622
avg_safety_success_rate_all,0.3252
avg_critical_events_all,7.8092
avg_critical_safe_all,2.3724
avg_risk_exposure_all,0.5491
avg_observed_risk_all,0.1
avg_high_risk_step_ratio_all,0.0931
avg_hazard_step_ratio_all,0.7582
avg_red_light_exposure_ratio_all,0.0358
avg_critical_event_rate_all,0.2754
avg_intervention_rate_all,0.4737
avg_safety_precision_all,0.3252
avg_safety_recall_all,0.3282
avg_stop_ratio_all,0.3363
avg_steer_left_ratio_all,0.0569
avg_steer_right_ratio_all,0.0572
avg_behavior_entropy_all,0.6605
avg_safety_entropy_all,0.5751
total_equivalent_env_steps,67789440
avg_critical_safe_count_all,2.6712
