metric,value
method,LACM
scenario,UGV Street Patrol Parking
episodes,5000
summary_window,5000
avg_score_all,45.7511
avg_reward_all,25.6122
avg_success_all,0.4478
avg_stage_ratio_all,0.6608
avg_steps_all,30.2902
avg_equivalent_env_steps_all,14539.296
avg_completion_time_steps_all,56.8876
avg_nominal_completion_time_seconds_all,144.3804
avg_latency_time_seconds_all,0.71
avg_completion_time_seconds_all,145.0904
avg_normalized_completion_time_all,0.8127
avg_route_efficiency_all,1.3763
avg_progress_per_step_all,0.118
avg_collisions_all,0.5462
avg_violations_all,0.0
avg_unsafe_rate_all,0.5462
avg_collision_rate_all,0.0262
avg_violation_rate_all,0.0
avg_unsafe_event_rate_all,0.0262
avg_planner_accuracy_all,0.8048
avg_planner_miss_ratio_all,0.1952
avg_planner_legal_ratio_all,0.8599
avg_target_hits_all,0.0
avg_wait_time_all,0.1845
avg_stage_latency_seconds_all,0.1845
avg_latency_penalty_all,1.1005
avg_idle_ratio_all,0.14
avg_wait_ratio_all,0.1659
avg_follow_ratio_all,0.2276
avg_select_ratio_all,0.5425
avg_compensation_utilization_all,0.7701
avg_safety_saved_all,0.0
avg_safety_interventions_all,0.0
avg_safety_success_rate_all,0.6628
avg_critical_events_all,8.7776
avg_critical_safe_all,5.9898
avg_risk_exposure_all,0.5514
avg_observed_risk_all,0.1
avg_high_risk_step_ratio_all,0.099
avg_hazard_step_ratio_all,0.7608
avg_red_light_exposure_ratio_all,0.0388
avg_critical_event_rate_all,0.2826
avg_intervention_rate_all,0.0
avg_safety_precision_all,0.0
avg_safety_recall_all,0.6628
avg_stop_ratio_all,0.0
avg_steer_left_ratio_all,0.0
avg_steer_right_ratio_all,0.0
avg_behavior_entropy_all,0.5348
avg_safety_entropy_all,0.0
total_equivalent_env_steps,72696480
