episode,score,reward,success,stages_completed,stage_completion_ratio,steps,equivalent_env_steps,completion_time_steps,nominal_completion_time_seconds,latency_time_seconds,completion_time_seconds,normalized_completion_time,route_efficiency,progress_per_step,collisions,violations,unsafe_episode,collision_rate,violation_rate,unsafe_event_rate,target_hits,planner_accuracy,planner_miss_ratio,planner_legal_ratio,planner_exact_hits,planner_legal_hits,planner_total,avg_stage_wait_time,avg_stage_latency_seconds,latency_penalty,idle_window_ratio,comp_decision_ratio,idle_comp_ratio,wait_ratio,follow_ratio,select_ratio,compensation_utilization,safety_saved,safety_interventions,safety_success_rate,critical_events,critical_safe_count,risk_exposure,observed_risk_mean,high_risk_step_ratio,hazard_step_ratio,red_light_exposure_ratio,critical_event_rate,intervention_rate,safety_precision,safety_recall,stop_ratio,steer_left_ratio,steer_right_ratio,behavior_entropy,safety_entropy,active_stage_key,last_failure_mode,epsilon,episode_loss
3,89.53,169.249,1,6.0,1.0,12,3840,12,94.5,0.0,94.5,0.15,6.6667,0.5,1,0,1,0.0833,0.0000,0.0833,3,0.5,0.5,0.5,6,6,12,0.0,0.0,0.0,0.5,1.0,0.5,0.0,0.6667,0.3333,1.0,0,0,1.0,2,2,0.4712,0.1,0.1667,0.4167,0.0,0.1667,0.0,0.0,1.0,0.0,0.0,0.0,0.6365,0.0,completed,,0.98,0.0
4,89.0843,166.1229,1,6.0,1.0,18,5760,18,96.75,0.7041,97.4541,0.225,4.4444,0.3333,1,0,1,0.0556,0.0000,0.0556,2,0.3889,0.6111,0.3889,7,7,18,0.1408,0.1408,1.1265,0.5,1.0,0.5,0.1111,0.3333,0.5556,0.8889,0,0,0.5,10,5,0.6014,0.1,0.4444,0.6111,0.1667,0.5556,0.0,0.0,0.5,0.0,0.0,0.0,0.9369,0.0,completed,,0.98,0.0
5,7.5062,5.8521,0,1.0,0.1667,4,1280,80,120.0,0.6432,120.6432,1.0,3.3333,0.25,1,0,1,0.2500,0.0000,0.2500,0,0.75,0.25,0.75,3,3,4,0.6432,0.6432,1.0291,0.25,1.0,0.25,1.0,0.0,0.0,0.0,0,0,0.0,1,0,0.366,0.1,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,avoidance,obstacle,0.98,0.0
6,88.5821,162.7489,1,6.0,1.0,17,5440,17,96.375,3.9026,100.2776,0.2125,4.7059,0.3529,1,0,1,0.0588,0.0000,0.0588,3,0.5882,0.4118,0.5882,10,10,17,0.7805,0.7805,6.2442,0.4118,1.0,0.4118,0.7143,0.1429,0.1429,0.2857,0,0,1.0,4,4,0.5102,0.1,0.2353,0.5294,0.0,0.2353,0.0,0.0,1.0,0.0,0.0,0.0,0.7963,0.0,completed,,0.98,0.0
7,0.0,-10.1093,0,0.0,0.0,2,640,80,120.0,0.0,120.0,1.0,0.0,0.0,1,0,1,0.5000,0.0000,0.5000,0,0.5,0.5,1.0,1,2,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.1582,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,main_road,road_edge,0.98,0.0
8,4.4756,3.4341,0,1.0,0.1667,6,1920,80,120.0,1.7107,121.7107,1.0,2.2222,0.1667,0,0,0,0.0000,0.0000,0.0000,0,0.3333,0.6667,0.5,2,3,6,1.7107,1.7107,2.7371,0.3333,1.0,0.3333,1.0,0.0,0.0,0.0,0,0,0.6667,3,2,0.5678,0.1,0.5,0.5,0.0,0.5,0.0,0.0,0.6667,0.0,0.0,0.0,-0.0,0.0,avoidance,obstacle,0.98,0.0
9,6.8461,5.3188,0,1.0,0.1667,6,1920,80,120.0,0.7422,120.7422,1.0,2.2222,0.1667,1,0,1,0.1667,0.0000,0.1667,0,0.5,0.5,0.5,3,3,6,0.7422,0.7422,1.1876,0.3333,1.0,0.3333,0.5,0.5,0.0,0.5,0,0,0.6667,3,2,0.5629,0.1,0.5,0.5,0.0,0.5,0.0,0.0,0.6667,0.0,0.0,0.0,0.6931,0.0,avoidance,obstacle,0.98,0.0
10,89.2675,167.3923,1,6.0,1.0,14,4480,14,95.25,0.6498,95.8998,0.175,5.7143,0.4286,1,0,1,0.0714,0.0000,0.0714,2,0.3571,0.6429,0.5,5,7,14,0.13,0.13,1.0396,0.5,1.0,0.5,0.1429,0.2857,0.5714,0.8571,0,0,0.8333,6,5,0.5349,0.1,0.2857,0.5714,0.0,0.4286,0.0,0.0,0.8333,0.0,0.0,0.0,0.9557,0.0,completed,,0.98,0.0
11,89.302,167.6334,1,6.0,1.0,13,4160,13,94.875,0.866,95.741,0.1625,6.1538,0.4615,1,0,1,0.0769,0.0000,0.0769,3,0.5385,0.4615,0.7692,7,10,13,0.1732,0.1732,1.3855,0.4615,1.0,0.4615,0.1667,0.1667,0.6667,0.8333,0,0,1.0,5,5,0.4856,0.1,0.3077,0.3846,0.0769,0.3846,0.0,0.0,1.0,0.0,0.0,0.0,0.8676,0.0,completed,,0.98,0.0
12,69.8101,89.8247,0,3.0,0.5,14,4480,80,120.0,0.0,120.0,1.0,2.8571,0.2143,0,0,0,0.0000,0.0000,0.0000,2,0.5,0.5,0.5,7,7,14,0.0,0.0,0.0,0.3571,1.0,0.3571,0.0,0.8,0.2,1.0,0,0,0.25,8,2,0.5498,0.1,0.4286,0.5714,0.2857,0.5714,0.0,0.0,0.25,0.0,0.0,0.0,0.5004,0.0,traffic_light,obstacle,0.98,0.0
13,8.7664,6.881,0,1.0,0.1667,4,1280,80,120.0,0.0,120.0,1.0,3.3333,0.25,1,0,1,0.2500,0.0000,0.2500,0,0.75,0.25,0.75,3,3,4,0.0,0.0,0.0,0.25,1.0,0.25,0.0,0.0,1.0,1.0,0,0,0.0,1,0,0.3627,0.1,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,avoidance,obstacle,0.98,0.0
14,6.3442,4.9158,0,1.0,0.1667,5,1600,80,120.0,0.8806,120.8806,1.0,2.6667,0.2,1,0,1,0.2000,0.0000,0.2000,0,0.4,0.6,0.6,2,3,5,0.8806,0.8806,1.409,0.4,1.0,0.4,0.5,0.5,0.0,0.5,0,0,0.0,2,0,0.487,0.1,0.4,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.6931,0.0,avoidance,obstacle,0.98,0.0
15,0.0,-10.1094,0,0.0,0.0,2,640,80,120.0,0.0,120.0,1.0,0.0,0.0,1,0,1,0.5000,0.0000,0.5000,0,0.0,1.0,1.0,0,2,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.1538,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,main_road,road_edge,0.98,0.0
16,89.1414,166.5162,1,6.0,1.0,15,4800,15,95.625,0.8131,96.4381,0.1875,5.3333,0.4,0,0,0,0.0000,0.0000,0.0000,3,0.4667,0.5333,0.6,7,9,15,0.1626,0.1626,1.3009,0.6,1.0,0.6,0.1111,0.3333,0.5556,0.8889,0,0,0.6667,6,4,0.5366,0.1,0.2667,0.6,0.0667,0.4,0.0,0.0,0.6667,0.0,0.0,0.0,0.9369,0.0,completed,,0.98,0.0
17,4.9283,3.7904,0,1.0,0.1667,5,1600,80,120.0,1.7462,121.7462,1.0,2.6667,0.2,0,0,0,0.0000,0.0000,0.0000,0,0.6,0.4,0.6,3,3,5,1.7462,1.7462,2.7939,0.4,1.0,0.4,1.0,0.0,0.0,0.0,0,0,0.5,2,1,0.4877,0.1,0.4,0.4,0.0,0.4,0.0,0.0,0.5,0.0,0.0,0.0,-0.0,0.0,avoidance,obstacle,0.98,0.0
18,7.1656,5.5765,0,1.0,0.1667,4,1280,80,120.0,0.7758,120.7758,1.0,3.3333,0.25,1,0,1,0.2500,0.0000,0.2500,0,0.75,0.25,0.75,3,3,4,0.7758,0.7758,1.2413,0.25,1.0,0.25,1.0,0.0,0.0,0.0,0,0,0.0,1,0,0.3647,0.1,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,avoidance,obstacle,0.98,0.0
19,52.4712,55.7876,0,2.0,0.3333,9,2880,80,120.0,0.7502,120.7502,1.0,2.963,0.2222,0,0,0,0.0000,0.0000,0.0000,2,0.5556,0.4444,0.5556,5,5,9,0.3751,0.3751,1.2004,0.4444,1.0,0.4444,0.25,0.25,0.5,0.75,0,0,1.0,3,3,0.4787,0.1,0.3333,0.3333,0.0,0.3333,0.0,0.0,1.0,0.0,0.0,0.0,1.0397,0.0,balloons,obstacle,0.98,0.0
