metric,value
method,EFSR
scenario,UGV Complex Road Passage
episodes,4000
summary_window,4000
avg_score_all,70.5652
avg_reward_all,122.525
avg_success_all,0.647
avg_stage_ratio_all,0.7681
avg_steps_all,12.0113
avg_equivalent_env_steps_all,3843.6
avg_completion_time_steps_all,37.5647
avg_normalized_completion_time_all,0.4696
avg_route_efficiency_all,4.78
avg_progress_per_step_all,0.3585
avg_collisions_all,0.353
avg_violations_all,0.0
avg_unsafe_rate_all,0.353
avg_collision_rate_all,0.0742
avg_violation_rate_all,0.0
avg_unsafe_event_rate_all,0.0742
avg_planner_accuracy_all,0.5219
avg_planner_miss_ratio_all,0.4781
avg_planner_legal_ratio_all,0.5475
avg_target_hits_all,2.2593
avg_wait_time_all,0.2555
avg_stage_latency_seconds_all,1.4289
avg_latency_penalty_all,3.8297
avg_idle_ratio_all,0.458
avg_wait_ratio_all,0.0957
avg_follow_ratio_all,0.3686
avg_select_ratio_all,0.5357
avg_compensation_utilization_all,0.9043
avg_safety_saved_all,3.0537
avg_safety_interventions_all,5.9725
avg_safety_success_rate_all,0.484
avg_critical_events_all,4.2882
avg_critical_safe_all,2.205
avg_risk_exposure_all,0.4811
avg_observed_risk_all,0.1
avg_high_risk_step_ratio_all,0.2755
avg_hazard_step_ratio_all,0.4521
avg_red_light_exposure_ratio_all,0.0579
avg_critical_event_rate_all,0.3289
avg_intervention_rate_all,0.3734
avg_safety_precision_all,0.484
avg_safety_recall_all,0.4857
avg_stop_ratio_all,0.1782
avg_steer_left_ratio_all,0.0987
avg_steer_right_ratio_all,0.0965
avg_behavior_entropy_all,0.7795
avg_safety_entropy_all,0.8634
total_equivalent_env_steps,15374400
avg_critical_safe_count_all,3.1117
